SWL model passYear CO2_ppmv RCP RCP60_1_5deg_CO2e
171 1.5 CCSM4 2021 411.3116 RCP6 418.087794113208
172 1.5 CESM1-CAM5 2039 448.5158 RCP6 479.533187365967
173 1.5 CSIRO-Mk3-6-0 2050 477.67 RCP6 513.884105603448
174 1.5 FIO-ESM 2031 431.0582 RCP6 448.968144568765
175 1.5 GFDL-CM3 2039 448.5158 RCP6 479.533187365967
176 1.5 GFDL-ESM2G 2063 522.3898 RCP6 570.258558121331
177 1.5 GFDL-ESM2M 2061 514.5526 RCP6 559.768059491194
178 1.5 GISS-E2-H 2025 419.118 RCP6 431.27064
179 1.5 GISS-E2-R 2050 477.67 RCP6 513.884105603448
180 1.5 HadGEM2-AO 2054 490.8556 RCP6 529.453525
181 1.5 HadGEM2-ES 2034 437.6048 RCP6 460.430035617716
182 1.5 IPSL-CM5A-LR 2017 403.2736 RCP6 406.486044444444
183 1.5 IPSL-CM5A-MR 2024 417.1664 RCP6 428.382272
184 1.5 MIROC-ESM-CHEM 2031 431.0582 RCP6 448.968144568765
185 1.5 MIROC-ESM 2035 439.787 RCP6 464.250665967366
186 1.5 MIROC5 2059 507.3376 RCP6 550.110407827789
187 1.5 MRI-CGCM3 2063 522.3898 RCP6 570.258558121331
188 1.5 NorESM1-ME 2050 477.67 RCP6 513.884105603448
189 1.5 NorESM1-M 2054 490.8556 RCP6 529.453525
190 1.5 bcc-csm1-1-m 2011 391.1008 RCP6 389.8048
191 1.5 bcc-csm1-1 2028 424.9728 RCP6 439.935744
