     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fveglitter       frh     cveg        csoil
  1851.417  -999.0000     283.33     285.80     285.17     0.0421      0.2104     63.985     63.692     63.774    1275.98     908.61
  1852.417  -999.0000     283.25     285.69     284.78    -0.0168      0.5999     62.894     63.246     62.295    1276.30     909.54
  1853.417  -999.0000     283.30     285.90     285.20    -0.0036      0.1605     62.293     63.572     62.132    1273.72     911.92
  1854.417  -999.0000     283.87     285.85     285.08     0.2576     -0.5531     61.122     61.891     61.675    1273.69     911.51
  1855.417  -999.0000     284.08     285.78     285.14     0.2812     -0.4249     62.967     62.898     63.392    1273.47     910.81
  1856.417  -999.0000     283.76     285.76     285.16     0.2269      0.3163     63.968     63.495     63.652    1274.03     910.89
  1857.417  -999.0000     284.03     285.70     284.97     0.1066      0.5443     61.259     60.744     60.715    1275.11     911.01
  1858.417  -999.0000     284.56     285.63     284.76     0.2750     -0.2658     61.821     62.233     62.087    1274.19     910.86
  1859.417  -999.0000     284.66     285.78     285.06     0.2221     -0.7704     61.387     62.301     62.158    1273.27     911.47
  1860.417  -999.0000     285.35     285.99     285.53     0.3574     -1.4786     61.480     62.057     62.958    1272.58     910.34
  1861.417  -999.0000     285.44     285.78     285.12     0.3744     -1.2107     63.071     63.094     64.281    1272.63     908.83
  1862.417  -999.0000     285.28     285.80     285.10     0.2045      0.0548     62.576     62.207     62.521    1273.15     908.86
  1863.417  -999.0000     285.37     285.81     285.00     0.4301      0.1612     61.991     61.740     61.829    1273.44     908.71
  1864.417  -999.0000     285.59     285.99     285.45     0.2639     -0.6738     61.604     61.569     62.278    1273.27     908.20
  1865.417  -999.0000     285.77     285.90     285.36     0.3841     -0.5845     63.263     62.907     63.847    1273.53     906.71
  1866.417  -999.0000     285.50     285.91     285.38     0.3969      0.6005     62.388     61.545     61.787    1274.72     906.79
  1867.417  -999.0000     285.34     285.75     284.89     0.2104      1.1503     62.577     62.105     61.427    1275.34     907.34
  1868.417  -999.0000     285.63     285.90     285.03     0.2069      0.3753     61.618     61.914     61.243    1274.60     908.46
  1869.417  -999.0000     286.01     285.96     285.30     0.3002     -0.4416     60.713     61.052     61.154    1274.40     908.16
  1870.417  -999.0000     285.74     285.64     285.15     0.4569     -0.2579     62.583     62.701     62.841    1274.30     907.44
  1871.417  -999.0000     285.65     285.73     285.04     0.2194      0.3692     63.698     63.471     63.329    1274.16     908.43
  1872.417  -999.0000     285.67     285.65     284.90     0.2293      0.8444     62.926     62.138     62.081    1275.59     907.73
  1873.417  -999.0000     285.80     285.91     285.18     0.3054      0.4410     60.968     60.525     60.527    1275.91     908.70
  1874.417  -999.0000     286.68     285.88     285.23     0.4087     -0.9042     60.875     61.029     61.779    1275.40     907.06
  1875.417  -999.0000     286.73     285.57     284.77     0.5284     -0.4281     63.135     62.945     63.563    1275.68     906.59
  1876.417  -999.0000     286.24     285.70     284.91     0.1858      1.0489     63.375     62.671     62.326    1276.50     907.16
  1877.417  -999.0000     286.34     285.78     285.02     0.2071      0.8444     60.775     60.335     59.931    1277.30     907.34
  1878.417  -999.0000     286.81     285.71     284.94     0.3608     -0.3528     60.858     61.344     61.211    1276.45     907.79
  1879.417  -999.0000     287.03     285.79     284.94     0.4691     -0.7989     61.549     62.221     62.348    1275.42     907.75
  1880.417  -999.0000     287.55     285.77     284.93     0.4688     -0.4021     61.209     61.152     61.611    1275.93     906.79
  1881.417  -999.0000     287.27     285.85     285.21     0.4360      0.0903     63.067     62.406     62.976    1276.13     906.46
  1882.417  -999.0000     287.27     285.75     284.96     0.3001      0.8642     62.115     61.084     61.250    1277.87     906.18
  1883.417  -999.0000     287.25     285.63     284.78     0.3290      0.7815     62.108     61.425     61.326    1278.21     906.44
  1884.417  -999.0000     286.33     285.16     284.34     0.9569      1.6688     64.524     64.257     62.856    1278.38     907.22
  1885.417  -999.0000     285.35     285.04     284.18     0.6018      2.3902     62.256     62.072     59.866    1278.96     910.64
  1886.417  -999.0000     285.04     285.18     284.28     0.2650      1.3870     63.671     63.744     62.284    1278.24     910.91
  1887.417  -999.0000     284.81     285.25     284.34     0.1471      1.3061     63.427     63.341     62.121    1278.89     913.15
  1888.417  -999.0000     284.97     285.34     284.34     0.1632      0.6764     62.098     62.084     61.422    1278.68     913.28
  1889.417  -999.0000     285.71     285.59     284.75     0.1796     -0.7497     60.748     61.110     61.498    1278.37     913.41
  1890.417  -999.0000     287.03     285.64     285.03     0.6368     -1.6348     60.717     61.285     62.352    1277.82     911.50
  1891.417  -999.0000     286.78     285.21     284.43     0.6748     -0.5948     64.440     64.727     65.034    1276.93     911.46
  1892.417  -999.0000     286.09     285.28     284.49     0.3338      0.4348     62.915     63.536     62.481    1278.35     912.29
  1893.417  -999.0000     287.15     285.58     284.89     0.3375     -1.8505     60.441     62.834     62.291    1273.36     913.98
  1894.417  -999.0000     287.95     285.54     284.70     0.5095     -2.5907     62.012     63.867     64.603    1272.57     912.16
  1895.417  -999.0000     288.76     285.56     284.76     0.5345     -1.0961     61.504     61.686     62.600    1272.32     911.77
  1896.417  -999.0000     289.05     285.52     284.73     0.3741     -0.8634     61.848     61.862     62.711    1272.49     910.45
  1897.417  -999.0000     289.63     285.61     284.88     0.7129     -0.5882     62.360     62.117     62.948    1272.31     909.91
  1898.417  -999.0000     289.58     285.51     284.57     0.4727      0.4839     63.036     62.267     62.552    1273.57     909.29
  1899.417  -999.0000     289.94     285.81     285.04     0.2895      0.3832     61.447     60.624     61.064    1274.28     909.72
  1900.417  -999.0000     290.89     285.76     284.93     0.6666     -1.0713     60.421     60.281     61.492    1274.74     907.41
  1901.417  -999.0000     291.57     285.59     284.91     0.7213     -0.8905     62.591     62.887     63.481    1273.58     907.40
  1902.417  -999.0000     291.57     285.62     284.90     0.6079      0.6800     63.153     62.759     62.473    1274.46     907.34
  1903.417  -999.0000     290.81     285.29     284.38     0.9153      1.9775     63.819     62.609     61.842    1275.58     908.57
  1904.417  -999.0000     290.49     285.38     284.36     0.6521      1.7409     61.431     60.303     59.690    1277.15     909.07
  1905.417  -999.0000     290.70     285.43     284.61     0.6829      0.3923     63.078     62.473     62.686    1277.27     908.77
  1906.417  -999.0000     290.56     285.43     284.68     0.4774      0.5166     64.827     64.083     64.310    1277.90     908.27
