     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fvegsoil       frh     cveg        csoil
  1851.417  -999.0000     284.23     286.42     287.84     0.0583      1.1547     48.940     47.171     47.785     702.53     563.78
  1852.417  -999.0000     283.70     286.45     287.88    -0.2338      1.2963     48.490     46.815     47.194     705.25     563.16
  1853.417  -999.0000     283.97     286.50     287.90    -0.1956     -0.1750     46.496     47.061     46.671     704.07     564.00
  1854.417  -999.0000     284.61     286.55     287.96    -0.0973     -1.8558     46.893     49.228     48.748     701.63     564.30
  1855.417  -999.0000     285.16     286.56     287.96     0.0168     -1.5117     47.201     48.715     48.713     700.17     564.20
  1856.417  -999.0000     285.39     286.55     287.96     0.0541     -0.8562     47.021     47.779     47.877     699.45     564.19
  1857.417  -999.0000     285.72     286.58     288.02     0.0826     -0.5867     47.226     47.650     47.812     698.81     564.16
  1858.417  -999.0000     285.84     286.57     287.99     0.0695      0.2407     48.518     47.880     48.277     699.56     563.49
  1859.417  -999.0000     285.62     286.52     287.96     0.0111      0.6057     47.608     46.919     47.002     700.73     563.48
  1860.417  -999.0000     286.03     286.54     287.95     0.0281     -0.1801     47.603     47.852     47.783     699.62     563.81
  1861.417  -999.0000     286.06     286.64     288.07    -0.0623     -0.1193     48.104     48.216     48.224     700.65     563.28
  1862.417  -999.0000     286.16     286.72     288.14     0.2157     -0.9036     46.743     47.633     47.647     698.74     564.01
  1863.417  -999.0000     286.21     286.87     288.29     0.4429     -1.2137     47.608     48.453     48.822     698.33     562.90
  1864.417  -999.0000     286.22     286.63     288.06     0.1710      0.2876     48.828     48.553     48.540     698.34     563.22
  1865.417  -999.0000     286.13     286.48     287.90     0.0649      0.6400     48.329     48.110     47.689     699.18     563.59
  1866.417  -999.0000     286.55     286.68     288.07     0.0915     -1.3004     45.825     47.549     47.125     696.89     564.33
  1867.417  -999.0000     286.91     286.70     288.08     0.2049     -1.5217     48.253     49.686     49.775     695.14     563.95
  1868.417  -999.0000     286.79     286.43     287.86    -0.0087      0.5370     48.596     47.740     48.059     696.46     563.64
  1869.417  -999.0000     286.62     286.50     287.92     0.0397      0.4221     47.641     47.356     47.219     697.42     563.55
  1870.417  -999.0000     287.09     286.57     288.01     0.0171     -1.5789     45.998     47.999     47.577     694.58     564.47
  1871.417  -999.0000     287.94     286.56     288.00     0.1880     -2.1560     47.328     49.638     49.484     691.99     564.49
  1872.417  -999.0000     288.19     286.48     287.90     0.2030     -0.6596     47.812     48.119     48.472     692.05     564.01
  1873.417  -999.0000     287.85     286.60     288.02    -0.0014      0.1627     47.899     47.572     47.736     692.81     563.60
  1874.417  -999.0000     288.26     286.53     287.93     0.0756     -0.6059     46.785     47.626     47.391     691.08     564.54
  1875.417  -999.0000     288.52     286.47     287.90     0.0364     -0.1884     48.799     48.849     48.988     691.70     563.72
  1876.417  -999.0000     288.37     286.51     287.94    -0.0021      0.6091     47.892     47.080     47.283     692.54     563.70
  1877.417  -999.0000     288.56     286.58     287.98    -0.1069     -0.0734     48.027     48.357     48.100     692.11     563.96
  1878.417  -999.0000     288.84     286.46     287.85     0.0501      0.0996     48.360     48.119     48.260     692.03     563.92
  1879.417  -999.0000     288.78     286.45     287.88     0.1005      0.1211     47.451     47.161     47.330     692.52     563.88
  1880.417  -999.0000     289.19     286.50     287.90     0.0486     -0.6346     47.617     48.670     48.252     692.01     563.95
  1881.417  -999.0000     289.81     286.68     288.09     0.1035     -1.7934     46.651     48.820     48.444     689.17     564.61
  1882.417  -999.0000     290.41     286.70     288.12     0.3264     -1.4224     48.202     49.375     49.625     687.59     564.36
  1883.417  -999.0000     290.13     286.47     287.92     0.0101      0.8680     49.588     48.556     48.720     689.66     563.58
  1884.417  -999.0000     289.68     285.94     287.37     0.4670      0.1368     46.605     47.351     46.469     688.56     565.45
  1885.417  -999.0000     290.13     286.10     287.55     0.4302     -1.4452     46.781     48.449     48.227     686.18     565.30
  1886.417  -999.0000     290.22     286.15     287.58    -0.0359      0.2173     48.370     47.477     48.153     687.90     564.28
  1887.417  -999.0000     290.32     286.23     287.66    -0.2261      0.7715     47.676     46.977     46.905     688.72     564.48
  1888.417  -999.0000     291.06     286.47     287.88     0.1625     -1.4453     45.817     47.820     47.262     686.48     565.37
  1889.417  -999.0000     291.84     286.56     287.98     0.2727     -2.1002     47.253     49.320     49.354     683.55     565.23
  1890.417  -999.0000     291.66     286.23     287.65     0.1584      0.7901     50.107     48.858     49.317     685.76     564.30
  1891.417  -999.0000     291.16     286.14     287.58     0.1041      0.8572     46.449     46.075     45.592     686.64     565.18
  1892.417  -999.0000     292.14     286.49     287.94     0.1676     -1.6235     46.944     48.870     48.568     683.27     565.75
  1893.417  -999.0000     292.38     286.39     287.81     0.1290      0.1698     49.585     48.423     49.415     684.95     564.26
  1894.417  -999.0000     291.99     286.51     287.92    -0.1279      1.6682     48.276     46.374     46.608     687.67     564.06
  1895.417  -999.0000     292.54     286.53     287.95     0.1878     -0.7234     46.635     48.228     47.358     685.97     565.11
  1896.417  -999.0000     293.38     286.85     288.28     0.4275     -2.7280     46.988     49.972     49.716     682.00     565.50
  1897.417  -999.0000     293.96     286.69     288.09     0.4091     -1.0840     49.296     49.843     50.380     681.29     564.85
  1898.417  -999.0000     293.44     286.55     287.97     0.2230      1.7018     49.870     47.710     48.168     684.60     564.09
  1899.417  -999.0000     293.32     286.61     288.04     0.2817      1.0831     47.754     46.990     46.671     685.06     564.65
  1900.417  -999.0000     293.79     286.66     288.08     0.3804     -1.2348     47.159     48.952     48.394     683.06     565.42
  1901.417  -999.0000     294.29     286.76     288.18     0.3016     -1.0661     48.549     49.384     49.615     681.64     565.16
  1902.417  -999.0000     294.18     286.54     287.96     0.1356      1.3590     50.433     48.501     49.074     684.46     563.96
  1903.417  -999.0000     293.50     286.26     287.67     0.3945      0.8826     47.571     47.411     46.689     685.00     565.23
  1904.417  -999.0000     294.19     286.35     287.77     0.5408     -1.7808     46.369     48.893     48.150     681.11     566.22
  1905.417  -999.0000     294.64     286.28     287.70     0.3198     -0.7480     49.135     49.212     49.883     681.57     565.07
  1906.417  -999.0000     294.45     286.35     287.76     0.0209      1.3375     49.290     47.403     47.953     684.16     564.34
  1907.417  -999.0000     294.98     286.38     287.81     0.0357     -0.2558     46.860     47.925     47.115     682.61     565.77
  1908.417  -999.0000     295.93     286.57     287.98     0.2807     -2.1958     47.162     49.864     49.358     679.76     565.98
  1909.417  -999.0000     296.30     286.65     288.06     0.5428     -0.8586     49.053     49.274     49.912     678.90     565.40
  1910.417  -999.0000     296.25     286.51     287.92     0.1655      1.0038     49.209     48.131     48.206     681.23     565.07
  1911.417  -999.0000     296.58     286.49     287.89     0.3097      0.4245     48.063     47.840     47.638     681.04     565.54
  1912.417  -999.0000     296.86     286.42     287.84     0.2447      0.1683     49.324     48.932     49.156     680.99     565.20
  1913.417  -999.0000     296.80     286.36     287.76     0.1496      0.1833     47.755     47.896     47.571     681.77     565.51
  1914.417  -999.0000     297.72     286.51     287.93     0.4124     -1.5293     47.007     49.151     48.537     678.99     566.25
  1915.417  -999.0000     298.53     286.63     288.04     0.4729     -1.5153     48.569     49.790     50.085     677.25     565.95
  1916.417  -999.0000     298.52     286.49     287.88     0.3291      0.6380     49.421     48.204     48.783     678.80     565.44
  1917.417  -999.0000     298.12     286.55     287.98     0.1061      1.3551     48.731     47.366     47.376     681.03     565.05
  1918.417  -999.0000     298.87     286.73     288.15     0.3111     -0.6921     46.856     48.177     47.548     679.25     566.04
  1919.417  -999.0000     299.81     286.85     288.28     0.3147     -1.6697     48.308     50.207     49.977     676.91     566.11
  1920.417  -999.0000     300.18     286.74     288.16     0.2813     -0.2143     49.173     48.781     49.388     677.27     565.58
  1921.417  -999.0000     299.96     286.75     288.15     0.3771      0.3128     48.458     48.256     48.146     678.31     565.54
  1922.417  -999.0000     300.76     286.72     288.12     0.4211     -0.9964     47.448     48.888     48.444     676.10     566.29
  1923.417  -999.0000     301.19     286.63     288.04     0.4676     -0.6732     49.132     49.519     49.805     675.78     565.67
  1924.417  -999.0000     301.28     286.60     288.03     0.3606      0.3584     48.683     48.235     48.325     676.53     565.79
  1925.417  -999.0000     301.87     286.62     288.01     0.5189      0.1615     48.936     48.724     48.774     676.50     565.60
  1926.417  -999.0000     301.96     286.68     288.11     0.4435     -0.1134     48.579     48.632     48.693     676.65     565.74
  1927.417  -999.0000     302.36     286.72     288.12     0.4313     -0.4202     48.305     48.991     48.726     676.01     565.75
  1928.417  -999.0000     302.72     286.70     288.11     0.4745     -0.4867     48.758     49.332     49.244     675.12     566.11
  1929.417  -999.0000     303.08     286.82     288.21     0.5777     -1.0697     47.774     49.068     48.844     674.50     566.00
