     time     emission      CO2      tas      tas_land      fgco2      fnep      fnpp      fveglitter       frh     cveg        csoil
  1851.417     0.0987     287.59     286.89     286.97     0.1846     -0.1629     61.518     61.583     61.681     592.55    1649.37
  1852.417     0.1016     288.39     287.02     287.05     0.3914     -2.8349     58.923     61.233     61.758     590.80    1649.03
  1853.417     0.1050     289.15     287.08     287.17     0.5017     -0.6944     60.856     60.783     61.550     589.51    1648.45
  1854.417     0.1140     288.61     286.70     286.55     0.0383      2.3704     62.448     61.123     60.078     590.00    1648.80
  1855.417     0.1183     287.70     286.76     286.87    -0.1082      1.1223     62.330     61.296     61.208     591.10    1649.86
  1856.417     0.1231     286.73     286.78     286.63    -0.3762      3.6617     64.886     62.524     61.225     593.03    1650.53
  1857.417     0.1252     286.77     286.90     286.88    -0.0002     -2.3789     59.963     62.576     62.342     592.44    1651.37
  1858.417     0.1270     287.31     286.66     286.47    -0.1731      1.7160     62.671     61.632     60.955     591.13    1651.82
  1859.417     0.1323     285.81     286.64     286.52    -0.2018      3.2937     64.741     62.668     61.447     593.23    1653.11
  1860.417     0.1404     285.71     286.56     286.37    -0.7280      1.0059     62.585     62.079     61.579     593.41    1654.09
  1861.417     0.1456     284.74     286.59     286.43    -0.4588      2.8731     64.339     62.513     61.466     595.22    1655.15
  1862.417     0.1491     284.24     286.63     286.51    -0.5539      1.4975     63.240     62.686     61.743     596.02    1656.36
  1863.417     0.1560     285.00     286.91     286.95     0.0976     -3.3035     59.790     62.202     63.093     594.56    1656.42
  1864.417     0.1651     286.07     286.76     286.70     0.0373     -1.0174     60.652     61.929     61.669     592.60    1656.15
  1865.417     0.1726     286.52     286.78     286.81    -0.0710     -0.6924     61.122     61.490     61.815     591.70    1656.31
  1866.417     0.1771     287.16     286.95     287.13     0.3433     -2.5316     59.828     61.429     62.359     590.68    1655.94
  1867.417     0.1853     288.33     287.01     287.16     0.2193     -2.2176     59.552     60.748     61.770     588.91    1655.05
  1868.417     0.1917     288.21     286.83     286.76     0.1312      2.1246     63.288     61.506     61.164     589.20    1654.71
  1869.417     0.1994     287.65     286.83     286.86     0.0647      0.9379     62.503     61.908     61.565     589.93    1655.25
  1870.417     0.2058     286.71     286.69     286.67    -0.2405      2.5003     63.813     62.500     61.313     591.38    1656.05
  1871.417     0.2158     287.37     286.94     286.97    -0.0837     -3.0347     59.464     61.771     62.499     589.83    1656.60
  1872.417     0.2327     288.39     286.95     286.94    -0.2226     -1.2377     60.716     61.723     61.954     588.19    1656.41
  1873.417     0.2442     288.29     286.97     286.90     0.0640      1.4718     63.217     62.087     61.745     588.47    1656.61
  1874.417     0.2399     289.42     287.20     287.39     0.2557     -4.4250     58.408     60.873     62.833     586.76    1656.04
  1875.417     0.2507     290.09     287.11     287.23     0.0343      0.6426     62.774     61.595     62.131     586.33    1654.94
  1876.417     0.2565     289.34     286.86     286.80    -0.0284      2.9600     64.117     61.880     61.157     587.66    1655.49
  1877.417     0.2600     287.87     286.96     286.79    -0.0538      1.7861     63.603     62.579     61.817     590.01    1656.50
  1878.417     0.2638     289.30     287.01     287.09     0.6023     -4.8990     57.634     61.403     62.533     587.17    1656.44
  1879.417     0.2783     289.88     286.87     286.88     0.5276      1.7354     62.945     61.355     61.210     585.87    1655.74
  1880.417     0.3031     288.77     286.76     286.79    -0.2328      2.8118     64.316     61.657     61.505     588.11    1656.42
  1881.417     0.3153     287.52     286.95     286.93    -0.1909      2.7122     65.047     62.760     62.335     590.62    1656.86
  1882.417     0.3291     287.92     287.08     287.15    -0.0704     -3.2986     59.948     63.174     63.247     589.91    1657.40
  1883.417     0.3452     290.09     287.13     287.24     0.5328     -4.3579     58.277     61.485     62.635     585.90    1656.70
  1884.417     0.3513     290.06     286.58     286.48     0.1999      4.6383     64.915     61.871     60.277     585.44    1657.10
  1885.417     0.3542     287.50     286.34     286.14    -0.3345      4.8456     65.532     62.830     60.686     589.09    1659.49
  1886.417     0.3595     287.31     286.42     286.19    -0.0624     -1.4844     59.763     62.355     61.247     588.16    1661.53
  1887.417     0.3750     288.13     286.63     286.49    -0.3302      0.1917     62.007     62.246     61.815     586.44    1662.10
  1888.417     0.4041     288.47     286.74     286.90    -0.2170     -0.8624     61.756     61.882     62.618     586.51    1662.32
  1889.417     0.4133     289.12     286.71     286.62     0.3728     -1.2278     60.697     61.508     61.925     585.37    1662.08
  1890.417     0.4388     289.65     286.55     286.46     0.3112     -0.3181     60.820     61.412     61.138     584.04    1662.18
  1891.417     0.4577     289.30     286.61     286.63     0.3531      1.2912     63.160     61.953     61.869     584.18    1662.80
  1892.417     0.4630     288.86     286.54     286.45    -0.6177      2.2217     63.825     62.271     61.603     585.15    1663.43
  1893.417     0.4616     287.81     286.51     286.38    -0.1481      2.5683     64.680     63.010     62.111     587.29    1664.61
  1894.417     0.4738     288.23     286.77     286.95     0.1316     -2.1563     61.097     63.023     63.254     586.64    1664.69
  1895.417     0.4964     288.61     286.70     286.55    -0.1064      1.1993     63.789     62.438     62.589     586.31    1664.74
  1896.417     0.5136     289.05     286.74     286.67    -0.1303     -1.2033     61.614     62.604     62.818     585.70    1665.10
  1897.417     0.5364     289.42     286.68     286.67    -0.1503      0.7045     63.158     62.699     62.454     585.40    1665.38
  1898.417     0.5651     289.59     286.70     286.70     0.0358     -0.3704     62.190     62.920     62.561     584.81    1665.95
  1899.417     0.6068     290.46     286.90     286.96     0.2906     -1.7264     61.261     62.129     62.987     583.53    1665.81
  1900.417     0.6387     290.57     286.62     286.58    -0.0862      2.2343     64.272     62.347     62.038     583.79    1665.78
  1901.417     0.6605     289.95     286.68     286.68    -0.1902      1.3583     63.832     63.314     62.473     585.17    1666.57
  1902.417     0.6804     290.27     286.89     286.78     0.3540     -2.2617     60.810     62.501     63.071     584.31    1667.28
  1903.417     0.7259     291.66     286.88     286.85     0.9329     -2.8038     59.829     62.098     62.633     581.55    1666.82
  1904.417     0.7452     292.98     286.84     286.65     0.5145     -1.5632     60.756     61.220     62.319     579.30    1666.05
  1905.417     0.7832     291.99     286.56     286.39     0.1391      4.5954     65.836     62.499     61.240     581.46    1666.56
  1906.417     0.8339     291.25     286.65     286.57    -0.1499      0.8945     63.448     63.001     62.554     582.53    1667.86
  1907.417     0.9025     291.04     286.70     286.61    -0.0348      1.2199     63.909     63.050     62.689     583.41    1668.61
  1908.417     0.8929     291.58     286.79     286.65     0.0793     -2.0267     61.101     62.891     63.127     582.21    1669.28
  1909.417     0.9188     293.15     286.79     286.74     0.2872     -1.6626     61.504     62.524     63.167     580.26    1668.69
  1910.417     0.9549     294.15     286.80     286.83     0.4520     -2.3024     60.804     62.260     63.106     578.76    1668.45
  1911.417     0.9800     295.45     286.99     287.11     0.5136     -1.7728     61.508     61.850     63.281     577.30    1667.38
  1912.417     1.0252     295.51     286.77     286.65     0.2991      1.8844     64.113     62.431     62.229     577.82    1667.16
  1913.417     1.0773     295.73     286.79     286.80     0.6494     -1.7871     60.607     62.038     62.394     577.41    1667.65
  1914.417     1.0125     296.45     286.80     286.78     0.3782      0.0343     62.495     62.240     62.461     576.26    1667.59
  1915.417     0.9917     296.22     286.70     286.59     0.2148      1.7282     63.982     62.127     62.254     577.17    1667.78
  1916.417     1.0466     295.78     286.83     286.96     0.5454      1.4007     64.625     63.097     63.224     578.78    1667.81
