     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fveglitter       frh     cveg        csoil
  1851.417     0.5584     285.95     286.28     286.04    -0.1276     -0.4513    121.930    122.008    122.381    1377.35    1243.86
  1852.417     0.6543     285.93     286.06     285.63    -0.0868      0.6849    122.503    122.207    121.818    1377.75    1244.60
  1853.417     0.6670     285.82     286.22     285.85    -0.0862      0.9300    122.583    122.336    121.653    1378.21    1245.47
  1854.417     0.6757     286.36     286.41     286.28    -0.1331     -0.4184    121.840    122.068    122.258    1377.70    1244.91
  1855.417     0.6759     286.68     286.07     285.63    -0.0877     -0.0033    120.982    121.047    120.985    1377.70    1245.08
  1856.417     0.6843     286.74     286.30     286.00     0.0134      0.2712    120.758    120.959    120.487    1377.72    1245.62
  1857.417     0.6925     287.25     286.35     286.02     0.1435     -0.8310    120.347    120.962    121.178    1376.78    1245.48
  1858.417     0.6999     287.81     286.38     286.25     0.1201     -0.9591    121.541    121.733    122.500    1376.65    1244.51
  1859.417     0.7105     288.07     286.13     285.87    -0.0098      0.4773    122.749    122.133    122.271    1377.31    1244.29
  1860.417     0.7240     287.85     286.24     285.92    -0.0998      1.0411    122.812    122.275    121.771    1378.02    1245.17
  1861.417     0.7344     288.25     286.46     286.34     0.0667     -0.1390    122.812    122.701    122.951    1377.95    1244.76
  1862.417     0.6908     288.67     286.23     286.00     0.0308      0.1068    122.732    122.320    122.625    1378.32    1244.14
  1863.417     0.6867     288.42     286.37     286.11    -0.0491      1.0330    123.143    122.451    122.110    1379.21    1244.92
  1864.417     0.6948     288.61     286.51     286.18     0.0959      0.2219    124.507    124.043    124.285    1379.58    1244.60
  1865.417     0.7042     289.07     286.56     286.41     0.1803     -0.6116    122.880    122.778    123.492    1379.71    1243.66
  1866.417     0.7089     289.38     286.35     286.08     0.1865     -0.0488    121.120    121.117    121.169    1379.53    1243.61
  1867.417     0.7163     289.15     286.21     285.87     0.0363      0.9387    122.845    122.493    121.906    1380.07    1244.47
  1868.417     0.7179     289.25     286.42     286.33     0.0183      0.5840    123.076    122.635    122.492    1380.54    1244.52
  1869.417     0.7257     289.66     286.28     286.05     0.1422     -0.1740    120.975    120.917    121.149    1380.44    1244.18
  1870.417     0.7305     289.85     286.41     286.25     0.0389     -0.0439    122.061    121.991    122.105    1380.66    1244.14
  1871.417     0.7647     290.22     286.34     286.06     0.1837     -0.0319    121.928    121.765    121.960    1380.64    1243.92
  1872.417     0.8566     290.38     286.33     286.16     0.2279      0.2398    122.987    122.691    122.747    1381.06    1243.76
  1873.417     0.8956     290.43     286.39     286.21     0.1045      0.3546    122.073    121.790    121.718    1381.37    1244.15
  1874.417     0.8936     290.79     286.50     286.31     0.2366     -0.0757    122.472    122.347    122.548    1381.39    1243.60
  1875.417     0.9149     290.88     286.17     285.97     0.1431      0.5757    122.618    122.185    122.042    1381.79    1243.85
  1876.417     0.9255     290.81     286.26     285.93    -0.0277      0.8857    123.107    122.740    122.221    1382.46    1244.56
  1877.417     0.9382     291.27     286.42     286.21     0.0946     -0.1426    121.606    121.759    121.749    1382.01    1244.26
  1878.417     0.9482     291.62     286.25     285.88     0.2642     -0.1953    121.117    121.431    121.312    1381.83    1244.65
  1879.417     0.9697     291.93     286.41     286.27     0.2325      0.1717    122.888    122.796    122.716    1381.84    1244.53
  1880.417     1.0069     291.99     286.08     285.69     0.2507      0.9314    122.442    122.048    121.511    1382.15    1244.92
  1881.417     1.0447     291.50     286.15     285.74    -0.0031      1.7214    123.627    123.225    121.905    1382.82    1246.78
  1882.417     1.0288     291.85     286.47     286.30     0.0244      0.6953    124.566    124.078    123.870    1383.08    1246.76
  1883.417     1.0427     292.40     286.40     286.32     0.2054     -0.4519    122.194    122.084    122.646    1383.39    1246.02
  1884.417     1.0515     292.90     286.20     285.88     0.2663     -0.2067    120.221    120.439    120.427    1382.93    1246.03
  1885.417     1.0597     292.90     286.31     286.13     0.1117      0.3602    122.512    122.475    122.152    1383.20    1246.57
  1886.417     1.0676     293.27     286.36     286.20     0.1673      0.2244    122.779    122.652    122.555    1383.15    1246.55
  1887.417     1.0818     293.58     286.22     286.08     0.0941      0.4572    122.503    122.276    122.046    1383.31    1246.68
  1888.417     1.1124     293.56     286.20     285.88     0.0729      1.0932    123.692    123.244    122.599    1384.02    1247.49
  1889.417     1.1148     293.83     286.33     286.21     0.1100      0.9135    122.907    122.534    121.994    1384.21    1247.90
  1890.417     1.1429     294.01     286.34     286.00     0.1845      0.4688    123.973    123.693    123.504    1384.65    1248.33
  1891.417     1.1595     294.44     286.54     286.38     0.3088     -0.3357    123.252    123.136    123.588    1384.66    1247.73
  1892.417     1.1730     295.02     286.37     286.25     0.3214     -0.2856    122.740    122.569    123.025    1384.69    1246.94
  1893.417     1.1748     294.68     286.20     285.84     0.2886      1.0883    123.996    123.430    122.907    1385.57    1248.00
  1894.417     1.2026     295.01     286.38     286.16     0.1810      0.8730    122.642    122.282    121.769    1385.67    1248.15
