     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fvegsoil       frh     cveg        csoil
  1862.417  -999.0000     287.04     286.28     285.94    -0.2741     -0.0240     82.455     82.571     82.479    1005.80    1795.34
  1863.417  -999.0000     285.62     286.09     285.37    -0.3662      2.2307     88.689     87.504     86.458    1008.81    1796.23
  1864.417  -999.0000     285.38     286.36     285.80    -0.2595      1.0286     81.917     81.996     80.888    1008.41    1797.76
  1865.417  -999.0000     287.11     286.37     285.83    -0.0401     -2.8495     81.452     84.355     84.302    1004.82    1797.52
  1866.417  -999.0000     288.76     286.50     285.90     0.4726     -4.4379     77.042     81.270     81.480    1000.77    1797.51
  1867.417  -999.0000     289.78     286.55     286.05     0.3557     -2.2962     85.705     87.364     88.001     997.92    1796.56
  1868.417  -999.0000     287.71     286.41     285.92    -0.0149      2.3985     88.244     85.624     85.846    1002.18    1796.43
  1869.417  -999.0000     287.37     286.41     285.99    -0.0412      0.7497     81.524     80.951     80.774    1003.05    1796.77
  1870.417  -999.0000     289.07     286.41     286.08     0.0903     -2.5694     81.250     83.466     83.819     999.28    1796.22
  1871.417  -999.0000     289.29     286.38     286.11    -0.0638     -1.5316     84.576     85.577     86.107     999.16    1796.00
  1872.417  -999.0000     289.58     286.47     286.21     0.2295     -0.3568     85.248     85.122     85.605     999.59    1795.09
  1873.417  -999.0000     290.46     286.62     286.20     0.4188     -2.5170     80.920     82.716     83.437     997.56    1794.73
  1874.417  -999.0000     291.95     286.72     286.50     0.3323     -3.4654     82.033     84.558     85.499     994.40    1793.62
  1875.417  -999.0000     292.13     286.50     286.08     0.1298     -0.9709     84.308     84.771     85.279     994.25    1792.87
  1876.417  -999.0000     291.44     286.42     285.90     0.1307      0.4277     85.476     85.214     85.048     995.16    1793.27
  1877.417  -999.0000     291.81     286.57     286.15     0.3052     -0.1672     84.291     84.902     84.458     993.79    1793.66
  1878.417  -999.0000     291.94     286.59     286.10     0.3672     -1.7930     82.601     84.386     84.394     992.80    1793.92
  1879.417  -999.0000     292.94     286.67     286.22     0.3365     -1.3448     85.657     86.630     87.002     990.47    1793.22
  1880.417  -999.0000     291.82     286.54     286.10    -0.0371      0.9490     87.801     86.850     86.852     992.38    1793.37
  1881.417  -999.0000     291.92     286.52     286.07    -0.0545      0.5456     85.265     84.932     84.719     993.03    1793.70
  1882.417  -999.0000     293.16     286.61     286.22     0.1951     -2.1687     81.610     83.724     83.778     990.70    1793.55
  1883.417  -999.0000     295.16     286.69     286.13     0.5693     -4.3385     79.786     83.991     84.125     986.15    1793.33
  1884.417  -999.0000     296.27     286.35     285.64     1.0360     -3.8762     80.371     84.576     84.247     981.66    1793.63
  1885.417  -999.0000     296.06     286.21     285.58     0.6652     -0.8151     85.345     86.618     86.161     980.45    1794.29
  1886.417  -999.0000     295.53     286.36     285.94     0.3925      1.3815     87.008     85.836     85.626     982.13    1794.17
  1887.417  -999.0000     294.66     286.24     285.66     0.1805      2.0366     87.597     86.090     85.560     983.35    1794.79
  1888.417  -999.0000     294.08     286.30     285.84     0.1163      0.6213     84.022     83.757     83.401     984.04    1795.61
  1889.417  -999.0000     295.09     286.27     285.93     0.1650     -0.5068     86.383     86.838     86.890     982.73    1795.01
  1890.417  -999.0000     294.29     286.14     285.64    -0.0110      1.3676     89.765     89.083     88.397     984.52    1795.93
  1891.417  -999.0000     294.84     286.23     285.76     0.1159     -0.4172     82.252     83.313     82.669     983.02    1796.63
  1892.417  -999.0000     295.99     286.20     285.58     0.0602     -1.6589     86.557     88.270     88.216     980.69    1796.56
  1893.417  -999.0000     295.63     286.42     285.92     0.0080     -0.2866     85.379     85.719     85.666     981.21    1796.77
  1894.417  -999.0000     296.82     286.45     286.00     0.2030     -2.1776     82.490     84.648     84.667     978.94    1796.50
  1895.417  -999.0000     298.04     286.52     286.16     0.3832     -2.8258     84.099     86.628     86.925     975.61    1796.36
  1896.417  -999.0000     297.57     286.45     285.98     0.2150     -0.0875     89.693     89.333     89.781     976.32    1795.90
  1897.417  -999.0000     296.89     286.44     285.96     0.1359      1.5561     88.852     87.159     87.296     978.40    1795.63
  1898.417  -999.0000     296.19     286.30     285.86    -0.1592      2.3025     91.591     89.547     89.288     980.06    1796.12
  1899.417  -999.0000     295.69     286.48     285.98     0.0000      1.2331     88.737     88.006     87.504     982.04    1796.45
  1900.417  -999.0000     297.11     286.64     286.15     0.3047     -2.6804     83.070     85.856     85.751     978.12    1796.67
  1901.417  -999.0000     299.10     286.64     286.07     0.6106     -4.1989     83.740     87.214     87.939     973.93    1795.89
  1902.417  -999.0000     299.09     286.49     285.93     0.2399     -1.0356     90.359     90.949     91.394     974.15    1795.25
  1903.417  -999.0000     298.76     286.40     285.86     0.4517      0.7656     87.759     87.500     86.994     974.70    1796.06
  1904.417  -999.0000     299.29     286.36     285.72     0.4649     -1.4684     85.883     88.131     87.351     972.60    1796.67
  1905.417  -999.0000     300.64     286.55     285.98     0.5340     -3.2414     84.651     88.274     87.893     968.29    1797.16
  1906.417  -999.0000     302.26     286.57     285.99     0.6432     -2.7679     86.217     88.587     88.984     965.46    1796.73
  1907.417  -999.0000     301.95     286.58     286.07     0.2999     -0.8771     88.339     88.821     89.216     966.16    1796.36
  1908.417  -999.0000     302.79     286.58     286.20     0.5040     -0.9433     86.024     86.842     86.967     964.68    1796.15
  1909.417  -999.0000     303.29     286.41     285.96     0.1861     -1.0187     86.768     87.889     87.787     963.39    1796.34
  1910.417  -999.0000     303.52     286.54     286.04     0.3050     -0.0697     89.333     89.467     89.402     964.01    1796.51
  1911.417  -999.0000     304.46     286.77     286.29     0.5687     -1.8711     85.946     87.029     87.817     962.79    1795.56
  1912.417  -999.0000     305.87     286.74     286.33     0.8369     -4.0977     84.539     87.578     88.637     959.57    1794.38
  1913.417  -999.0000     307.02     286.57     285.91     0.7778     -2.7073     85.872     88.376     88.580     956.33    1794.21
  1914.417  -999.0000     306.57     286.50     286.01     0.5312     -0.6515     88.970     90.159     89.621     956.63    1794.76
  1915.417  -999.0000     307.34     286.66     286.30     0.5874     -0.7371     89.484     90.244     90.221     954.17    1795.06
  1916.417  -999.0000     307.77     286.70     286.36     0.5534     -1.4573     87.538     88.504     88.995     954.33    1794.28
  1917.417  -999.0000     308.02     286.85     286.39     0.5247     -0.9386     90.203     90.689     91.141     953.62    1794.23
  1918.417  -999.0000     308.87     286.84     286.56     0.6841     -1.7746     86.028     86.832     87.803     952.91    1792.83
  1919.417  -999.0000     309.63     286.73     286.51     0.6192     -1.9570     90.240     90.873     92.197     951.52    1791.51
  1920.417  -999.0000     308.41     286.62     286.23     0.1735      1.7088     94.609     92.448     92.900     954.21    1791.03
