     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fvegsoil       frh     cveg        csoil
  1862.417  -999.0000     286.73     286.91     286.33    -0.0937     -2.7983     76.780     79.058     79.578    1140.98    1593.18
  1863.417  -999.0000     289.27     287.17     286.68     0.4955     -6.1689     67.569     72.922     73.738    1134.82    1592.13
  1864.417  -999.0000     291.00     287.07     286.64     0.4906     -4.3006     80.232     83.670     84.532    1128.71    1591.44
  1865.417  -999.0000     288.16     286.70     286.26    -0.3090      4.6132     87.926     83.531     83.313    1136.09    1591.49
  1866.417  -999.0000     286.10     286.75     286.31    -0.5177      4.6355     82.947     79.019     78.312    1141.16    1592.58
  1867.417  -999.0000     287.97     286.77     286.30    -0.0074     -0.7410     75.864     77.016     76.605    1137.30    1592.56
  1868.417  -999.0000     287.93     286.68     286.21    -0.1989     -0.6585     81.813     82.644     82.472    1137.59    1592.96
  1869.417  -999.0000     288.21     286.67     286.23    -0.2582      0.0835     79.336     78.966     79.252    1138.14    1592.64
  1870.417  -999.0000     288.83     286.81     286.42    -0.1143     -1.7862     77.630     79.214     79.416    1136.92    1592.41
  1871.417  -999.0000     290.44     286.91     286.51     0.2326     -3.7317     75.399     78.827     79.130    1132.44    1592.18
  1872.417  -999.0000     291.68     287.01     286.60     0.4717     -3.5787     76.954     79.945     80.533    1129.66    1591.44
  1873.417  -999.0000     292.15     287.01     286.62     0.4367     -2.3604     78.149     79.917     80.510    1128.50    1590.91
  1874.417  -999.0000     292.72     286.95     286.53     0.4377     -1.3060     80.176     80.727     81.482    1126.69    1590.18
  1875.417  -999.0000     291.74     286.89     286.46     0.0273      0.4144     82.394     81.564     81.980    1129.27    1589.78
  1876.417  -999.0000     292.62     287.08     286.66     0.2654     -1.7192     75.716     77.216     77.435    1126.82    1589.54
  1877.417  -999.0000     293.29     287.07     286.81     0.4418     -2.7487     80.167     82.517     82.916    1123.56    1589.14
  1878.417  -999.0000     292.29     286.78     286.36     0.0608      1.2998     86.183     84.746     84.883    1126.29    1588.93
  1879.417  -999.0000     291.61     286.88     286.42    -0.1735      1.9987     81.797     80.076     79.798    1127.92    1589.39
  1880.417  -999.0000     292.19     286.84     286.26     0.1441      0.0670     81.548     81.917     81.481    1127.67    1589.48
  1881.417  -999.0000     293.26     286.83     286.29     0.1561     -1.8720     77.195     79.378     79.067    1125.36    1590.21
  1882.417  -999.0000     294.96     286.97     286.54     0.5906     -4.3971     76.636     81.089     81.033    1121.11    1589.94
  1883.417  -999.0000     296.59     286.95     286.43     0.7981     -4.8116     76.120     81.020     80.931    1114.88    1590.29
  1884.417  -999.0000     296.55     286.48     285.82     0.6432     -0.0925     83.827     85.155     83.920    1114.18    1591.25
  1885.417  -999.0000     295.14     286.31     285.55     0.3054      3.7082     83.378     81.820     79.670    1115.73    1593.69
  1886.417  -999.0000     293.98     286.47     285.70    -0.2496      2.7888     84.151     83.129     81.362    1118.06    1595.37
  1887.417  -999.0000     294.35     286.57     285.72     0.1134     -0.0285     79.526     80.577     79.554    1115.89    1596.47
  1888.417  -999.0000     296.10     286.86     286.07     0.4548     -4.2452     74.711     78.854     78.957    1111.94    1596.23
  1889.417  -999.0000     298.01     286.91     286.25     0.6925     -6.0495     74.307     79.529     80.357    1106.82    1595.49
  1890.417  -999.0000     299.75     286.90     286.36     0.9252     -4.3834     77.260     80.861     81.644    1101.85    1594.47
  1891.417  -999.0000     298.49     286.62     286.01     0.4461      0.7403     83.643     82.865     82.903    1104.09    1594.61
  1892.417  -999.0000     297.52     286.67     285.94     0.1398      3.0525     82.730     80.317     79.678    1106.68    1595.24
  1893.417  -999.0000     298.04     286.80     286.31     0.2309     -0.8601     78.465     79.360     79.325    1105.84    1595.53
  1894.417  -999.0000     300.42     287.12     286.73     0.7137     -5.7814     72.937     77.819     78.718    1100.75    1594.21
  1895.417  -999.0000     302.34     287.25     287.06     0.9564     -5.2303     78.604     82.743     83.834    1094.69    1593.22
  1896.417  -999.0000     300.58     286.72     286.28     0.3472      2.9409     92.336     89.518     89.395    1098.96    1593.26
  1897.417  -999.0000     297.89     286.78     286.42    -0.0313      5.8770     87.823     82.690     81.946    1105.13    1594.38
  1898.417  -999.0000     298.73     286.86     286.30     0.1272      1.1017     82.130     81.128     81.028    1105.30    1594.34
  1899.417  -999.0000     299.97     286.93     286.53     0.3864     -2.3388     80.031     81.970     82.370    1103.54    1593.82
  1900.417  -999.0000     301.08     286.97     286.72     0.3733     -2.8652     80.002     82.195     82.868    1100.69    1593.15
  1901.417  -999.0000     301.52     286.82     286.28     0.3600     -1.0440     82.464     83.172     83.508    1100.40    1592.74
  1902.417  -999.0000     300.71     286.72     286.03     0.0510      1.8347     86.626     85.721     84.791    1101.56    1593.68
  1903.417  -999.0000     300.60     286.72     286.10     0.4412     -0.3156     77.471     78.857     77.787    1100.50    1594.98
  1904.417  -999.0000     302.39     286.90     286.29     0.6727     -4.6634     76.698     81.303     81.361    1094.86    1594.80
  1905.417  -999.0000     303.18     286.87     286.38     0.5585     -2.9316     82.924     85.248     85.856    1093.06    1594.24
  1906.417  -999.0000     303.91     286.91     286.43     0.6631     -1.3908     80.894     81.598     82.285    1092.11    1593.46
  1907.417  -999.0000     304.59     287.02     286.59     0.5507     -1.8129     81.957     83.225     83.770    1091.15    1592.84
  1908.417  -999.0000     304.86     286.89     286.45     0.4480      0.0016     84.910     84.729     84.909    1090.41    1592.81
  1909.417  -999.0000     303.32     286.71     286.23     0.1673      3.4695     89.596     86.409     86.127    1094.45    1593.12
  1910.417  -999.0000     302.00     286.75     286.23     0.0076      3.5560     86.518     83.563     82.962    1098.09    1593.65
  1911.417  -999.0000     303.14     286.96     286.39     0.4403     -2.4347     77.614     80.315     80.049    1095.49    1594.08
  1912.417  -999.0000     305.65     287.12     286.84     0.9106     -5.1555     81.030     85.508     86.186    1088.66    1593.00
  1913.417  -999.0000     304.54     286.70     286.24     0.4371      1.5847     92.514     90.896     90.930    1091.73    1593.17
  1914.417  -999.0000     302.94     286.80     286.34     0.1804      4.4301     88.330     84.472     83.900    1096.35    1593.92
  1915.417  -999.0000     303.58     286.89     286.44     0.2658     -0.0195     83.450     83.718     83.470    1095.51    1593.88
  1916.417  -999.0000     304.34     286.91     286.55     0.4286     -2.6699     83.551     86.234     86.221    1093.29    1594.12
  1917.417  -999.0000     306.29     286.92     286.48     0.5691     -3.4350     81.631     84.745     85.066    1088.92    1593.76
  1918.417  -999.0000     307.35     286.86     286.34     0.5996     -3.1667     81.189     84.051     84.356    1087.17    1593.50
  1919.417  -999.0000     308.82     286.97     286.60     0.7008     -2.7677     82.406     84.957     85.174    1083.96    1592.91
  1920.417  -999.0000     309.05     286.91     286.39     0.6706     -0.8493     86.500     87.509     87.349    1082.58    1593.51
  1921.417  -999.0000     308.85     286.82     286.28     0.5533     -0.3073     84.247     84.893     84.555    1083.72    1593.74
  1922.417  -999.0000     310.94     287.15     286.72     0.9393     -4.4136     78.767     82.530     83.181    1078.27    1593.16
  1923.417  -999.0000     312.79     287.18     286.82     1.0819     -4.7219     82.096     85.359     86.818    1074.63    1591.47
  1924.417  -999.0000     311.67     286.98     286.66     0.6109      0.9676     90.727     89.108     89.759    1077.62    1590.92
  1925.417  -999.0000     311.37     287.07     286.61     0.7265      1.4091     84.651     83.165     83.242    1078.90    1590.75
  1926.417  -999.0000     312.71     287.21     286.78     0.8529     -3.2217     79.991     82.950     83.213    1075.89    1590.57
  1927.417  -999.0000     314.21     287.21     286.85     0.9940     -4.3118     83.503     87.321     87.815    1071.38    1590.20
  1928.417  -999.0000     314.95     287.13     286.75     0.8838     -2.2335     84.733     86.354     86.966    1070.16    1589.30
  1929.417  -999.0000     315.05     286.90     286.50     0.7155      1.0268     89.812     88.662     88.785    1070.59    1589.40
  1930.417  -999.0000     313.31     286.76     286.12     0.3629      3.8489     92.181     89.329     88.332    1075.17    1590.30
  1931.417  -999.0000     313.41     287.00     286.55     0.5523      0.8271     83.812     83.881     82.985    1073.98    1591.39
  1932.417  -999.0000     314.10     287.06     286.60     0.6535     -2.8742     86.786     89.724     89.661    1072.23    1591.38
  1933.417  -999.0000     316.17     287.33     287.24     1.0984     -3.9057     81.880     85.196     85.785    1066.24    1590.80
  1934.417  -999.0000     316.03     287.00     286.62     0.7984      0.0839     94.171     93.613     94.087    1068.62    1590.13
  1935.417  -999.0000     314.69     287.03     286.71     0.4957      3.4890     91.249     88.052     87.760    1072.20    1590.69
  1936.417  -999.0000     315.69     287.07     286.62     0.5861     -1.3418     83.376     84.714     84.718    1070.65    1590.53
  1937.417  -999.0000     317.93     287.18     286.73     0.9844     -5.7202     80.337     85.648     86.057    1065.32    1590.06
  1938.417  -999.0000     319.65     287.31     286.99     1.0967     -4.6435     86.195     90.358     90.839    1059.42    1589.61
  1939.417  -999.0000     318.64     286.99     286.65     0.5574      1.8210     96.499     94.500     94.678    1062.66    1589.49
  1940.417  -999.0000     316.85     286.96     286.46     0.4814      3.5869     92.885     89.758     89.298    1067.64    1590.14
  1941.417  -999.0000     319.42     287.09     286.57     1.1310     -3.2332     80.322     83.566     83.555    1062.41    1589.79
  1942.417  -999.0000     321.79     287.13     286.77     1.1752     -7.0707     82.377     88.791     89.447    1056.49    1589.45
  1943.417  -999.0000     324.43     287.16     286.82     1.3017     -3.9089     85.692     88.883     89.601    1051.51    1588.38
  1944.417  -999.0000     322.93     286.97     286.49     0.7731      0.6900     90.809     90.088     90.119    1054.94    1588.57
  1945.417  -999.0000     323.60     287.15     286.62     0.9504     -0.5541     84.039     84.551     84.593    1053.33    1588.61
  1946.417  -999.0000     325.11     287.22     286.83     1.1220     -4.1714     85.237     88.611     89.408    1050.18    1587.64
  1947.417  -999.0000     326.89     287.33     287.13     1.4213     -4.6103     84.362     88.273     88.972    1045.79    1586.98
  1948.417  -999.0000     327.94     287.23     286.88     1.2364     -3.1173     86.955     89.256     90.073    1043.29    1586.27
  1949.417  -999.0000     328.13     287.19     286.77     1.0818     -0.1001     90.072     89.264     90.172    1044.46    1585.25
  1950.417  -999.0000     328.16     287.23     286.81     1.1753     -1.0914     85.322     85.690     86.413    1045.15    1584.52
  1951.417  -999.0000     329.84     287.48     287.24     1.3814     -5.6223     84.019     88.810     89.641    1039.44    1583.63
  1952.417  -999.0000     331.92     287.35     287.04     1.5918     -5.4968     86.824     91.677     92.321    1033.78    1583.16
  1953.417  -999.0000     332.20     287.24     286.89     1.1220     -0.9472     94.157     95.079     95.104    1033.92    1583.16
  1954.417  -999.0000     333.13     287.42     287.18     1.4478     -2.0454     86.605     88.417     88.650    1032.62    1582.76
  1955.417  -999.0000     335.83     287.47     287.18     1.6512     -5.9813     84.500     89.780     90.482    1026.17    1582.05
  1956.417  -999.0000     337.21     287.30     286.96     1.5329     -3.0834     93.558     96.022     96.642    1023.06    1581.55
  1957.417  -999.0000     336.76     287.25     287.01     1.2404      0.3676     93.511     92.937     93.144    1025.45    1581.26
  1958.417  -999.0000     337.92     287.39     287.18     1.3526     -1.1652     91.345     92.091     92.510    1023.57    1580.87
  1959.417  -999.0000     338.55     287.28     286.93     1.3236     -1.3852     94.268     95.129     95.654    1022.91    1580.34
  1960.417  -999.0000     339.06     287.28     286.99     1.1405      0.1497     93.132     92.693     92.982    1022.72    1580.13
  1961.417  -999.0000     339.57     287.18     286.86     1.3278      0.8831     94.226     93.026     93.343    1025.32    1579.74
  1962.417  -999.0000     340.85     287.35     287.04     1.3974     -2.1947     86.284     87.931     88.478    1023.82    1579.15
  1963.417  -999.0000     343.49     287.42     287.10     1.9029     -5.9123     85.949     90.998     91.861    1017.49    1578.30
  1964.417  -999.0000     344.67     287.25     286.99     1.9670     -3.5616     90.404     93.194     93.965    1014.66    1577.55
