     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fveglitter       frh     cveg        csoil
  1860.417  -999.0000     286.20     286.66     286.07    -0.1001     -0.5227     75.297     76.094     75.820     754.45    1306.12
  1861.417  -999.0000     286.80     286.77     286.30    -0.1450     -0.3543     76.563     76.462     76.918     754.27    1305.73
  1862.417  -999.0000     287.00     286.73     286.13    -0.2815      0.5961     77.255     77.060     76.659     754.66    1306.12
  1863.417  -999.0000     287.60     286.80     286.23    -0.1544      0.3056     78.362     78.404     78.056     754.34    1306.25
  1864.417  -999.0000     287.90     286.85     286.17    -0.2507      0.1622     77.540     76.979     77.378     754.71    1306.40
  1865.417  -999.0000     289.10     287.05     286.43    -0.0630     -3.2692     74.195     74.340     77.464     755.09    1304.24
  1866.417  -999.0000     289.50     287.08     286.52     0.2334      0.4333     78.374     77.014     77.940     755.75    1302.30
  1867.417  -999.0000     289.40     286.97     286.32     0.2099      0.8794     77.471     77.419     76.592     756.15    1302.28
  1868.417  -999.0000     290.00     286.91     286.13     0.1280     -1.0699     76.127     76.518     77.197     755.50    1302.29
  1869.417  -999.0000     290.40     287.07     286.55     0.0973     -1.0355     76.470     76.243     77.506     755.68    1301.59
  1870.417  -999.0000     290.80     287.08     286.61     0.2388     -0.1193     77.400     76.407     77.519     756.13    1300.26
  1871.417  -999.0000     291.30     287.12     286.57     0.1558     -0.9071     76.821     76.678     77.728     756.42    1298.96
  1872.417  -999.0000     291.40     287.07     286.59     0.2432      0.6584     77.362     77.378     76.704     756.45    1299.03
  1873.417  -999.0000     291.80     287.12     286.64     0.2145     -0.2168     77.699     77.453     77.916     756.37    1299.01
  1874.417  -999.0000     291.40     286.92     286.40     0.0379      3.0270     80.374     79.471     77.347     756.84    1299.96
  1875.417  -999.0000     290.60     286.91     286.30     0.2924      2.8159     80.835     80.238     78.019     757.40    1302.19
  1876.417  -999.0000     289.90     286.99     286.32     0.0987      1.9009     80.199     79.583     78.298     757.97    1303.69
  1877.417  -999.0000     290.00     287.04     286.52     0.1369     -0.6184     77.442     77.758     78.060     757.97    1304.45
  1878.417  -999.0000     291.20     287.03     286.73     0.1751     -1.6684     77.075     77.204     78.743     757.35    1302.87
  1879.417  -999.0000     291.60     286.89     286.38     0.2079      0.1741     78.034     78.534     77.860     756.60    1302.71
  1880.417  -999.0000     292.00     286.83     286.14     0.3547     -0.8288     74.963     76.415     75.792     755.14    1303.70
  1881.417  -999.0000     292.40     286.76     286.17     0.1281      0.7243     77.128     77.172     76.403     754.48    1304.28
  1882.417  -999.0000     292.50     286.75     286.21     0.2728      1.0852     77.769     77.729     76.683     754.42    1305.22
  1883.417  -999.0000     292.40     286.66     286.01     0.3176      1.4956     78.545     78.678     77.050     754.10    1306.68
  1884.417  -999.0000     292.20     286.36     285.57     0.4414      2.3061     78.530     79.007     76.223     753.66    1308.79
  1885.417  -999.0000     292.10     286.40     285.54     0.4671      0.8046     77.534     78.074     76.730     752.79    1310.98
  1886.417  -999.0000     291.90     286.50     285.70     0.4568      0.7400     77.050     77.029     76.310     752.63    1312.19
  1887.417  -999.0000     292.50     286.60     285.95     0.2826     -1.1763     76.097     76.803     77.274     751.99    1312.47
  1888.417  -999.0000     293.50     286.78     286.24     0.3581     -0.4600     78.271     77.820     78.731     751.71    1310.81
  1889.417  -999.0000     293.50     286.61     285.83     0.4486      0.9422     77.628     77.744     76.686     751.77    1311.27
  1890.417  -999.0000     294.20     286.72     286.05     0.4614     -2.2910     74.586     75.648     76.877     751.00    1311.15
  1891.417  -999.0000     295.10     286.70     286.08     0.5339     -1.0807     76.356     77.008     77.437     749.72    1310.08
  1892.417  -999.0000     295.50     286.70     286.00     0.4939      0.0937     77.311     77.866     77.217     749.02    1310.53
  1893.417  -999.0000     296.10     286.80     286.13     0.4144     -2.4455     74.989     75.945     77.435     748.35    1310.61
  1894.417  -999.0000     297.00     286.80     286.05     0.6658      0.0482     77.198     77.193     77.150     747.41    1309.09
  1895.417  -999.0000     297.00     286.83     286.25     0.3415      1.1410     80.047     79.374     78.906     747.72    1309.40
  1896.417  -999.0000     296.70     286.70     286.07     0.3526      2.1945     81.231     80.559     79.037     748.14    1310.84
  1897.417  -999.0000     296.40     286.77     286.19     0.2523      2.3034     81.113     80.407     78.810     749.01    1312.48
