     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fveglitter       frh     cveg        csoil
  1851.417  -999.0000     281.14     286.10     283.42     2.4625      2.2792     60.417     59.407     58.137     543.67    1623.17
  1852.417  -999.0000     280.66     286.19     283.62     3.5001      0.8546     59.450     59.542     58.596     543.77    1624.33
  1853.417  -999.0000     280.91     286.28     283.74     3.3872     -0.6450     58.360     59.205     59.005     542.78    1624.33
  1854.417  -999.0000     280.39     286.20     283.53     2.2971      1.7469     59.953     58.495     58.206     543.85    1624.53
  1855.417  -999.0000     280.27     286.15     283.50     2.9076      0.5190     59.148     59.106     58.629     543.81    1625.33
  1856.417  -999.0000     280.85     286.27     283.63     3.3815     -2.0523     57.352     58.923     59.404     542.80    1624.81
  1857.417  -999.0000     282.39     286.29     283.86     3.0500     -2.9136     56.919     58.273     59.832     541.14    1623.00
  1858.417  -999.0000     282.55     286.22     283.52     2.7430      0.2653     58.996     57.498     58.731     542.13    1621.68
  1859.417  -999.0000     282.29     286.12     283.39     2.7744      1.3223     59.687     58.244     58.364     542.97    1621.74
  1860.417  -999.0000     282.58     286.27     283.78     2.6836     -0.6811     58.420     58.961     59.101     542.38    1621.71
  1861.417  -999.0000     282.98     286.34     284.00     3.0301     -0.2178     59.074     58.785     59.292     542.55    1621.03
  1862.417  -999.0000     283.12     286.20     283.51     3.0983      0.4302     59.452     58.726     59.021     542.46    1620.65
  1863.417  -999.0000     282.48     286.09     283.35     3.1395      1.6046     59.317     58.246     57.712     543.17    1621.37
  1864.417  -999.0000     282.18     286.25     283.78     3.6485      0.0347     59.000     59.369     58.965     542.79    1621.83
  1865.417  -999.0000     281.84     286.28     283.77     3.0512      0.1914     59.360     58.867     59.169     543.45    1621.41
  1866.417  -999.0000     282.03     286.19     283.61     3.0911      0.4228     58.846     58.370     58.423     543.24    1621.24
  1867.417  -999.0000     281.47     286.10     283.45     2.7697      1.4113     59.345     58.385     57.934     543.93    1621.88
  1868.417  -999.0000     281.57     286.21     283.58     3.0606     -0.0367     58.538     58.881     58.575     543.46    1622.25
