     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fvegsoil       frh     cveg        csoil
  1851.417  -999.0000     283.40     285.22     285.38    -0.2707      0.7191    103.195    103.404    102.476     951.91    1854.56
  1852.417  -999.0000     284.00     285.37     285.68    -0.1446     -0.2256    101.297    101.721    101.522     951.09    1854.27
  1853.417  -999.0000     284.10     285.26     285.35     0.1560     -0.9291     99.939    100.684    100.868     949.79    1854.48
  1854.417  -999.0000     283.90     285.27     285.48     0.1410     -0.4691    100.902    101.473    101.371     950.35    1854.36
  1855.417  -999.0000     284.50     285.41     285.67     0.1657     -1.1955     97.934     99.096     99.129     948.78    1854.38
  1856.417  -999.0000     285.40     285.33     285.72     0.2165     -2.3401     97.589     99.590     99.929     946.33    1854.00
  1857.417  -999.0000     285.70     285.15     285.35     0.3737     -1.6679     98.477     99.805    100.145     945.00    1853.63
  1858.417  -999.0000     285.30     285.12     285.41     0.5426      0.5220    101.042    100.620    100.520     945.45    1853.76
  1859.417  -999.0000     284.20     285.11     285.39     0.3390      1.9305    101.553    100.046     99.622     947.41    1854.08
  1860.417  -999.0000     283.80     285.24     285.44     0.1480      0.9695     99.442     98.997     98.472     947.81    1854.91
  1861.417  -999.0000     283.80     285.36     285.52     0.2023     -0.0214    100.374    100.746    100.396     947.25    1855.00
  1862.417  -999.0000     283.80     285.17     285.39     0.3484     -0.2718     99.369     99.889     99.641     946.84    1855.52
  1863.417  -999.0000     283.80     285.33     285.71     0.2168     -0.0795    100.761    100.848    100.840     946.67    1855.05
  1864.417  -999.0000     283.70     285.26     285.53     0.0228     -0.1603     98.593     98.854     98.753     946.26    1855.65
  1865.417  -999.0000     283.70     285.18     285.49     0.0546     -0.0036    101.120    101.362    101.124     946.18    1855.54
  1866.417  -999.0000     283.60     285.16     285.47    -0.0336      0.2722    100.803    100.505    100.531     946.38    1855.68
  1867.417  -999.0000     283.60     285.16     285.29     0.0176     -0.2386    100.940    101.124    101.179     946.46    1855.66
  1868.417  -999.0000     283.50     285.16     285.36    -0.0650      0.3306    100.826    100.684    100.495     946.24    1855.59
  1869.417  -999.0000     283.50     285.11     285.38    -0.3095      0.5158    102.178    101.906    101.662     946.69    1856.22
  1870.417  -999.0000     284.00     285.22     285.39    -0.0255     -0.9873    100.480    101.378    101.467     946.22    1856.09
  1871.417  -999.0000     284.90     285.25     285.56    -0.2499     -2.1017     98.662    100.578    100.763     943.73    1855.51
  1872.417  -999.0000     285.10     285.15     285.27     0.0646     -0.6673    100.287    101.114    100.954     942.53    1855.86
  1873.417  -999.0000     284.60     285.24     285.46    -0.2056      0.6314    102.123    101.825    101.491     943.64    1856.38
  1874.417  -999.0000     285.10     285.33     285.51     0.0558     -1.0539     98.057     99.107     99.111     942.80    1856.35
  1875.417  -999.0000     286.10     285.50     285.62     0.5679     -2.4929     96.706     98.880     99.199     940.03    1855.71
  1876.417  -999.0000     286.60     285.64     285.99     0.4845     -2.6967     96.424     98.475     99.121     938.16    1855.42
  1877.417  -999.0000     287.40     285.41     285.83     0.4217     -2.0019     99.169    100.407    101.171     936.51    1854.46
  1878.417  -999.0000     287.40     285.39     285.66     0.4502     -0.7012     99.859    100.197    100.560     936.50    1854.18
