     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fveglitter       frh     cveg        csoil
  1851.417     0.3451     284.25     286.49     286.80    -0.3892      0.9772     66.036     66.901     65.059     510.47    2775.86
  1852.417     0.5847     284.36     286.59     287.01    -0.1700     -0.2858     64.241     64.788     64.526     511.76    2774.61
  1853.417     0.3683     285.45     286.48     286.80     0.0284     -1.5490     64.094     65.360     65.643     510.10    2773.71
  1854.417     0.3026     285.50     286.40     286.68     0.2053     -1.1632     65.155     67.837     66.319     507.38    2776.43
  1855.417     0.5157     286.32     286.57     286.84     0.3053     -1.9242     63.153     65.980     65.077     503.40    2777.81
  1856.417     0.4239     287.28     286.52     286.83     0.3173     -1.8123     64.403     64.654     66.215     503.41    2775.53
  1857.417     0.4353     286.87     286.43     286.66     0.3055      0.2087     64.351     62.559     64.142     506.68    2773.02
  1858.417     0.8149     285.87     286.21     286.38    -0.1830      2.2734     66.807     66.200     64.533     506.93    2774.60
  1859.417     0.5142     284.28     286.18     286.29    -0.1082      2.9359     66.090     65.530     63.154     505.24    2780.16
  1860.417     0.7185     283.50     286.26     286.35    -0.2662      2.5301     66.820     63.470     64.290     510.98    2776.16
  1861.417     0.6967     282.30     286.24     286.25    -0.2512      2.6508     65.735     61.825     63.084     514.67    2775.68
  1862.417     0.7055     281.48     286.34     286.49    -0.2291      1.9578     64.353     63.460     62.395     516.26    2776.03
  1863.417     0.7852     281.60     286.34     286.41    -0.1359      0.6311     64.257     65.811     63.626     513.11    2779.40
  1864.417     0.6724     281.80     286.45     286.83    -0.4673     -0.9302     63.891     65.766     64.822     511.76    2780.65
  1865.417     1.0744     283.21     286.42     286.70    -0.1634     -1.7718     63.094     64.234     64.866     510.61    2778.67
  1866.417     1.0217     283.14     286.32     286.56    -0.0740     -0.0908     66.134     66.868     66.224     510.01    2779.79
  1867.417     0.8225     282.85     286.46     286.57    -0.0684      0.4817     63.355     64.042     62.873     508.47    2782.11
  1868.417     0.8990     283.46     286.39     286.54    -0.1598     -0.9713     63.021     63.628     63.992     509.30    2780.24
  1869.417     1.1821     284.01     286.41     286.65    -0.0859     -1.0116     64.702     65.525     65.714     507.90    2780.37
  1870.417     0.8624     284.49     286.56     286.82     0.1154     -1.1200     63.684     67.329     64.804     506.06    2781.46
  1871.417     0.7737     285.85     286.51     286.84     0.2314     -2.7132     62.115     69.920     64.828     495.14    2789.33
  1872.417     1.1468     286.98     286.50     286.70     0.4625     -3.3330     65.009     71.332     68.342     488.77    2792.60
  1873.417     0.9078     288.62     286.65     287.08     0.2556     -3.6297     62.499     65.009     66.129     488.31    2789.33
  1874.417     1.0871     290.01     286.42     286.72     0.3135     -2.3896     66.584     68.566     68.974     485.11    2789.40
  1875.417     1.1834     289.15     286.39     286.52     0.1907      0.8079     67.969     68.683     67.161     484.05    2791.89
  1876.417     1.0655     288.41     286.51     286.68     0.2634      1.4504     66.786     65.126     65.336     486.02    2791.51
  1877.417     1.1629     287.79     286.43     286.41     0.1970      1.2231     65.679     62.037     64.456     489.53    2788.99
  1878.417     1.0268     287.34     286.56     286.79     0.0240      0.8825     64.901     60.454     64.018     494.97    2784.84
  1879.417     1.1313     287.32     286.58     286.63     0.1637      0.4825     64.009     61.701     63.526     498.30    2781.63
  1880.417     0.9648     287.07     286.57     286.70     0.1382      0.5883     64.598     64.401     64.010     495.55    2785.13
  1881.417     1.1354     287.14     286.55     286.83     0.0294      0.0042     63.482     62.918     63.478     498.72    2782.02
  1882.417     1.6041     287.05     286.44     286.34     0.0465      0.4255     65.799     65.512     65.374     497.53    2783.13
  1883.417     1.1961     286.57     286.60     286.80    -0.0696      0.7438     64.553     64.944     63.810     497.60    2784.71
  1884.417     1.1089     287.25     286.38     286.38     0.2803     -0.8233     60.560     61.145     61.384     496.75    2784.22
  1885.417     1.5864     287.60     286.22     286.36     0.2173     -0.8638     63.420     63.903     64.284     496.82    2783.07
  1886.417     1.4458     287.53     286.27     286.56     0.2034     -0.4864     62.858     64.605     63.344     495.48    2784.55
  1887.417     1.5471     288.45     286.35     286.61     0.1495     -1.4172     62.535     65.566     63.953     490.27    2787.53
  1888.417     1.1316     288.84     286.32     286.51     0.4388     -0.7313     63.505     66.514     64.236     490.98    2786.37
  1889.417     1.2570     288.56     286.24     286.14     0.4403      0.1813     64.464     68.261     64.283     482.22    2795.53
