     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fvegsoil       frh     cveg        csoil
  1851.417     0.6465     287.90     286.63     285.79    -0.0784     -0.7846     81.495     83.848     82.280     497.03    3240.04
  1852.417     0.7123     288.22     286.81     285.99     0.0069     -0.8845     82.764     84.253     83.649     495.94    3240.43
  1853.417     0.7212     289.07     286.69     285.70     0.0221     -1.4139     81.745     82.935     83.159     494.72    3240.02
  1854.417     0.7511     289.28     286.68     285.77     0.3133     -0.7202     84.281     85.020     85.002     493.73    3240.07
  1855.417     0.7810     288.93     286.62     285.55     0.2749      0.2081     83.843     83.972     83.635     493.90    3240.39
  1856.417     0.8021     289.22     286.58     285.55     0.0768     -0.5095     82.868     83.375     83.377     493.16    3240.65
  1857.417     0.8532     289.72     286.57     285.69     0.5150     -1.4232     79.985     81.335     81.408     492.10    3240.28
  1858.417     0.8840     290.02     286.64     285.80     0.4043     -1.3012     80.541     82.665     81.842     489.89    3241.08
  1859.417     0.9113     290.24     286.50     285.66     0.2456     -0.4398     80.410     81.804     80.850     487.93    3242.37
  1860.417     0.9348     289.73     286.53     285.70    -0.0118      0.7913     84.671     84.987     83.880     488.26    3242.97
  1861.417     0.9064     288.91     286.53     285.53    -0.4264      1.6464     83.909     84.028     82.263     487.89    3245.23
  1862.417     0.9069     288.65     286.66     285.89    -0.5256      1.3000     85.140     85.147     83.840     488.01    3246.51
  1863.417     0.9283     289.29     286.66     285.75    -0.0984     -0.5944     81.188     82.116     81.783     487.16    3246.70
  1864.417     0.9514     290.12     286.72     285.96     0.1917     -1.7554     83.505     84.496     85.260     485.78    3245.97
  1865.417     0.9531     290.35     286.72     285.90     0.1046     -0.9538     82.766     82.933     83.720     486.27    3244.90
  1866.417     0.9571     290.88     286.81     286.07     0.0247     -0.8150     80.654     81.549     81.469     484.59    3245.43
  1867.417     0.9772     291.06     286.67     285.69    -0.0098     -0.4213     84.367     84.546     84.788     484.87    3244.87
  1868.417     0.9928     290.69     286.67     285.79     0.1598      0.8496     85.245     84.957     84.395     485.28    3245.17
  1869.417     1.0079     290.31     286.78     285.97     0.2534      0.3753     82.770     84.094     82.395     483.84    3247.57
  1870.417     1.0207     291.13     286.86     286.07     0.0014     -1.5690     80.807     82.937     82.376     481.58    3247.89
  1871.417     1.1640     292.28     286.72     285.85     0.2644     -1.9959     82.048     83.144     84.043     480.10    3247.09
  1872.417     1.1798     292.83     286.72     285.78     0.2945     -1.5294     82.677     82.723     84.207     480.40    3245.41
