     time     emission      CO2        tas       tas_land     fgco2      fnep      fnpp      fvegsoil       frh       cveg       csoil
  1851.417     0.0547     288.15     286.92     285.45    -0.1005     -0.5958     88.195     88.455     88.791     660.50    1771.32
  1852.417     0.0625     287.93     286.90     285.36    -0.1277      0.1989     88.813     88.280     88.614     661.19    1771.15
  1853.417     0.0650     287.47     286.92     285.63    -0.0461      0.6715     89.194     88.101     88.523     663.06    1770.54
  1854.417     0.0756     287.46     287.00     285.53     0.0968      0.3534     87.587     87.392     87.233     662.79    1770.76
  1855.417     0.0780     288.00     287.10     285.71     0.0253     -0.6785     87.675     88.287     88.353     662.17    1770.77
  1856.417     0.0832     288.30     286.94     285.53     0.1107     -1.2623     87.085     88.016     88.348     661.30    1770.39
  1857.417     0.0847     288.74     287.03     285.59     0.1995     -1.0707     88.052     89.113     89.123     659.88    1770.35
  1858.417     0.0858     289.18     287.01     285.61    -0.2132     -0.6521     88.417     88.885     89.069     659.57    1770.28
  1859.417     0.0909     288.70     287.01     285.67     0.0432      0.3082     90.381     89.923     90.072     659.81    1770.03
  1860.417     0.0995     288.37     287.10     285.80     0.0223      0.8613     88.542     87.829     87.681     661.30    1770.12
  1861.417     0.1042     288.74     286.91     285.47     0.0944      0.4168     88.210     88.125     87.793     660.87    1770.64
  1862.417     0.1066     289.21     287.02     285.56     0.2418     -0.9881     87.253     87.899     88.242     660.49    1770.24
  1863.417     0.1139     289.84     287.09     285.87     0.2888     -1.8436     87.888     88.842     89.732     659.07    1769.32
  1864.417     0.1226     290.26     287.11     285.76     0.0802     -1.4208     89.042     89.442     90.463     658.59    1768.18
  1865.417     0.1304     289.95     286.97     285.43    -0.1492      0.3592     89.672     89.013     89.313     659.68    1767.98
  1866.417     0.1341     289.73     287.09     285.80    -0.0719      1.0968     88.896     88.082     87.799     660.52    1768.22
  1867.417     0.1424     289.84     287.04     285.67    -0.0000      0.1274     87.838     87.716     87.711     660.68    1768.27
  1868.417     0.1482     290.00     286.96     285.68     0.2620     -0.2865     88.365     88.457     88.652     660.12    1768.15
  1869.417     0.1557     290.03     287.08     285.81     0.1800     -0.2774     87.317     87.419     87.594     660.86    1767.84
  1870.417     0.1614     290.63     287.08     285.67     0.2676     -1.0179     87.640     88.345     88.658     659.25    1767.66
  1871.417     0.1709     290.75     286.97     285.70     0.1611     -0.8050     88.909     89.213     89.714     659.00    1766.97
  1872.417     0.1889     290.49     287.05     285.78    -0.0898      0.2501     89.288     88.617     89.038     660.21    1766.65
  1873.417     0.2016     290.34     286.97     285.37     0.0486      0.6782     89.236     88.533     88.558     660.58    1766.64
  1874.417     0.1925     290.49     287.07     285.68     0.1097     -0.1269     87.018     86.991     87.145     661.37    1766.70
  1875.417     0.2057     291.57     287.11     285.88     0.3010     -1.9610     87.843     88.983     89.804     659.22    1765.47
  1876.417     0.2100     291.88     286.98     285.65     0.1230     -1.2979     89.389     90.229     90.687     658.25    1765.23
  1877.417     0.2133     291.46     287.01     285.69     0.1577      0.4798     89.327     88.697     88.848     659.45    1765.05
  1878.417     0.2156     291.61     286.94     285.63    -0.1612      0.8348     88.947     88.026     88.112     660.42    1764.91
  1879.417     0.2299     291.47     286.88     285.48     0.2462      0.6903     90.352     89.616     89.662     660.77    1764.93
  1880.417     0.2575     291.24     287.13     285.71     0.4450      0.4879     88.551     87.770     88.064     662.14    1764.66
  1881.417     0.2669     291.34     287.07     285.56     0.0322      0.1971     89.695     89.140     89.498     662.12    1764.18
  1882.417     0.2807     291.02     286.83     285.31    -0.2199      1.0957     90.028     89.276     88.932     662.99    1764.58
  1883.417     0.2980     290.68     286.86     285.32    -0.1046      1.9328     89.037     87.916     87.104     664.43    1765.39
