     time     emission      CO2        tas       tas_land     fgco2      fnep      fnpp      fvegsoil       frh       cveg       csoil
  1851.417  -999.0000     280.68     285.89     284.89     0.0368     -2.6825     53.911     56.149     56.594     830.33     657.32
  1852.417  -999.0000     280.58     285.89     284.97     0.0472     -0.6745     56.102     56.249     56.776     831.05     656.25
  1853.417  -999.0000     280.32     285.88     284.69     0.0072      0.1259     54.273     53.996     54.147     831.74     656.34
  1854.417  -999.0000     280.63     285.95     285.04     0.0327     -1.2626     54.053     55.281     55.315     829.32     656.57
  1855.417  -999.0000     280.77     285.78     284.94    -0.0244     -0.1096     55.658     55.536     55.767     830.57     655.86
  1856.417  -999.0000     280.90     285.72     284.71    -0.0243      0.3954     54.690     54.416     54.294     830.40     656.30
  1857.417  -999.0000     280.95     285.80     284.69     0.0474     -0.6793     54.323     55.314     55.003     829.64     656.45
  1858.417  -999.0000     281.28     285.78     284.67     0.1841     -1.2443     53.952     55.394     55.196     827.96     656.84
  1859.417  -999.0000     281.48     285.94     285.01     0.2086     -1.5842     54.476     56.055     56.060     826.34     656.73
  1860.417  -999.0000     281.56     286.01     285.09     0.0065     -1.2826     54.540     55.836     55.823     825.08     656.68
  1861.417  -999.0000     281.93     285.84     284.80     0.0176      0.1913     55.739     55.379     55.548     825.26     656.49
  1862.417  -999.0000     281.76     285.82     284.68     0.0881      0.6245     54.597     54.006     53.973     826.79     656.49
  1863.417  -999.0000     282.17     285.99     284.93     0.1476     -0.8530     53.824     54.954     54.677     824.80     656.83
  1864.417  -999.0000     282.62     285.94     284.89     0.0682     -1.5579     54.148     55.566     55.706     823.30     656.94
  1865.417  -999.0000     282.75     285.97     284.86     0.1208     -1.1093     54.474     55.665     55.583     822.62     656.55
  1866.417  -999.0000     282.98     285.91     284.88     0.0958     -1.1820     53.945     55.391     55.127     820.97     657.13
  1867.417  -999.0000     283.47     286.04     285.01     0.2081     -1.7974     53.856     55.581     55.654     818.85     657.24
  1868.417  -999.0000     283.40     285.99     284.95     0.1513     -0.2249     56.022     55.797     56.247     819.40     656.17
  1869.417  -999.0000     283.38     285.93     284.97     0.2743      1.0288     54.890     53.755     53.861     820.56     656.58
  1870.417  -999.0000     283.74     285.92     284.90     0.1359      0.0555     54.861     55.273     54.806     820.26     656.96
  1871.417  -999.0000     284.18     285.97     284.91     0.1396     -1.2398     54.200     55.585     55.440     818.77     657.14
  1872.417  -999.0000     284.35     286.06     285.08     0.1300     -1.2342     55.148     56.202     56.382     817.35     656.76
  1873.417  -999.0000     284.24     285.93     285.04     0.1045      1.0285     57.288     55.857     56.260     819.01     656.51
  1874.417  -999.0000     284.09     285.86     284.82     0.0757      1.6368     55.337     53.608     53.700     821.59     656.07
  1875.417  -999.0000     284.64     285.93     284.86     0.0739     -0.5781     54.164     55.276     54.742     819.18     657.38
  1876.417  -999.0000     284.83     285.92     284.77     0.0612     -0.7544     55.649     56.333     56.404     819.17     656.51
  1877.417  -999.0000     284.50     286.05     285.05     0.2367      0.2473     55.228     54.635     54.980     819.88     656.54
  1878.417  -999.0000     284.76     285.97     285.02     0.0861     -0.7158     54.327     55.459     55.043     818.62     656.90
  1879.417  -999.0000     285.45     285.94     284.97     0.2799     -1.5251     54.545     56.442     56.070     816.56     657.23
  1880.417  -999.0000     285.66     285.98     284.98     0.3170     -1.0010     54.974     55.930     55.975     815.35     657.35
  1881.417  -999.0000     285.61     285.91     284.79     0.2081      0.0570     55.478     55.267     55.421     816.03     657.06
  1882.417  -999.0000     285.40     285.95     284.85     0.1737     -0.1684     54.548     54.567     54.717     816.09     656.93
  1883.417  -999.0000     285.45     286.03     285.08     0.2284     -1.4104     53.783     55.623     55.193     814.37     657.09
  1884.417  -999.0000     285.75     285.59     284.51     0.4652     -1.5697     54.607     56.699     56.177     811.22     658.21
  1885.417  -999.0000     285.97     285.63     284.56     0.4864     -0.1324     55.224     55.084     55.356     811.99     657.55
  1886.417  -999.0000     285.73     285.66     284.44     0.3193      0.5157     54.498     53.594     53.982     813.36     657.07
  1887.417  -999.0000     286.01     285.85     284.79     0.3440     -0.9260     53.852     55.308     54.778     811.86     657.84
  1888.417  -999.0000     286.70     285.84     284.74     0.2968     -1.1361     55.455     56.663     56.591     809.43     657.86
  1889.417  -999.0000     286.48     285.81     284.62     0.1283      0.3876     55.737     55.055     55.349     811.55     657.35
  1890.417  -999.0000     286.79     285.80     284.64     0.1961      0.1614     54.757     55.239     54.595     810.50     658.28
  1891.417  -999.0000     287.15     285.80     284.62     0.2091     -0.9519     54.155     55.299     55.107     809.10     658.58
  1892.417  -999.0000     287.39     285.78     284.67     0.2166     -0.0221     55.913     55.324     55.935     809.75     657.67
  1893.417  -999.0000     287.34     285.88     284.77     0.3608     -0.0041     54.367     54.590     54.371     810.67     657.82
  1894.417  -999.0000     288.17     286.07     285.23     0.3114     -1.4746     54.430     56.039     55.904     806.98     658.46
  1895.417  -999.0000     288.09     285.89     284.95     0.2410      0.6474     57.584     56.117     56.936     810.00     656.85
  1896.417  -999.0000     288.04     285.90     284.79     0.1137      1.1138     54.387     53.670     53.273     811.06     657.67
  1897.417  -999.0000     288.84     285.93     284.88     0.3394     -1.7171     54.271     56.621     55.988     807.22     658.60
  1898.417  -999.0000     289.10     286.02     285.08     0.4136     -0.8622     55.729     56.142     56.592     807.48     657.76
  1899.417  -999.0000     288.94     285.97     285.15     0.3194      0.2235     54.813     54.399     54.589     808.17     657.76
  1900.417  -999.0000     289.29     285.91     284.93     0.2904     -0.2365     55.126     55.461     55.362     807.61     657.60
  1901.417  -999.0000     289.43     285.75     284.46     0.2607      0.0373     55.621     55.529     55.583     807.76     657.76
  1902.417  -999.0000     289.75     285.93     285.03     0.3689     -0.5872     54.710     55.560     55.297     807.13     658.00
  1903.417  -999.0000     289.80     285.87     284.90     0.5424     -1.2627     54.910     56.353     56.173     804.98     658.15
  1904.417  -999.0000     289.86     285.58     284.45     0.4453     -0.3863     55.210     55.593     55.596     805.08     658.18
  1905.417  -999.0000     290.22     285.70     284.70     0.4091      0.0345     54.769     55.100     54.734     804.91     658.51
  1906.417  -999.0000     290.65     285.72     284.71     0.4334     -1.2431     53.666     55.288     54.909     803.16     659.00
  1907.417  -999.0000     291.18     285.73     284.70     0.3837     -2.3996     53.626     56.141     56.026     800.54     659.03
  1908.417  -999.0000     291.84     285.79     284.84     0.4923     -2.1681     54.289     56.501     56.457     798.37     659.04
  1909.417  -999.0000     292.53     285.69     284.66     0.4954     -0.9368     54.897     55.597     55.834     797.17     658.86
  1910.417  -999.0000     292.62     285.83     285.04     0.5266      0.1035     55.272     55.087     55.168     798.64     658.44
  1911.417  -999.0000     293.47     285.89     285.03     0.5409     -1.2392     53.108     54.681     54.347     795.70     659.53
  1912.417  -999.0000     294.05     285.81     284.79     0.6343     -1.8325     54.581     56.481     56.414     794.49     658.97
  1913.417  -999.0000     294.20     285.81     284.72     0.6111     -0.9865     54.340     55.312     55.327     793.62     659.02
  1914.417  -999.0000     294.80     285.88     285.03     0.4808     -1.1510     54.502     55.649     55.653     791.70     659.42
  1915.417  -999.0000     295.24     285.70     284.66     0.6197      0.5246     56.660     55.652     56.135     793.37     658.34
  1916.417  -999.0000     295.20     285.72     284.55     0.5729      0.8847     54.313     53.567     53.428     794.37     658.92
  1917.417  -999.0000     295.89     285.76     284.66     0.5970     -1.3370     53.523     55.566     54.860     791.72     659.62
  1918.417  -999.0000     296.52     285.63     284.61     0.5220     -0.6849     56.255     56.678     56.940     791.13     659.19
  1919.417  -999.0000     296.46     285.72     284.69     0.4219      0.8910     55.773     54.518     54.882     793.31     658.74
  1920.417  -999.0000     296.81     285.89     284.92     0.6910     -0.1250     54.684     55.114     54.809     792.53     659.21
  1921.417  -999.0000     297.30     285.95     285.06     0.5599     -1.3192     54.917     56.431     56.236     790.48     659.50
  1922.417  -999.0000     297.50     285.95     285.00     0.4838     -0.8287     55.218     55.898     56.047     790.30     659.09
  1923.417  -999.0000     297.72     285.90     285.04     0.5294      0.5404     56.361     55.524     55.820     790.49     659.04
  1924.417  -999.0000     297.82     285.77     284.72     0.5458      1.0575     55.632     54.720     54.575     792.64     658.81
  1925.417  -999.0000     298.46     285.88     284.96     0.6148     -0.5214     54.187     55.262     54.709     790.58     659.98
