     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fvegsoil       frh     cveg        csoil
  1851.417     0.5252     283.65     287.48     285.95    -0.3021     -0.6757     52.109     52.063     52.785     349.57     933.10
  1852.417     0.5553     284.58     287.62     286.25    -0.1009     -1.5413     50.005     50.559     51.547     349.32     932.33
  1853.417     0.5595     286.42     287.67     286.34     0.2403     -2.7913     49.503     50.624     52.294     347.95     930.48
  1854.417     0.5641     287.67     287.70     286.30     0.3085     -1.5521     52.473     52.505     54.025     347.53     928.64
  1855.417     0.5687     287.22     287.68     286.03     0.2877     -0.0205     51.589     51.235     51.609     348.83     928.74
  1856.417     0.5771     288.15     287.76     286.38     0.3906     -0.5525     51.298     51.543     51.851     347.99     928.23
  1857.417     0.5833     288.39     287.55     285.82     0.4990     -0.2351     51.859     51.976     52.094     348.08     928.00
  1858.417     0.5911     288.60     287.57     286.12     0.3665      0.5543     51.715     51.471     51.160     347.67     928.46
  1859.417     0.6023     287.85     287.51     286.10     0.0772      0.9560     54.254     53.484     53.298     349.44     928.78
  1860.417     0.6153     288.45     287.54     285.85     0.1720      0.5459     51.410     50.875     50.864     349.18     928.62
  1861.417     0.5985     288.46     287.61     286.15     0.3319     -0.4565     51.367     51.504     51.823     349.82     928.51
  1862.417     0.5732     289.80     287.68     286.47     0.5451     -0.6752     50.563     50.670     51.238     348.72     927.53
  1863.417     0.5809     289.28     287.49     286.03     0.4556      0.3365     53.128     52.676     52.792     349.96     927.69
  1864.417     0.5889     288.96     287.67     286.37     0.3729      1.0626     53.048     52.401     51.985     350.36     928.09
  1865.417     0.5945     288.53     287.55     286.16     0.2877      1.5050     54.695     53.633     53.190     351.30     928.41
  1866.417     0.5992     287.96     287.57     286.37     0.2352      1.2924     52.955     52.230     51.663     352.47     929.22
  1867.417     0.6045     288.57     287.50     286.00     0.1587      0.2985     52.961     52.941     52.663     351.82     929.25
  1868.417     0.6090     288.21     287.63     286.42     0.2182      0.4874     53.785     53.596     53.297     352.65     929.79
  1869.417     0.6138     288.84     287.61     286.36     0.2142     -0.3088     50.942     51.273     51.251     351.95     929.72
  1870.417     0.6282     289.73     287.60     286.30     0.2737     -0.8606     51.394     51.813     52.255     351.30     929.20
  1871.417     0.6869     289.74     287.65     286.30     0.2161     -0.1084     53.404     53.267     53.512     352.12     929.08
  1872.417     0.7490     290.62     287.69     286.32     0.3822     -0.2360     51.718     51.679     51.954     351.56     928.62
  1873.417     0.7587     290.58     287.64     286.24     0.4480     -0.4215     51.996     52.115     52.418     352.07     928.54
  1874.417     0.7662     291.53     287.59     286.04     0.4101      0.0626     52.739     52.439     52.677     351.30     927.96
  1875.417     0.7818     290.82     287.52     286.00     0.1273      0.6259     53.931     53.326     53.305     353.15     928.35
  1876.417     0.7911     291.56     287.62     286.37     0.3639      0.4928     52.160     51.836     51.668     352.69     928.23
  1877.417     0.7998     291.40     287.52     286.07     0.3470      0.5935     53.490     53.090     52.896     353.16     928.57
  1878.417     0.8133     291.07     287.59     286.20     0.2110      0.7949     53.241     52.930     52.446     354.00     929.15
  1879.417     0.8389     291.85     287.57     286.16     0.5242     -0.1026     51.758     52.103     51.861     352.98     929.22
  1880.417     0.8720     291.88     287.53     286.16     0.3612      0.3042     53.774     53.733     53.469     353.31     929.50
  1881.417     0.8766     291.68     287.51     286.01     0.3734      0.4601     52.457     52.421     51.996     353.56     930.20
  1882.417     0.8687     292.89     287.68     286.23     0.5818     -0.5906     51.643     51.952     52.234     352.54     929.52
  1883.417     0.8825     292.10     287.38     285.87     0.3052      1.7154     56.792     55.550     55.077     354.38     929.87
  1884.417     0.8884     289.91     287.04     285.25     0.4613      4.3066     56.684     54.826     52.378     356.34     932.67
  1885.417     0.8938     288.79     287.11     285.42     0.0627      3.1963     53.503     52.710     50.307     356.75     935.15
  1886.417     0.9030     287.98     287.13     285.74    -0.2124      2.2888     56.519     55.676     54.230     357.97     936.53
  1887.417     0.9240     288.57     287.46     286.27    -0.0695      0.4719     51.524     51.431     51.052     357.90     937.05
  1888.417     0.9399     290.09     287.46     286.14     0.0686     -1.5443     51.163     52.051     52.707     356.59     936.14
  1889.417     0.9516     290.63     287.49     285.99     0.0588     -1.1579     52.946     53.585     54.104     356.70     935.77
  1890.417     0.9732     291.46     287.43     285.96     0.3274      0.1487     54.272     54.114     54.123     356.15     935.30
  1891.417     0.9879     290.70     287.23     285.61     0.2635      1.0650     53.024     52.604     51.959     357.20     936.54
