     time     emission      CO2       tas    tas_land     fgco2      fnep      fnpp      fvegsoil       frh     cveg        csoil
  1851.417     0.5249     281.79     286.88     285.32    -0.2422     -0.2496     75.781     76.512     76.031     554.77    1275.41
  1852.417     0.5550     283.27     286.99     285.43     0.1190     -1.3332     72.759     73.653     74.092     552.66    1274.60
  1853.417     0.5592     283.99     286.92     285.39     0.0833     -2.1731     74.102     75.035     76.275     552.32    1273.51
  1854.417     0.5637     285.03     287.01     285.50     0.0822     -1.5462     73.360     73.879     74.906     551.62    1272.38
  1855.417     0.5683     285.06     286.99     285.31     0.1477      0.7189     77.730     76.771     77.011     552.73    1271.91
  1856.417     0.5768     284.83     286.95     285.24     0.1232      1.0970     74.805     74.099     73.708     553.52    1272.81
  1857.417     0.5829     285.25     286.82     284.97     0.1978      0.3837     75.304     75.361     74.920     553.08    1272.66
  1858.417     0.5907     284.79     286.78     285.01     0.0204      0.7699     74.399     74.374     73.629     553.92    1274.02
  1859.417     0.6020     285.59     286.86     285.07     0.3244      0.0035     74.273     74.688     74.270     552.38    1274.05
  1860.417     0.6149     285.42     286.81     285.22     0.0785      0.0822     75.208     75.153     75.125     552.96    1274.19
  1861.417     0.5982     285.07     286.79     285.22    -0.0299      1.6585     77.646     76.583     75.988     554.05    1274.70
  1862.417     0.5729     284.23     286.78     285.02    -0.2878      2.5117     78.148     76.740     75.637     555.68    1275.92
  1863.417     0.5805     284.33     286.90     285.17    -0.0340      0.2634     73.976     74.200     73.713     555.40    1276.63
  1864.417     0.5886     285.30     286.91     285.16     0.0662     -1.2366     75.154     75.779     76.391     554.24    1275.65
  1865.417     0.5941     285.31     286.91     285.31    -0.0942      0.3257     76.726     76.002     76.400     555.28    1275.26
  1866.417     0.5989     284.66     286.94     285.29    -0.0267      2.2193     78.759     77.353     76.540     557.01    1276.06
  1867.417     0.6042     284.40     286.92     285.30    -0.1103      2.0162     77.360     76.668     75.344     557.64    1277.63
  1868.417     0.6087     285.11     287.02     285.58    -0.0207     -0.0558     74.875     75.328     74.931     556.82    1278.07
  1869.417     0.6134     285.31     287.00     285.44     0.0716     -0.3322     77.183     77.157     77.515     557.03    1277.46
  1870.417     0.6278     285.60     287.12     285.57     0.1526     -0.5043     74.534     74.478     75.039     557.10    1277.07
  1871.417     0.6865     286.21     286.99     285.50    -0.0056     -0.7410     76.480     76.551     77.221     556.75    1276.17
  1872.417     0.7485     285.84     286.87     285.19     0.1179     -0.3632     74.776     74.896     75.139     557.48    1276.27
  1873.417     0.7583     286.90     286.95     285.40     0.2719     -1.2872     73.505     74.355     74.792     555.72    1275.50
  1874.417     0.7658     287.64     286.87     285.28     0.3532     -1.6182     72.832     73.717     74.450     555.14    1274.97
  1875.417     0.7813     288.23     286.99     285.40     0.3682     -0.6465     75.487     75.662     76.134     554.99    1274.34
  1876.417     0.7907     288.43     286.91     285.34     0.0932      0.5778     75.674     75.067     75.096     555.39    1274.24
  1877.417     0.7993     288.57     286.92     285.37     0.1940      0.3650     74.583     74.523     74.218     555.66    1274.87
  1878.417     0.8128     289.33     286.92     285.44     0.2860     -0.2051     74.923     75.210     75.128     555.26    1274.70
  1879.417     0.8384     289.74     286.85     285.15     0.4652      0.1622     76.045     76.051     75.883     555.47    1275.01
  1880.417     0.8715     289.71     286.78     285.15     0.3094      1.4984     77.416     76.578     75.918     555.66    1275.38
  1881.417     0.8761     288.50     286.78     285.18    -0.1324      2.0697     77.088     75.967     75.018     557.87    1276.82
  1882.417     0.8682     288.88     286.93     285.42    -0.0419      1.4734     77.378     76.620     75.904     557.84    1277.10
  1883.417     0.8819     288.48     286.78     285.08    -0.0265      2.4363     78.298     76.975     75.862     559.23    1278.16
  1884.417     0.8879     287.05     286.34     284.52     0.2154      3.4151     77.641     76.892     74.226     560.54    1281.17
  1885.417     0.8933     286.53     286.45     284.65     0.0114      3.3821     77.957     77.289     74.575     560.15    1283.68
  1886.417     0.9025     284.67     286.56     284.71    -0.3498      3.5391     80.025     78.618     76.486     562.93    1286.19
  1887.417     0.9234     284.81     286.76     285.00    -0.2630      1.5569     75.707     75.255     74.150     562.41    1287.11
  1888.417     0.9393     285.27     286.76     285.20    -0.1973     -0.6356     76.270     76.785     76.906     562.42    1286.92
  1889.417     0.9511     286.59     286.86     285.29    -0.0135     -1.3793     74.032     74.741     75.411     561.18    1286.27
  1890.417     0.9726     287.40     286.70     285.04     0.1812     -0.5844     77.350     77.537     77.935     561.25    1285.57
  1891.417     0.9873     287.22     286.62     284.93     0.1602      1.3309     77.457     76.920     76.126     561.80    1286.61
  1892.417     0.9941     287.11     286.60     284.93     0.1386      0.8629     76.059     76.068     75.196     561.74    1287.67
  1893.417     1.0058     287.55     286.69     284.98    -0.0433      0.6959     78.033     77.759     77.337     561.82    1287.76
  1894.417     1.0338     287.49     286.72     284.85     0.0226      0.7240     76.035     75.751     75.311     563.02    1288.62
  1895.417     1.0553     289.40     286.90     285.24     0.1417     -1.5628     73.746     74.788     75.309     560.70    1287.75
  1896.417     1.0744     289.90     286.90     285.11     0.3066     -1.6798     75.725     76.511     77.405     560.95    1286.96
  1897.417     1.0996     290.89     287.02     285.50     0.3424     -0.4372     76.073     76.117     76.510     560.14    1286.41
  1898.417     1.1337     291.37     287.06     285.48     0.2969     -0.8964     75.180     75.458     76.076     560.41    1286.11
  1899.417     1.1699     292.13     287.06     285.51     0.4255     -0.3703     77.609     77.249     77.979     560.30    1284.99
  1900.417     1.2159     291.96     287.08     285.48     0.2053      0.8327     77.954     76.883     77.121     561.70    1284.92
  1901.417     1.2591     292.27     287.17     285.51     0.3191      0.3342     75.814     75.624     75.480     562.04    1285.26
  1902.417     1.3007     293.51     287.13     285.56     0.4222     -0.2461     77.119     77.081     77.365     561.33    1284.57
  1903.417     1.3543     292.78     286.76     284.82     0.5373      1.5171     78.625     77.893     77.108     562.87    1285.52
  1904.417     1.3974     292.15     286.83     285.07     0.3065      2.0757     76.091     75.585     74.015     562.96    1287.30
  1905.417     1.4624     292.29     286.89     285.16     0.1959      0.8474     76.642     76.551     75.795     563.03    1287.96
  1906.417     1.5392     292.28     286.88     285.07     0.1243      1.7995     79.015     77.925     77.215     564.20    1288.51
  1907.417     1.5729     292.06     286.87     285.06    -0.0168      2.2532     79.122     77.918     76.869     565.96    1289.86
  1908.417     1.5772     292.69     286.94     285.03     0.2412      0.3756     75.580     75.653     75.205     565.10    1290.13
  1909.417     1.6171     292.90     286.91     285.19     0.1187      0.4403     78.552     78.120     78.112     565.61    1290.03
  1910.417     1.6261     292.97     286.93     285.23     0.1339      1.2609     77.736     76.833     76.475     567.09    1290.57
  1911.417     1.6174     293.67     287.06     285.36     0.2407      0.5149     76.678     76.450     76.163     567.04    1290.83
  1912.417     1.6417     294.42     287.09     285.37     0.3479      0.0111     77.650     77.671     77.638     566.63    1290.75
  1913.417     1.6169     294.54     287.02     285.19     0.5271      0.3501     77.103     76.985     76.753     567.38    1291.16
  1914.417     1.5524     295.58     287.06     285.35     0.5340      0.1839     77.269     77.011     77.085     566.96    1290.91
  1915.417     1.5707     295.73     287.00     285.24     0.4073      1.0815     80.228     79.265     79.146     568.41    1290.93
  1916.417     1.6322     295.93     287.08     285.32     0.4153      1.1966     76.718     76.122     75.521     569.13    1291.98
  1917.417     1.6560     296.69     287.14     285.62     0.6192     -0.1281     78.033     78.026     78.161     568.65    1291.41
  1918.417     1.5906     297.11     286.97     285.37     0.5437     -0.3537     76.790     76.709     77.143     569.09    1291.22
  1919.417     1.5810     297.56     286.97     285.31     0.5539      0.1288     78.068     77.908     77.939     568.85    1290.98
  1920.417     1.6080     297.17     287.04     285.30     0.5001      1.3637     79.742     78.877     78.378     570.19    1291.52
  1921.417     1.5724     297.40     287.11     285.39     0.4658      0.3593     75.697     75.791     75.338     570.01    1292.25
  1922.417     1.6494     298.66     287.10     285.50     0.7185     -0.8792     76.370     76.898     77.250     568.98    1291.58
  1923.417     1.7186     298.55     287.01     285.39     0.5937      0.5485     78.855     78.174     78.307     570.35    1291.56
  1924.417     1.7228     298.76     287.11     285.50     0.4617      0.7680     77.183     76.774     76.415     570.49    1291.92
  1925.417     1.7352     299.21     287.09     285.57     0.4832      0.9560     79.680     79.142     78.724     570.76    1292.12
  1926.417     1.7936     299.23     287.00     285.44     0.4508      1.4475     78.841     78.077     77.394     572.03    1293.27
  1927.417     1.8583     299.96     287.06     285.38     0.6115      1.4902     80.230     79.288     78.739     572.11    1293.39
