SWL model passYear CO2_ppmv RCP RCP26_1_5deg_CO2e
213 1.5 CCSM4 2019 409.7897 RCP26 419.733221052632
214 1.5 CESM1-CAM5 2035 435.5025 RCP26 439.271779661017
215 1.5 CNRM-CM5 2044 441.2132 RCP26 NA
216 1.5 CSIRO-Mk3-6-0 2040 440.222 RCP26 NA
217 1.5 CanESM2 2016 402.9548 RCP26 409.416490322581
218 1.5 GFDL-CM3 2039 439.2781 RCP26 NA
219 1.5 GISS-E2-H 2031 431.7269 RCP26 436.120175
220 1.5 HadGEM2-ES 2028 427.04 RCP26 434.316458333333
221 1.5 IPSL-CM5A-LR 2015 400.6765 RCP26 406.182774193548
222 1.5 IPSL-CM5A-MR 2022 415.811 RCP26 425.242244318182
223 1.5 MIROC-ESM-CHEM 2022 415.811 RCP26 425.242244318182
224 1.5 MIROC-ESM 2030 430.783 RCP26 NA
225 1.5 MPI-ESM-LR 2029 428.9115 RCP26 439.58040625
226 1.5 MPI-ESM-MR 2031 431.7269 RCP26 436.120175
227 1.5 bcc-csm1-1-m 2012 393.8416 RCP26 396.481625806452
228 1.5 bcc-csm1-1 2026 423.297 RCP26 429.48
