SWL model passYear CO2_ppmv RCP RCP60_2deg_CO2e
192 2 CCSM4 2042 456.0924 RCP6 488.445076923077
193 2 CESM1-CAM5 2057 500.7448 RCP6 541.285603131116
194 2 CSIRO-Mk3-6-0 2069 545.9014 RCP6 600.364377142857
195 2 FIO-ESM 2067 538.0642 RCP6 591.239555381605
196 2 GFDL-CM3 2055 494.152 RCP6 533.368
197 2 GFDL-ESM2G 2085 614.953 RCP6 679.567427724019
198 2 GFDL-ESM2M 2078 585.3696 RCP6 644.09813384127
199 2 GISS-E2-H 2053 487.5592 RCP6 525.552935344828
200 2 GISS-E2-R 2081 598.3962 RCP6 658.555592126984
201 2 HadGEM2-AO 2071 554.2637 RCP6 609.575522285714
202 2 HadGEM2-ES 2053 487.5592 RCP6 525.552935344828
203 2 IPSL-CM5A-LR 2037 444.1514 RCP6 471.891926666667
204 2 IPSL-CM5A-MR 2046 466.8812 RCP6 501.153786637931
205 2 MIROC-ESM-CHEM 2046 466.8812 RCP6 501.153786637931
206 2 MIROC-ESM 2051 480.9664 RCP6 517.773715517241
207 2 MIROC5 2076 576.4822 RCP6 634.234530539683
208 2 MRI-CGCM3 2080 594.257 RCP6 653.961737142857
209 2 NorESM1-ME 2071 554.2637 RCP6 609.575522285714
210 2 NorESM1-M 2075 572.0385 RCP6 629.302728888889
211 2 bcc-csm1-1-m 2035 439.787 RCP6 464.250665967366
212 2 bcc-csm1-1 2047 469.5784 RCP6 504.33636637931
