# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_bcc-csm1-1-m_rcp26_r1i1p1
# cutting out region lon=   -0.562  359.438, lat=  -89.698   89.698
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_000_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_bcc-csm1-1-m_rcp26_r1i1p1, cutting out region lon=   -0.562  359.438, lat=  -89.698   89.698, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_000_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_000_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_000_mean1_anom.nc n
# tas [Celsius] from bcc-csm1-1-m model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.92836    
 1851   14.03556    
 1852   13.97400    
 1853   14.13870    
 1854   14.30798    
 1855   14.18541    
 1856   14.34514    
 1857   14.01530    
 1858   14.01238    
 1859   14.26559    
 1860   14.23981    
 1861   14.18237    
 1862   14.26545    
 1863   14.28268    
 1864   14.38895    
 1865   14.20678    
 1866   14.26046    
 1867   14.38155    
 1868   14.36456    
 1869   14.41681    
 1870   14.39876    
 1871   14.46028    
 1872   14.45306    
 1873   14.49102    
 1874   14.52447    
 1875   14.43194    
 1876   14.48292    
 1877   14.50506    
 1878   14.51831    
 1879   14.60555    
 1880   14.59466    
 1881   14.65712    
 1882   14.48607    
 1883   14.61181    
 1884   14.24717    
 1885   14.04686    
 1886   14.24369    
 1887   14.30075    
 1888   14.27119    
 1889   14.50376    
 1890   14.50705    
 1891   14.17113    
 1892   14.47936    
 1893   14.44643    
 1894   14.59205    
 1895   14.55769    
 1896   14.41087    
 1897   14.53349    
 1898   14.54084    
 1899   14.71055    
 1900   14.73788    
 1901   14.65469    
 1902   14.64095    
 1903   14.24098    
 1904   14.30100    
 1905   14.36565    
 1906   14.52895    
 1907   14.63426    
 1908   14.57904    
 1909   14.60507    
 1910   14.59566    
 1911   14.63503    
 1912   14.70108    
 1913   14.56159    
 1914   14.57206    
 1915   14.61117    
 1916   14.72448    
 1917   14.60303    
 1918   14.86944    
 1919   14.62701    
 1920   14.78663    
 1921   14.81959    
 1922   14.70786    
 1923   14.71970    
 1924   14.69562    
 1925   14.62016    
 1926   14.58319    
 1927   14.66274    
 1928   14.60519    
 1929   14.52795    
 1930   14.62606    
 1931   14.66712    
 1932   14.75110    
 1933   14.66899    
 1934   14.64136    
 1935   14.76906    
 1936   14.60598    
 1937   14.57335    
 1938   14.55784    
 1939   14.75376    
 1940   14.69171    
 1941   14.65655    
 1942   14.68468    
 1943   14.64317    
 1944   14.61382    
 1945   14.75210    
 1946   14.73425    
 1947   14.69876    
 1948   14.71618    
 1949   14.80160    
 1950   14.63558    
 1951   14.80583    
 1952   14.85208    
 1953   14.69859    
 1954   14.66980    
 1955   14.83244    
 1956   14.81149    
 1957   14.82809    
 1958   14.78084    
 1959   14.73762    
 1960   14.75892    
 1961   14.77712    
 1962   14.88511    
 1963   14.66804    
 1964   14.52283    
 1965   14.71341    
 1966   14.76758    
 1967   14.75870    
 1968   14.70196    
 1969   14.85367    
 1970   14.87380    
 1971   14.83012    
 1972   14.92521    
 1973   14.85600    
 1974   14.84643    
 1975   14.93400    
 1976   14.87387    
 1977   14.90062    
 1978   14.92649    
 1979   14.96644    
 1980   15.13373    
 1981   15.10984    
 1982   14.92110    
 1983   14.90369    
 1984   14.92847    
 1985   14.97611    
 1986   15.07196    
 1987   15.15759    
 1988   15.15339    
 1989   15.34431    
 1990   15.33182    
 1991   15.16731    
 1992   14.88052    
 1993   14.98479    
 1994   15.08544    
 1995   15.17248    
 1996   15.43178    
 1997   15.32867    
 1998   15.54669    
 1999   15.54111    
 2000   15.46362    
 2001   15.65797    
 2002   15.77861    
 2003   15.75462    
 2004   15.75090    
 2005   15.87884    
 2006   15.82502    
 2007   15.90626    
 2008   15.81090    
 2009   15.73973    
 2010   15.77606    
 2011   15.88548    
 2012   15.83655    
 2013   15.78404    
 2014   15.97857    
 2015   15.99145    
 2016   15.96468    
 2017   15.86818    
 2018   15.98274    
 2019   15.99013    
 2020   16.01342    
 2021   15.99047    
 2022   16.15133    
 2023   16.21519    
 2024   16.15407    
 2025   16.19540    
 2026   16.19725    
 2027   16.25431    
 2028   16.36226    
 2029   16.50734    
 2030   16.26866    
 2031   16.27530    
 2032   16.28371    
 2033   16.25270    
 2034   16.44552    
 2035   16.36171    
 2036   16.21654    
 2037   16.33069    
 2038   16.29675    
 2039   16.23795    
 2040   16.36797    
 2041   16.49150    
 2042   16.41375    
 2043   16.47877    
 2044   16.39571    
 2045   16.36535    
 2046   16.35021    
 2047   16.24163    
 2048   16.44985    
 2049   16.37543    
 2050   16.27936    
 2051   16.36404    
 2052   16.40761    
 2053   16.51784    
 2054   16.52769    
 2055   16.33479    
 2056   16.43427    
 2057   16.37962    
 2058   16.32098    
 2059   16.43785    
 2060   16.28097    
 2061   16.25893    
 2062   16.30246    
 2063   16.27522    
 2064   16.26568    
 2065   16.20123    
 2066   16.32019    
 2067   16.28275    
 2068   16.20129    
 2069   16.27530    
 2070   16.23343    
 2071   16.25317    
 2072   16.25801    
 2073   16.28178    
 2074   16.12785    
 2075   16.07876    
 2076   16.24500    
 2077   16.27205    
 2078   16.33081    
 2079   16.19247    
 2080   16.11840    
 2081   16.19062    
 2082   16.23373    
 2083   16.31408    
 2084   16.22318    
 2085   16.10364    
 2086   16.20770    
 2087   16.14502    
 2088   16.17738    
 2089   16.06620    
 2090   16.13930    
 2091   16.22667    
 2092   16.22510    
 2093   16.14975    
 2094   16.14155    
 2095   16.06777    
 2096   16.21316    
 2097   16.12779    
 2098   16.10813    
 2099   16.07064    
 2100   16.13631    
