# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_bcc-csm1-1_rcp26_r1i1p1
# cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_001_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_bcc-csm1-1_rcp26_r1i1p1, cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_001_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_001_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_001_mean1_anom.nc n
# tas [Celsius] from bcc-csm1-1 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.71630    
 1851   13.62345    
 1852   13.63509    
 1853   13.78652    
 1854   13.70983    
 1855   13.70673    
 1856   13.66466    
 1857   13.38788    
 1858   13.54847    
 1859   13.68847    
 1860   13.82557    
 1861   13.73848    
 1862   13.82102    
 1863   13.56191    
 1864   13.74402    
 1865   13.73269    
 1866   13.66949    
 1867   13.80089    
 1868   13.76632    
 1869   13.83207    
 1870   13.89043    
 1871   13.97142    
 1872   13.90493    
 1873   13.94512    
 1874   13.94668    
 1875   13.98683    
 1876   13.93264    
 1877   13.96951    
 1878   13.81241    
 1879   13.97475    
 1880   14.03013    
 1881   14.00721    
 1882   14.01215    
 1883   13.91759    
 1884   13.42148    
 1885   13.64712    
 1886   13.61046    
 1887   13.75045    
 1888   13.67232    
 1889   13.63435    
 1890   13.77330    
 1891   13.50972    
 1892   13.63499    
 1893   13.72289    
 1894   13.83268    
 1895   13.89982    
 1896   13.81509    
 1897   13.88009    
 1898   13.92875    
 1899   13.98004    
 1900   13.91751    
 1901   13.92869    
 1902   13.93679    
 1903   13.51391    
 1904   13.50850    
 1905   13.61181    
 1906   13.71497    
 1907   13.73999    
 1908   13.66550    
 1909   13.74201    
 1910   13.64179    
 1911   13.65951    
 1912   13.67922    
 1913   13.63516    
 1914   13.70838    
 1915   13.81269    
 1916   13.85525    
 1917   13.85376    
 1918   13.85140    
 1919   13.86127    
 1920   14.05683    
 1921   13.88819    
 1922   13.95708    
 1923   13.89834    
 1924   13.95048    
 1925   14.05430    
 1926   13.97846    
 1927   14.21663    
 1928   14.07513    
 1929   13.98087    
 1930   13.92906    
 1931   14.15345    
 1932   14.04964    
 1933   14.11832    
 1934   14.06111    
 1935   14.06176    
 1936   13.96519    
 1937   14.08080    
 1938   14.11119    
 1939   14.02769    
 1940   14.01933    
 1941   14.02821    
 1942   14.03432    
 1943   14.04540    
 1944   14.06339    
 1945   14.07536    
 1946   14.07739    
 1947   14.08044    
 1948   14.03836    
 1949   14.11701    
 1950   13.97205    
 1951   13.98354    
 1952   14.05300    
 1953   14.09827    
 1954   14.00863    
 1955   14.04533    
 1956   14.03219    
 1957   14.08534    
 1958   14.14162    
 1959   14.06451    
 1960   14.10466    
 1961   14.00628    
 1962   14.17081    
