# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_BNU-ESM_rcp26_r1i1p1
# cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_002_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_BNU-ESM_rcp26_r1i1p1, cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_002_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_002_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_002_mean1_anom.nc n
# tas [Celsius] from BNU-ESM model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   12.98390    
 1851   12.80179    
 1852   12.84780    
 1853   13.04218    
 1854   13.00482    
 1855   12.92558    
 1856   12.76596    
 1857   12.85704    
 1858   12.97517    
 1859   13.05676    
 1860   13.02251    
 1861   12.72038    
 1862   12.80629    
 1863   12.97788    
 1864   13.20516    
 1865   12.90892    
 1866   12.82137    
 1867   12.90792    
 1868   12.94392    
 1869   12.78284    
 1870   12.97171    
 1871   13.06549    
 1872   12.92145    
 1873   13.04893    
 1874   13.19240    
 1875   13.29024    
 1876   13.15717    
 1877   13.17155    
 1878   13.03085    
 1879   12.89444    
 1880   12.96870    
 1881   13.03058    
 1882   13.09123    
 1883   12.92940    
 1884   12.61035    
 1885   12.59158    
 1886   12.61683    
 1887   12.87461    
 1888   12.90230    
 1889   12.81663    
 1890   12.70448    
 1891   12.39396    
 1892   12.69197    
 1893   12.79609    
 1894   12.88218    
 1895   12.74593    
 1896   12.87489    
 1897   12.96837    
 1898   12.81144    
 1899   12.95239    
 1900   13.07574    
 1901   12.94073    
 1902   13.00574    
 1903   12.57941    
 1904   12.70210    
 1905   12.71842    
 1906   12.53993    
 1907   12.71787    
 1908   12.91015    
 1909   12.91369    
 1910   12.99999    
 1911   12.88780    
 1912   12.81685    
 1913   12.92363    
 1914   13.09828    
 1915   13.08722    
 1916   13.14897    
 1917   13.04343    
 1918   13.17068    
 1919   13.17253    
 1920   13.22214    
 1921   13.09307    
 1922   13.17614    
 1923   13.20356    
 1924   13.12332    
 1925   12.85397    
 1926   13.01093    
 1927   13.10413    
 1928   13.11580    
 1929   13.15393    
 1930   12.91141    
 1931   13.14872    
 1932   13.08471    
 1933   13.06870    
 1934   12.84149    
 1935   13.15969    
 1936   13.29693    
 1937   13.20511    
 1938   13.29388    
 1939   13.30371    
 1940   13.09113    
 1941   13.11302    
 1942   13.22522    
 1943   13.28077    
 1944   13.37552    
 1945   13.37470    
 1946   13.26906    
 1947   13.43695    
 1948   13.55796    
 1949   13.17728    
 1950   13.10026    
 1951   13.32586    
 1952   13.37250    
 1953   13.30724    
 1954   13.40232    
 1955   13.53034    
 1956   13.30809    
 1957   13.55452    
 1958   13.36266    
 1959   13.23843    
 1960   13.50151    
 1961   13.21570    
 1962   13.50398    
 1963   13.25093    
 1964   13.15428    
 1965   13.20964    
 1966   13.20352    
 1967   13.36012    
 1968   13.42259    
 1969   13.34967    
 1970   13.23019    
 1971   13.43555    
 1972   13.57175    
 1973   13.36979    
 1974   13.55903    
 1975   13.51024    
 1976   13.30962    
 1977   13.47718    
 1978   13.62198    
 1979   13.51499    
 1980   13.62592    
 1981   13.77353    
 1982   13.57630    
 1983   13.52460    
 1984   13.56199    
 1985   13.61132    
 1986   13.78199    
 1987   13.91523    
 1988   13.76815    
 1989   13.81917    
 1990   13.88093    
 1991   13.78364    
 1992   13.62610    
 1993   13.62374    
 1994   13.77715    
 1995   14.00778    
 1996   14.11700    
 1997   14.11160    
 1998   13.95109    
 1999   14.17121    
 2000   14.39743    
 2001   14.15446    
 2002   14.19685    
 2003   14.39036    
 2004   14.23086    
 2005   14.23611    
 2006   14.50914    
 2007   14.59000    
 2008   14.57298    
 2009   14.52972    
 2010   14.14579    
 2011   14.37725    
 2012   14.61217    
 2013   14.60077    
 2014   14.63923    
 2015   14.75600    
 2016   14.78850    
 2017   14.59857    
 2018   14.95404    
 2019   14.71361    
 2020   14.61384    
 2021   14.88185    
 2022   14.93239    
 2023   14.94179    
 2024   15.01064    
 2025   15.07802    
 2026   14.94514    
 2027   14.99761    
 2028   14.70211    
 2029   14.81991    
 2030   14.94841    
 2031   15.09010    
 2032   15.14767    
 2033   15.23803    
 2034   15.06017    
 2035   14.99651    
 2036   15.27235    
 2037   15.30338    
 2038   15.22092    
 2039   15.39648    
 2040   15.12450    
 2041   15.01346    
 2042   15.15633    
 2043   15.20309    
 2044   15.25902    
 2045   15.41299    
 2046   15.22660    
 2047   14.94249    
 2048   14.94037    
 2049   15.08625    
 2050   15.33165    
 2051   15.19031    
 2052   14.88969    
 2053   15.14578    
 2054   15.19565    
 2055   15.18536    
 2056   15.18020    
 2057   15.01254    
 2058   15.16160    
 2059   15.39036    
 2060   14.90685    
 2061   15.05910    
 2062   15.08422    
 2063   15.31619    
 2064   15.33045    
 2065   15.06872    
 2066   15.05845    
 2067   15.33902    
 2068   15.15908    
 2069   15.14439    
 2070   15.18270    
 2071   15.21946    
 2072   14.95861    
 2073   15.03625    
 2074   15.11204    
 2075   15.34737    
 2076   15.30082    
 2077   14.98468    
 2078   15.00972    
 2079   14.96425    
 2080   14.92855    
 2081   15.12596    
 2082   14.92695    
 2083   15.19762    
 2084   15.02571    
 2085   15.00792    
 2086   15.01602    
 2087   15.31895    
 2088   15.04767    
 2089   14.96204    
 2090   15.12476    
 2091   15.01889    
 2092   15.12098    
 2093   15.24288    
 2094   15.18943    
 2095   15.08260    
 2096   15.13670    
 2097   15.44427    
 2098   15.31275    
 2099   15.18255    
 2100   15.34217    
