# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_CanESM2_rcp26_%%.dat
# using members   0 to   4
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CanESM2_rcp26_r1i1p1
# cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_003_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_CanESM2_rcp26_%%.dat, using members   0 to   4, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CanESM2_rcp26_r1i1p1, cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_003_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_003_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_003_mean1_anom.nc n
# tas [Celsius] from CanESM2 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.69325    
 1851   13.69437    
 1852   13.73914    
 1853   13.75053    
 1854   13.87161    
 1855   13.79696    
 1856   13.63715    
 1857   13.60191    
 1858   13.61127    
 1859   13.60114    
 1860   13.67934    
 1861   13.72573    
 1862   13.68859    
 1863   13.61706    
 1864   13.58410    
 1865   13.58398    
 1866   13.62229    
 1867   13.69488    
 1868   13.68302    
 1869   13.74510    
 1870   13.79299    
 1871   13.69838    
 1872   13.77857    
 1873   13.69238    
 1874   13.76460    
 1875   13.72613    
 1876   13.71568    
 1877   13.77737    
 1878   13.76823    
 1879   13.74412    
 1880   13.79408    
 1881   13.85653    
 1882   13.77706    
 1883   13.71749    
 1884   13.60493    
 1885   13.46668    
 1886   13.33466    
 1887   13.42942    
 1888   13.49041    
 1889   13.51955    
 1890   13.48371    
 1891   13.53833    
 1892   13.52309    
 1893   13.60623    
 1894   13.58435    
 1895   13.62677    
 1896   13.62378    
 1897   13.58721    
 1898   13.68618    
 1899   13.62290    
 1900   13.68037    
 1901   13.68228    
 1902   13.58399    
 1903   13.50211    
 1904   13.54489    
 1905   13.49153    
 1906   13.59930    
 1907   13.68390    
 1908   13.70117    
 1909   13.67271    
 1910   13.70597    
 1911   13.71414    
 1912   13.80053    
 1913   13.68249    
 1914   13.60526    
 1915   13.73067    
 1916   13.79986    
 1917   13.87106    
 1918   13.85634    
 1919   13.95532    
 1920   13.91598    
 1921   13.83517    
 1922   13.86483    
 1923   13.92542    
 1924   13.81829    
 1925   13.72988    
 1926   13.81024    
 1927   13.84240    
 1928   13.90063    
 1929   13.88111    
 1930   13.86261    
 1931   13.85292    
 1932   13.86952    
 1933   13.85138    
 1934   13.82495    
 1935   13.89246    
 1936   13.91836    
 1937   13.96912    
 1938   14.02772    
 1939   13.92660    
 1940   13.84212    
 1941   13.96306    
 1942   13.94286    
 1943   13.89223    
 1944   13.82392    
 1945   13.92547    
 1946   13.85595    
 1947   13.94263    
 1948   13.88760    
 1949   13.94489    
 1950   13.93011    
 1951   13.98374    
 1952   13.94097    
 1953   13.94172    
 1954   13.95120    
 1955   13.94350    
 1956   13.89688    
 1957   13.88415    
 1958   13.83941    
 1959   13.91520    
 1960   13.93754    
 1961   13.95830    
 1962   13.88274    
 1963   13.78267    
 1964   13.71106    
 1965   13.69703    
 1966   13.68437    
 1967   13.68064    
 1968   13.77376    
 1969   13.74327    
 1970   13.74800    
 1971   13.85406    
 1972   13.79119    
 1973   13.97952    
 1974   14.03495    
 1975   13.89530    
 1976   13.94430    
 1977   13.97791    
 1978   13.98828    
 1979   13.97107    
 1980   14.12335    
 1981   14.17842    
 1982   14.09135    
 1983   13.89986    
 1984   13.95156    
 1985   14.08445    
 1986   14.14552    
 1987   14.12425    
 1988   14.27684    
 1989   14.31848    
 1990   14.34146    
 1991   14.32974    
 1992   14.09162    
 1993   14.12496    
 1994   14.18296    
 1995   14.27956    
 1996   14.45798    
 1997   14.47513    
 1998   14.52657    
 1999   14.60466    
 2000   14.65054    
 2001   14.57356    
 2002   14.67603    
 2003   14.78100    
 2004   14.78667    
 2005   14.89070    
 2006   14.90489    
 2007   14.85652    
 2008   14.90925    
 2009   14.98022    
 2010   14.97396    
 2011   14.98159    
 2012   15.03679    
 2013   15.17294    
 2014   15.19265    
 2015   15.11783    
 2016   15.21162    
 2017   15.28810    
 2018   15.26746    
 2019   15.22188    
 2020   15.42504    
 2021   15.48947    
 2022   15.43069    
 2023   15.47495    
 2024   15.45552    
 2025   15.47477    
 2026   15.54696    
 2027   15.60341    
 2028   15.62919    
 2029   15.60406    
 2030   15.62406    
 2031   15.67907    
 2032   15.71726    
 2033   15.70978    
 2034   15.73803    
 2035   15.67257    
 2036   15.74532    
 2037   15.85955    
 2038   15.93983    
 2039   15.83881    
 2040   15.82471    
 2041   15.83480    
 2042   15.86701    
 2043   15.88266    
 2044   15.82378    
 2045   15.81295    
 2046   15.90885    
 2047   15.87236    
 2048   15.90746    
 2049   16.00365    
 2050   16.05400    
 2051   15.92663    
 2052   15.85400    
 2053   15.93606    
 2054   15.92617    
 2055   15.90896    
 2056   15.98113    
 2057   15.89967    
 2058   15.89361    
 2059   16.00799    
 2060   15.98495    
 2061   15.94101    
 2062   16.00667    
 2063   16.01563    
 2064   15.98468    
 2065   16.07819    
 2066   16.02767    
 2067   15.98793    
 2068   15.92373    
 2069   15.91180    
 2070   15.99131    
 2071   16.04015    
 2072   16.05003    
 2073   16.02691    
 2074   16.01241    
 2075   16.03693    
 2076   16.03699    
 2077   15.91834    
 2078   15.84929    
 2079   15.94821    
 2080   16.02231    
 2081   16.00100    
 2082   16.05765    
 2083   16.01198    
 2084   15.94591    
 2085   15.99086    
 2086   16.12878    
 2087   16.01104    
 2088   15.92537    
 2089   15.94590    
 2090   16.12329    
 2091   16.00147    
 2092   15.88570    
 2093   15.90985    
 2094   16.04725    
 2095   15.93715    
 2096   15.85921    
 2097   15.97436    
 2098   15.92807    
 2099   15.99308    
 2100   15.96354    
