# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_CCSM4_rcp26_%%.dat
# using members   0 to   5
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CCSM4_rcp26_r1i1p1
# cutting out region lon=   -0.625  359.375, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_004_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_CCSM4_rcp26_%%.dat, using members   0 to   5, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CCSM4_rcp26_r1i1p1, cutting out region lon=   -0.625  359.375, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_004_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_004_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_004_mean1_anom.nc n
# tas [Celsius] from CCSM4 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.35133    
 1851   13.43462    
 1852   13.33630    
 1853   13.37033    
 1854   13.21502    
 1855   13.32986    
 1856   13.38404    
 1857   13.35195    
 1858   13.27938    
 1859   13.29065    
 1860   13.30227    
 1861   13.31303    
 1862   13.31472    
 1863   13.34811    
 1864   13.32220    
 1865   13.31589    
 1866   13.31391    
 1867   13.34758    
 1868   13.40602    
 1869   13.41173    
 1870   13.27975    
 1871   13.34899    
 1872   13.38669    
 1873   13.44715    
 1874   13.40935    
 1875   13.42862    
 1876   13.45136    
 1877   13.39693    
 1878   13.29300    
 1879   13.35525    
 1880   13.43005    
 1881   13.46749    
 1882   13.45453    
 1883   13.33514    
 1884   12.82599    
 1885   13.06976    
 1886   13.14258    
 1887   13.13439    
 1888   13.27230    
 1889   13.29553    
 1890   13.17336    
 1891   13.13105    
 1892   13.18192    
 1893   13.22544    
 1894   13.32640    
 1895   13.37023    
 1896   13.40432    
 1897   13.36622    
 1898   13.37165    
 1899   13.41902    
 1900   13.33867    
 1901   13.40449    
 1902   13.38352    
 1903   12.96147    
 1904   13.01260    
 1905   13.21831    
 1906   13.26237    
 1907   13.25762    
 1908   13.31325    
 1909   13.44733    
 1910   13.46707    
 1911   13.33692    
 1912   13.28844    
 1913   13.35651    
 1914   13.43164    
 1915   13.40162    
 1916   13.39890    
 1917   13.48285    
 1918   13.50098    
 1919   13.50455    
 1920   13.47528    
 1921   13.45836    
 1922   13.55808    
 1923   13.48172    
 1924   13.50303    
 1925   13.53560    
 1926   13.55699    
 1927   13.63044    
 1928   13.57340    
