# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_CESM1-CAM5_rcp26_%%.dat
# using members   0 to   2
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CESM1-CAM5_rcp26_r1i1p1
# cutting out region lon=   -0.625  359.375, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_005_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_CESM1-CAM5_rcp26_%%.dat, using members   0 to   2, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CESM1-CAM5_rcp26_r1i1p1, cutting out region lon=   -0.625  359.375, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_005_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_005_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_005_mean1_anom.nc n
# tas [Celsius] from CESM1-CAM5 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.19658    
 1851   13.17932    
 1852   13.16085    
 1853   13.20768    
 1854   13.15173    
 1855   13.04952    
 1856   13.02482    
 1857   13.09077    
 1858   13.10552    
 1859   13.13626    
 1860   13.06817    
 1861   13.04082    
 1862   13.13401    
 1863   13.29573    
 1864   13.18992    
 1865   13.12592    
 1866   13.20836    
 1867   13.17620    
 1868   13.16682    
 1869   13.21092    
 1870   13.23380    
 1871   13.16718    
 1872   13.18752    
 1873   13.18722    
 1874   13.13777    
 1875   13.15567    
 1876   13.11480    
 1877   13.12973    
 1878   13.17384    
 1879   13.22373    
 1880   13.20438    
 1881   13.19827    
 1882   13.20747    
 1883   13.17486    
 1884   12.86792    
 1885   12.91486    
 1886   12.99588    
 1887   12.96010    
 1888   13.05915    
 1889   13.02057    
 1890   12.97991    
 1891   12.94627    
 1892   12.94525    
 1893   12.89697    
 1894   12.98319    
 1895   13.04684    
 1896   13.09178    
 1897   13.02878    
 1898   13.08378    
 1899   13.13497    
 1900   13.10899    
 1901   13.04320    
 1902   13.00682    
 1903   12.74729    
 1904   12.87882    
 1905   13.04480    
 1906   12.93433    
 1907   12.89796    
 1908   12.98529    
 1909   12.99553    
 1910   13.07161    
 1911   13.04537    
 1912   12.99066    
 1913   12.90043    
 1914   12.99318    
 1915   13.09941    
 1916   13.09424    
 1917   13.15905    
 1918   13.14388    
 1919   13.10497    
 1920   13.15979    
 1921   13.21176    
 1922   13.20282    
 1923   13.18639    
 1924   13.12720    
 1925   13.24895    
 1926   13.37976    
 1927   13.29581    
 1928   13.25733    
 1929   13.17966    
 1930   13.20892    
 1931   13.24352    
 1932   13.16764    
 1933   13.20185    
 1934   13.24965    
 1935   13.31670    
 1936   13.22273    
 1937   13.21776    
 1938   13.24893    
 1939   13.23702    
 1940   13.20618    
 1941   13.22423    
 1942   13.18475    
 1943   13.22427    
 1944   13.28866    
