# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CNRM-CM5_rcp26_r1i1p1
# cutting out region lon=   -0.703  359.297, lat=  -89.622   89.622
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_006_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CNRM-CM5_rcp26_r1i1p1, cutting out region lon=   -0.703  359.297, lat=  -89.622   89.622, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_006_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_006_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_006_mean1_anom.nc n
# tas [Celsius] from CNRM-CM5 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.25224    
 1851   13.23082    
 1852   13.25620    
 1853   13.42630    
 1854   13.13184    
 1855   13.22217    
 1856   13.33785    
 1857   13.22070    
 1858   13.25254    
 1859   13.28366    
 1860   13.33246    
 1861   13.36715    
 1862   13.27132    
 1863   13.24392    
 1864   13.25584    
 1865   13.46040    
 1866   13.37554    
 1867   13.25376    
 1868   13.24856    
 1869   13.33848    
 1870   13.20394    
 1871   13.19264    
 1872   13.33549    
 1873   13.26574    
 1874   13.37378    
 1875   13.37804    
 1876   13.26348    
 1877   13.32712    
 1878   13.42091    
 1879   13.32215    
 1880   13.44075    
 1881   13.38153    
 1882   13.58341    
 1883   13.22673    
 1884   12.71018    
 1885   12.89349    
 1886   12.98421    
 1887   13.24802    
 1888   13.35928    
 1889   13.35890    
 1890   13.22797    
 1891   13.17799    
 1892   13.36488    
 1893   13.55659    
 1894   13.38536    
 1895   13.41888    
 1896   13.56464    
 1897   13.57278    
 1898   13.55808    
 1899   13.66761    
 1900   13.65740    
 1901   13.66933    
 1902   13.70495    
 1903   13.40036    
 1904   13.39052    
 1905   13.37164    
 1906   13.34162    
 1907   13.42291    
 1908   13.61493    
 1909   13.40205    
 1910   13.55461    
 1911   13.49911    
 1912   13.34228    
 1913   13.12314    
 1914   13.23763    
 1915   13.35177    
 1916   13.37793    
 1917   13.42405    
 1918   13.22506    
 1919   13.26866    
 1920   13.49186    
