# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_CSIRO-Mk3-6-0_rcp26_%%.dat
# using members   0 to   9
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CSIRO-Mk3-6-0_rcp26_r10i1p1
# cutting out region lon=   -0.938  359.062, lat=  -89.497   89.497
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_007_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_CSIRO-Mk3-6-0_rcp26_%%.dat, using members   0 to   9, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_CSIRO-Mk3-6-0_rcp26_r10i1p1, cutting out region lon=   -0.938  359.062, lat=  -89.497   89.497, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_007_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_007_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_007_mean1_anom.nc n
# tas [Celsius] from CSIRO-Mk3-6-0 model output prepared for CMIP5 RCP2.6 r10i1p1
 1850   12.65352    
 1851   12.72187    
 1852   12.78412    
 1853   12.76360    
 1854   12.77240    
 1855   12.79137    
 1856   12.74533    
 1857   12.59167    
 1858   12.62253    
 1859   12.66354    
 1860   12.71655    
 1861   12.73128    
 1862   12.65283    
 1863   12.66068    
 1864   12.66295    
 1865   12.72061    
 1866   12.76925    
 1867   12.78518    
 1868   12.79362    
 1869   12.77717    
 1870   12.74997    
 1871   12.75712    
 1872   12.83753    
 1873   12.87137    
 1874   12.87216    
 1875   12.85945    
 1876   12.83911    
 1877   12.87333    
 1878   12.87874    
 1879   12.79957    
 1880   12.81737    
 1881   12.90495    
 1882   12.85730    
 1883   12.77116    
 1884   12.48201    
 1885   12.44490    
 1886   12.53867    
 1887   12.56963    
 1888   12.61919    
 1889   12.60054    
 1890   12.61113    
 1891   12.63456    
 1892   12.61664    
 1893   12.68331    
 1894   12.75515    
 1895   12.78229    
 1896   12.77476    
 1897   12.79908    
 1898   12.74344    
 1899   12.72063    
 1900   12.73696    
 1901   12.78984    
 1902   12.80467    
 1903   12.64767    
 1904   12.71362    
 1905   12.73644    
 1906   12.70691    
 1907   12.76718    
 1908   12.84116    
 1909   12.83015    
 1910   12.82073    
 1911   12.82229    
 1912   12.78755    
 1913   12.77492    
 1914   12.81022    
 1915   12.86526    
 1916   12.87199    
 1917   12.84937    
 1918   12.87334    
 1919   12.91362    
 1920   12.92974    
 1921   12.96412    
 1922   12.94438    
 1923   12.92100    
 1924   12.92725    
 1925   12.97461    
 1926   12.97844    
 1927   12.99089    
 1928   13.03495    
 1929   12.98876    
 1930   12.96168    
 1931   12.99114    
 1932   13.02017    
 1933   13.00554    
 1934   13.00746    
 1935   13.02702    
 1936   13.06476    
 1937   13.05079    
 1938   13.06796    
 1939   13.07624    
 1940   13.06006    
 1941   13.07061    
 1942   13.07976    
 1943   13.07972    
 1944   13.04802    
 1945   13.07422    
 1946   13.08975    
 1947   13.08900    
 1948   13.05349    
 1949   13.05655    
 1950   13.04379    
 1951   13.04807    
 1952   13.04896    
 1953   13.07657    
 1954   13.06844    
 1955   13.04305    
 1956   13.05959    
 1957   13.05858    
 1958   13.08164    
 1959   13.11292    
 1960   13.09134    
 1961   12.98739    
 1962   12.94976    
 1963   12.94460    
 1964   12.84958    
 1965   12.79369    
 1966   12.78458    
 1967   12.87573    
 1968   12.84804    
 1969   12.79422    
 1970   12.81808    
