# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_EC-EARTH_rcp26_%%.dat
# using members   0 to   1
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_EC-EARTH_rcp26_r12i1p1
# cutting out region lon=   -0.562  359.438, lat=  -89.698   89.698
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_008_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_EC-EARTH_rcp26_%%.dat, using members   0 to   1, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_EC-EARTH_rcp26_r12i1p1, cutting out region lon=   -0.562  359.438, lat=  -89.698   89.698, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_008_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_008_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_008_mean1_anom.nc n
# tas [Celsius] from EC-EARTH model output prepared for CMIP5 RCP2.6 r12i1p1
 1850   12.53070    
 1851   12.49282    
 1852   12.46044    
 1853   12.49586    
 1854   12.48582    
 1855   12.53730    
 1856   12.39322    
 1857   12.28438    
 1858   12.28068    
 1859   12.36122    
 1860   12.39564    
 1861   12.41709    
 1862   12.39041    
 1863   12.49085    
 1864   12.54130    
 1865   12.51841    
 1866   12.41250    
 1867   12.40137    
 1868   12.39297    
 1869   12.45885    
 1870   12.52367    
 1871   12.42830    
 1872   12.45423    
 1873   12.52992    
 1874   12.53200    
 1875   12.56635    
 1876   12.52209    
 1877   12.48986    
 1878   12.59043    
 1879   12.58958    
 1880   12.56532    
 1881   12.60599    
 1882   12.58163    
 1883   12.51921    
 1884   12.23207    
 1885   12.18008    
 1886   12.24397    
 1887   12.27587    
 1888   12.28699    
 1889   12.32504    
 1890   12.28061    
 1891   12.28377    
 1892   12.29634    
 1893   12.38473    
 1894   12.44937    
 1895   12.60572    
 1896   12.46968    
 1897   12.40395    
 1898   12.40044    
 1899   12.34378    
 1900   12.40385    
 1901   12.41204    
 1902   12.46300    
 1903   12.32303    
 1904   12.30227    
 1905   12.39820    
 1906   12.43417    
 1907   12.45980    
 1908   12.49344    
 1909   12.53113    
 1910   12.48346    
 1911   12.45631    
 1912   12.44126    
 1913   12.40795    
 1914   12.45372    
 1915   12.55694    
 1916   12.58934    
 1917   12.53683    
 1918   12.56908    
 1919   12.63270    
 1920   12.63656    
 1921   12.68250    
 1922   12.74977    
 1923   12.68614    
 1924   12.73345    
 1925   12.77704    
 1926   12.77077    
 1927   12.79735    
 1928   12.78879    
