# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_FGOALS-g2_rcp26_r1i1p1
# cutting out region lon=   -1.406  358.594, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_009_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_FGOALS-g2_rcp26_r1i1p1, cutting out region lon=   -1.406  358.594, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_009_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_009_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_009_mean1_anom.nc n
# tas [Celsius] from FGOALS_g2 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   12.30364    
 1851   12.33043    
 1852   12.29415    
 1853   12.25375    
 1854   12.15395    
 1855   12.27154    
 1856   12.27288    
 1857   12.14595    
 1858   12.18366    
 1859   12.23951    
 1860   12.22182    
 1861   12.22731    
 1862   12.28506    
 1863   12.28010    
 1864   12.21940    
 1865   12.27972    
 1866   12.15415    
 1867   12.19697    
 1868   12.11928    
 1869   12.25275    
 1870   12.26008    
 1871   12.19340    
 1872   12.31427    
 1873   12.26500    
 1874   12.19014    
 1875   12.20192    
 1876   12.21587    
 1877   12.32379    
 1878   12.21293    
 1879   12.22817    
 1880   12.22061    
 1881   12.17659    
 1882   12.18494    
 1883   12.17989    
 1884   12.22660    
 1885   12.16558    
 1886   12.22322    
 1887   12.26240    
 1888   12.22978    
 1889   12.06946    
 1890   12.14184    
 1891   12.14505    
 1892   12.09247    
 1893   12.25801    
 1894   12.27028    
 1895   12.16701    
 1896   12.21264    
 1897   12.19895    
 1898   12.26234    
 1899   12.18610    
 1900   12.14575    
 1901   12.21657    
 1902   12.15621    
 1903   12.27094    
 1904   12.27878    
 1905   12.09758    
 1906   12.15662    
 1907   12.18318    
 1908   12.22594    
 1909   12.23325    
 1910   12.14881    
 1911   12.04990    
 1912   12.21006    
 1913   12.27099    
 1914   12.14920    
 1915   12.25011    
 1916   12.23846    
 1917   12.21856    
 1918   12.16423    
 1919   12.27490    
 1920   12.18860    
