# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_FIO-ESM_rcp26_%%.dat
# using members   0 to   2
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_FIO-ESM_rcp26_r1i1p1
# cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_010_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_FIO-ESM_rcp26_%%.dat, using members   0 to   2, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_FIO-ESM_rcp26_r1i1p1, cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_010_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_010_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_010_mean1_anom.nc n
# tas [Celsius] from FIO-ESM model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.22254    
 1851   13.19654    
 1852   13.35250    
 1853   13.30527    
 1854   13.24294    
 1855   13.26648    
 1856   13.23933    
 1857   13.29641    
 1858   13.29844    
 1859   13.30474    
 1860   13.26637    
 1861   13.33822    
 1862   13.30809    
 1863   13.32190    
 1864   13.22324    
 1865   13.24087    
 1866   13.41348    
 1867   13.27986    
 1868   13.20865    
 1869   13.27898    
 1870   13.37732    
 1871   13.13305    
 1872   13.27251    
 1873   13.39962    
 1874   13.34331    
 1875   13.24179    
 1876   13.24513    
 1877   13.31567    
 1878   13.28502    
 1879   13.26509    
 1880   13.33532    
 1881   13.23271    
 1882   13.25734    
 1883   13.29172    
 1884   13.36104    
 1885   13.23261    
 1886   13.36643    
 1887   13.27680    
 1888   13.28530    
 1889   13.31845    
 1890   13.34509    
 1891   13.31655    
 1892   13.38289    
 1893   13.36522    
 1894   13.36163    
 1895   13.39630    
 1896   13.33851    
 1897   13.31694    
 1898   13.36078    
 1899   13.32312    
 1900   13.34720    
 1901   13.42455    
 1902   13.30123    
 1903   13.27370    
 1904   13.36792    
 1905   13.35612    
 1906   13.37898    
 1907   13.41770    
 1908   13.29277    
 1909   13.45270    
 1910   13.49883    
 1911   13.27836    
 1912   13.22141    
 1913   13.41558    
 1914   13.46422    
 1915   13.33133    
 1916   13.30338    
 1917   13.51100    
 1918   13.51337    
 1919   13.40167    
 1920   13.48114    
 1921   13.53860    
 1922   13.43773    
 1923   13.47181    
 1924   13.46979    
 1925   13.43610    
 1926   13.39042    
 1927   13.50004    
 1928   13.44183    
 1929   13.47084    
 1930   13.47081    
 1931   13.45695    
 1932   13.46925    
 1933   13.49771    
 1934   13.47983    
 1935   13.46146    
 1936   13.61993    
 1937   13.58579    
 1938   13.45938    
 1939   13.47107    
 1940   13.49447    
 1941   13.55997    
 1942   13.50214    
 1943   13.53034    
 1944   13.58079    
 1945   13.55156    
 1946   13.44999    
 1947   13.46854    
 1948   13.51785    
 1949   13.56687    
 1950   13.56328    
 1951   13.45259    
 1952   13.59030    
 1953   13.51929    
