# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GFDL-CM3_rcp26_r1i1p1
# cutting out region lon=    0.000  360.000, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_011_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GFDL-CM3_rcp26_r1i1p1, cutting out region lon=    0.000  360.000, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_011_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:34 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_011_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_011_mean1_anom.nc n
# tas [Celsius] from NOAA GFDL GFDL-CM3, RCP2.6 (run 1) experiment output for CMIP5 AR5 r1i1p1
 1860   13.51111    
 1861   13.47035    
 1862   13.47933    
 1863   13.26052    
 1864   13.40246    
 1865   13.51880    
 1866   13.31102    
 1867   13.38295    
 1868   13.51258    
 1869   13.58655    
 1870   13.47208    
 1871   13.63866    
 1872   13.54230    
 1873   13.61454    
 1874   13.63504    
 1875   13.78891    
 1876   13.72075    
 1877   13.41028    
 1878   13.58595    
 1879   13.68206    
 1880   13.62413    
 1881   13.56516    
 1882   13.71720    
 1883   13.68733    
 1884   13.34341    
 1885   13.07208    
 1886   13.19241    
 1887   13.17635    
 1888   13.39749    
 1889   13.27169    
 1890   13.07307    
 1891   13.08297    
 1892   13.14639    
 1893   13.35391    
 1894   13.25715    
 1895   13.42116    
 1896   13.41870    
 1897   13.25580    
 1898   13.38105    
 1899   13.44251    
 1900   13.51124    
 1901   13.37424    
 1902   13.30190    
 1903   13.19361    
 1904   13.24597    
 1905   13.28727    
 1906   13.24103    
 1907   13.38358    
 1908   13.53388    
 1909   13.38165    
 1910   13.46126    
 1911   13.61754    
 1912   13.28786    
 1913   13.19380    
 1914   13.22943    
 1915   13.44343    
 1916   13.34171    
 1917   13.37455    
 1918   13.34221    
 1919   13.20104    
 1920   13.51570    
 1921   13.55641    
 1922   13.51693    
 1923   13.60300    
 1924   13.58230    
 1925   13.67227    
 1926   13.48611    
 1927   13.48219    
 1928   13.56256    
 1929   13.42803    
 1930   13.42245    
 1931   13.55346    
