# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GFDL-ESM2G_rcp26_r1i1p1
# cutting out region lon=    0.000  360.000, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_012_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GFDL-ESM2G_rcp26_r1i1p1, cutting out region lon=    0.000  360.000, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_012_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:35 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_012_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_012_mean1_anom.nc n
# tas [Celsius] from NOAA GFDL GFDL-ESM2G, RCP2.6 (run 1) experiment output for CMIP5 AR5 r1i1p1
 1861   13.26636    
 1862   13.22218    
 1863   13.25055    
 1864   13.09372    
 1865   13.00760    
 1866   13.19618    
 1867   13.34771    
 1868   13.32845    
 1869   13.32940    
 1870   13.21260    
 1871   13.24244    
 1872   13.25710    
 1873   13.36036    
 1874   13.26674    
 1875   13.29777    
 1876   13.37090    
 1877   13.49825    
 1878   13.34325    
 1879   13.44246    
 1880   13.42943    
 1881   13.38157    
 1882   13.62255    
 1883   13.46474    
 1884   12.87688    
 1885   12.78118    
 1886   13.01707    
 1887   12.97784    
 1888   12.93080    
 1889   13.07484    
 1890   13.15673    
 1891   13.15579    
 1892   13.07445    
 1893   13.18107    
 1894   13.25001    
 1895   13.26374    
 1896   13.22691    
 1897   13.20089    
 1898   13.17409    
 1899   13.16332    
 1900   13.17698    
 1901   13.27379    
 1902   13.35710    
 1903   13.19808    
 1904   13.21073    
 1905   13.27667    
 1906   13.29896    
 1907   13.28989    
 1908   13.20463    
 1909   13.27131    
 1910   13.30369    
 1911   13.46341    
 1912   13.40943    
 1913   13.12516    
 1914   13.19971    
 1915   13.52614    
 1916   13.48477    
 1917   13.56104    
 1918   13.56573    
 1919   13.46292    
 1920   13.39959    
 1921   13.57358    
 1922   13.33983    
 1923   13.47471    
 1924   13.69230    
 1925   13.77361    
 1926   13.80697    
 1927   13.57435    
 1928   13.58097    
 1929   13.50378    
 1930   13.54808    
 1931   13.39764    
 1932   13.37424    
 1933   13.38477    
 1934   13.28827    
 1935   13.48843    
 1936   13.49176    
 1937   13.59036    
 1938   13.43149    
 1939   13.27184    
 1940   13.54438    
 1941   13.64348    
 1942   13.49453    
 1943   13.41642    
 1944   13.27378    
 1945   13.36452    
 1946   13.27308    
 1947   13.53190    
 1948   13.45938    
 1949   13.37434    
 1950   13.38899    
 1951   13.24962    
 1952   13.23902    
 1953   13.34706    
 1954   13.37526    
 1955   13.38428    
 1956   13.42736    
 1957   13.41482    
 1958   13.40482    
 1959   13.36256    
 1960   13.38743    
 1961   13.45588    
 1962   13.43930    
 1963   13.32962    
 1964   13.07216    
 1965   13.24697    
 1966   13.28785    
 1967   13.18586    
 1968   13.15379    
 1969   13.11180    
 1970   13.36642    
 1971   13.35130    
 1972   13.41946    
 1973   13.48869    
 1974   13.33915    
 1975   13.52324    
 1976   13.53763    
 1977   13.27871    
 1978   13.31726    
 1979   13.38552    
 1980   13.42813    
 1981   13.66342    
 1982   13.50632    
 1983   13.23769    
 1984   13.47111    
 1985   13.80069    
 1986   13.75286    
 1987   13.59133    
 1988   13.70015    
 1989   13.63529    
 1990   13.85103    
 1991   13.86943    
 1992   13.41745    
 1993   13.47842    
 1994   13.65612    
 1995   13.80350    
 1996   13.87345    
 1997   13.97903    
 1998   13.99171    
 1999   13.96485    
 2000   14.01731    
 2001   14.26984    
 2002   14.36965    
 2003   14.21319    
 2004   14.18328    
 2005   14.26262    
 2006   14.04789    
 2007   14.02613    
 2008   14.15473    
 2009   14.23891    
 2010   14.19425    
 2011   14.22272    
 2012   14.29312    
 2013   14.18203    
 2014   14.39954    
 2015   14.44666    
 2016   14.21190    
 2017   14.30419    
 2018   14.18266    
 2019   14.10189    
 2020   14.15096    
 2021   14.21082    
 2022   14.31747    
 2023   14.36417    
 2024   14.36233    
 2025   14.47095    
 2026   14.21040    
 2027   14.41455    
 2028   14.47929    
 2029   14.45788    
 2030   14.31243    
 2031   14.39704    
 2032   14.38102    
 2033   14.32915    
 2034   14.33591    
 2035   14.35912    
 2036   14.34342    
 2037   14.49379    
 2038   14.49647    
 2039   14.42583    
 2040   14.45302    
 2041   14.37782    
 2042   14.40739    
 2043   14.40702    
 2044   14.35878    
 2045   14.41481    
 2046   14.48727    
 2047   14.52958    
 2048   14.40233    
 2049   14.29864    
 2050   14.51459    
 2051   14.36116    
 2052   14.31512    
 2053   14.33755    
 2054   14.26636    
 2055   14.25312    
 2056   14.29428    
 2057   14.29035    
 2058   14.42733    
 2059   14.27793    
 2060   14.16152    
 2061   14.19581    
 2062   14.24240    
 2063   14.27881    
 2064   14.06847    
 2065   14.08741    
 2066   14.14076    
 2067   14.10018    
 2068   14.11081    
 2069   14.10900    
 2070   14.14038    
 2071   14.00938    
 2072   14.15076    
 2073   14.11856    
 2074   13.97264    
 2075   14.14002    
 2076   14.18798    
 2077   14.04961    
 2078   14.02356    
 2079   14.07337    
 2080   14.02862    
 2081   14.09991    
 2082   14.23857    
 2083   14.04122    
 2084   14.18844    
 2085   14.20033    
 2086   14.27226    
 2087   14.08739    
 2088   14.13565    
 2089   14.11511    
 2090   14.29502    
 2091   14.48847    
 2092   14.16265    
 2093   14.10818    
 2094   14.07641    
 2095   14.05301    
 2096   14.00771    
 2097   13.98872    
 2098   14.04957    
 2099   14.20551    
 2100   14.03750    
