# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GFDL-ESM2M_rcp26_r1i1p1
# cutting out region lon=    0.000  360.000, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_013_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GFDL-ESM2M_rcp26_r1i1p1, cutting out region lon=    0.000  360.000, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_013_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:35 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_013_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_013_mean1_anom.nc n
# tas [Celsius] from NOAA GFDL GFDL-ESM2M, RCP2.6 (run 1) experiment output for CMIP5 AR5 r1i1p1
 1861   13.65014    
 1862   13.75468    
 1863   13.76623    
 1864   13.65951    
 1865   13.73197    
 1866   13.89044    
 1867   13.85650    
 1868   13.75366    
 1869   13.89197    
 1870   13.92996    
 1871   13.88064    
 1872   13.68061    
 1873   13.83168    
 1874   13.90308    
 1875   13.90281    
 1876   13.61934    
 1877   13.66733    
 1878   13.53886    
 1879   13.71105    
 1880   13.73854    
 1881   13.66177    
 1882   13.73548    
 1883   13.73494    
 1884   13.40352    
 1885   13.31132    
 1886   13.45031    
 1887   13.33338    
 1888   13.47582    
 1889   13.54065    
 1890   13.73916    
 1891   13.70188    
 1892   13.62199    
 1893   13.62133    
 1894   13.79497    
 1895   13.96998    
 1896   14.08154    
 1897   13.69594    
 1898   13.74139    
 1899   13.88751    
 1900   13.96357    
 1901   13.85285    
 1902   13.84419    
 1903   13.59210    
 1904   13.61136    
 1905   13.92040    
 1906   13.95103    
 1907   13.76077    
 1908   13.78436    
 1909   13.86582    
 1910   13.91873    
 1911   14.02641    
 1912   13.78385    
 1913   13.69591    
 1914   13.88055    
 1915   13.94342    
 1916   13.96255    
 1917   13.90979    
 1918   13.97803    
 1919   13.92261    
 1920   13.98747    
 1921   13.98626    
 1922   13.96887    
 1923   13.88762    
 1924   13.86871    
 1925   13.81663    
 1926   14.11237    
 1927   14.22602    
 1928   13.82728    
 1929   13.85452    
 1930   13.94900    
 1931   13.84891    
 1932   14.01245    
 1933   14.05771    
 1934   13.79266    
 1935   13.82006    
 1936   14.13858    
 1937   14.24672    
 1938   13.78427    
 1939   13.75871    
 1940   13.86162    
 1941   13.90185    
 1942   14.05856    
 1943   13.76069    
 1944   13.83173    
 1945   14.12956    
 1946   13.92224    
 1947   13.89616    
 1948   14.06614    
 1949   13.81309    
 1950   13.89738    
 1951   13.97122    
 1952   14.22652    
 1953   14.03916    
 1954   13.94629    
 1955   13.91383    
 1956   13.99249    
 1957   14.23395    
 1958   14.01614    
 1959   13.99792    
 1960   14.24688    
 1961   14.22835    
 1962   13.93971    
 1963   13.79654    
 1964   13.59072    
 1965   13.74868    
 1966   13.95544    
 1967   13.81055    
 1968   13.75531    
 1969   13.78887    
 1970   13.85041    
 1971   13.93447    
 1972   13.96653    
 1973   14.19301    
 1974   13.98820    
 1975   13.84591    
 1976   13.90962    
 1977   14.11531    
 1978   14.11280    
 1979   14.10468    
 1980   14.14464    
 1981   14.05316    
 1982   14.20295    
 1983   14.14595    
 1984   14.14086    
 1985   14.01615    
 1986   14.17306    
 1987   14.41184    
 1988   14.45512    
 1989   14.00788    
 1990   14.13771    
 1991   14.40594    
 1992   14.17761    
 1993   14.00081    
 1994   14.09570    
 1995   14.22026    
 1996   14.58411    
 1997   14.56148    
 1998   14.30291    
 1999   14.35629    
 2000   14.61060    
 2001   14.68789    
 2002   14.69285    
 2003   14.41568    
 2004   14.51515    
 2005   14.60309    
 2006   14.71140    
 2007   14.73318    
 2008   14.77013    
 2009   14.55231    
 2010   14.66314    
 2011   14.71881    
 2012   14.71750    
 2013   14.61385    
 2014   14.80603    
 2015   14.83867    
 2016   14.73952    
 2017   14.75193    
 2018   14.90915    
 2019   14.89193    
 2020   14.89312    
 2021   15.01582    
 2022   14.82010    
 2023   14.87200    
 2024   14.85507    
 2025   14.91941    
 2026   15.06819    
 2027   14.87044    
 2028   14.98509    
 2029   15.00558    
 2030   15.12023    
 2031   15.20324    
 2032   14.81675    
 2033   14.91643    
 2034   15.09654    
 2035   15.22872    
 2036   14.89671    
 2037   14.86214    
 2038   14.96216    
 2039   14.92362    
 2040   15.02115    
 2041   15.19840    
 2042   14.93016    
 2043   14.75694    
 2044   14.90565    
 2045   14.93072    
 2046   14.99747    
 2047   15.17811    
 2048   15.15790    
 2049   14.97462    
 2050   14.90843    
 2051   14.88847    
 2052   15.10639    
 2053   15.10795    
 2054   15.11302    
 2055   15.02152    
 2056   15.14730    
 2057   15.04147    
 2058   14.89698    
 2059   14.99438    
 2060   14.92241    
 2061   14.88151    
 2062   15.05692    
 2063   14.84992    
 2064   14.98154    
 2065   15.07668    
 2066   14.94483    
 2067   15.01237    
 2068   15.01813    
 2069   15.21619    
 2070   15.42256    
 2071   15.37737    
 2072   14.98822    
 2073   15.09484    
 2074   15.08262    
 2075   15.02106    
 2076   15.15283    
 2077   15.14457    
 2078   14.98520    
 2079   14.97284    
 2080   14.91414    
 2081   14.82985    
 2082   15.01898    
 2083   15.05217    
 2084   14.93059    
 2085   14.96492    
 2086   15.01408    
 2087   15.07325    
 2088   14.98808    
 2089   15.25350    
 2090   15.08866    
 2091   14.87519    
 2092   14.96563    
 2093   15.11935    
 2094   15.10889    
 2095   15.09127    
 2096   15.12651    
 2097   15.09919    
 2098   14.87099    
 2099   15.05913    
 2100   15.19280    
