# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GISS-E2-H_rcp26_r1i1p1
# cutting out region lon=    0.000  360.000, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_014_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GISS-E2-H_rcp26_r1i1p1, cutting out region lon=    0.000  360.000, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_014_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:35 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_014_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_014_mean1_anom.nc n
# tas [Celsius] from GISS-E2-H model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   14.83160    
 1851   14.82434    
 1852   14.63926    
 1853   14.75206    
 1854   14.75099    
 1855   14.64543    
 1856   14.64570    
 1857   14.44414    
 1858   14.52529    
 1859   14.66246    
 1860   14.64587    
 1861   14.75231    
 1862   14.70260    
 1863   14.67113    
 1864   14.75927    
 1865   14.71103    
 1866   14.68835    
 1867   14.70961    
 1868   14.74478    
 1869   14.79935    
 1870   14.75422    
 1871   14.73096    
 1872   14.72206    
 1873   14.77478    
 1874   14.82435    
 1875   14.87534    
 1876   14.79670    
 1877   14.91313    
 1878   14.85753    
 1879   14.94890    
 1880   14.84888    
 1881   14.89872    
 1882   14.90291    
 1883   14.97473    
 1884   14.58182    
 1885   14.48231    
 1886   14.63064    
 1887   14.60304    
 1888   14.67199    
 1889   14.73036    
 1890   14.69343    
 1891   14.63017    
 1892   14.78316    
 1893   14.84041    
 1894   14.86429    
 1895   14.83700    
 1896   14.89561    
 1897   14.78076    
 1898   14.93398    
 1899   14.86319    
 1900   14.86864    
 1901   14.88100    
 1902   14.91275    
 1903   14.74577    
 1904   14.78197    
 1905   14.73196    
 1906   14.93281    
 1907   14.87419    
 1908   14.93594    
 1909   14.97889    
 1910   14.95392    
 1911   14.95629    
 1912   15.02324    
 1913   14.95361    
 1914   14.87283    
 1915   14.93383    
 1916   14.95153    
 1917   14.99513    
 1918   15.05190    
 1919   15.01940    
 1920   15.04015    
 1921   15.02420    
 1922   15.04874    
 1923   15.03906    
 1924   15.15299    
 1925   15.17368    
 1926   15.02381    
 1927   15.06005    
 1928   15.13523    
 1929   15.10902    
 1930   15.13345    
 1931   15.05357    
 1932   15.12863    
 1933   15.28362    
 1934   15.18299    
 1935   15.13435    
 1936   15.19135    
 1937   15.22054    
 1938   15.17667    
 1939   15.12767    
 1940   15.18927    
 1941   15.30553    
 1942   15.27224    
 1943   15.22942    
 1944   15.34346    
 1945   15.16967    
 1946   15.23347    
 1947   15.24128    
 1948   15.25759    
