# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GISS-E2-R_rcp26_r1i1p3
# cutting out region lon=    0.000  360.000, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_019_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_GISS-E2-R_rcp26_r1i1p3, cutting out region lon=    0.000  360.000, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_019_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:35 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_019_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_019_mean1_anom.nc n
# tas [Celsius] from GISS-E2-R model output prepared for CMIP5 RCP2.6 r1i1p3
 1850   14.46025    
 1851   14.48998    
 1852   14.44936    
 1853   14.44797    
 1854   14.60517    
 1855   14.56908    
 1856   14.45686    
 1857   14.37447    
 1858   14.35356    
 1859   14.36579    
 1860   14.44922    
 1861   14.56925    
 1862   14.48709    
 1863   14.36472    
 1864   14.30737    
 1865   14.48361    
 1866   14.53548    
 1867   14.56629    
 1868   14.51101    
 1869   14.59424    
 1870   14.68388    
 1871   14.59620    
 1872   14.53826    
 1873   14.52856    
 1874   14.59845    
 1875   14.54933    
 1876   14.46650    
 1877   14.56605    
 1878   14.57261    
 1879   14.56647    
 1880   14.60198    
 1881   14.58640    
 1882   14.58331    
 1883   14.56467    
 1884   14.29592    
 1885   14.21352    
 1886   14.31353    
 1887   14.31574    
 1888   14.32134    
 1889   14.28898    
 1890   14.36781    
 1891   14.40802    
 1892   14.53830    
 1893   14.51961    
 1894   14.42985    
 1895   14.55222    
 1896   14.60976    
 1897   14.53294    
 1898   14.55148    
 1899   14.62646    
 1900   14.71275    
 1901   14.65872    
 1902   14.70776    
 1903   14.31466    
 1904   14.45218    
 1905   14.60102    
 1906   14.48299    
 1907   14.56557    
 1908   14.60599    
 1909   14.68701    
 1910   14.64226    
 1911   14.64445    
 1912   14.59136    
 1913   14.50794    
 1914   14.67873    
 1915   14.69614    
 1916   14.67033    
 1917   14.58415    
 1918   14.78980    
 1919   14.74099    
