# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_HadGEM2-AO_rcp26_r1i1p1
# cutting out region lon=   -0.938  359.062, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_020_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_HadGEM2-AO_rcp26_r1i1p1, cutting out region lon=   -0.938  359.062, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_020_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:35 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_020_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_020_mean1_anom.nc n
# tas [Celsius] from HadGEM2-AO model output prepared for CMIP5 RCP2.6 r1i1p1
 1860   13.93222    
 1861   13.92260    
 1862   13.98484    
 1863   14.07186    
 1864   13.99452    
 1865   14.08630    
 1866   14.06015    
 1867   14.02560    
 1868   13.99869    
 1869   14.00388    
 1870   13.97738    
 1871   14.03787    
 1872   14.06190    
 1873   14.06508    
 1874   13.98128    
 1875   13.93165    
 1876   13.73321    
 1877   13.92914    
 1878   13.92598    
 1879   13.95617    
 1880   13.99435    
 1881   14.15681    
 1882   14.16017    
 1883   14.07354    
 1884   13.78158    
 1885   13.81570    
 1886   13.91829    
 1887   13.93593    
 1888   13.84355    
 1889   13.73974    
 1890   13.63357    
 1891   13.50365    
 1892   13.66425    
 1893   13.68834    
 1894   13.81013    
 1895   13.87486    
 1896   13.85384    
 1897   14.00797    
 1898   14.03818    
 1899   14.06070    
 1900   13.96113    
 1901   13.88149    
 1902   13.85037    
 1903   13.59177    
 1904   13.56960    
 1905   13.81404    
 1906   13.86916    
 1907   13.92334    
 1908   13.98809    
 1909   13.94960    
 1910   13.86127    
 1911   13.93645    
 1912   13.87394    
 1913   13.74667    
 1914   13.80166    
 1915   13.92465    
 1916   13.84849    
 1917   13.98652    
 1918   14.06099    
 1919   14.15226    
 1920   14.24631    
 1921   14.08297    
 1922   14.16800    
 1923   14.17841    
 1924   14.05522    
 1925   14.04483    
 1926   13.96783    
 1927   14.19845    
 1928   14.12088    
 1929   14.11238    
 1930   14.04581    
 1931   13.97801    
 1932   14.16167    
 1933   14.06022    
 1934   14.04721    
 1935   14.01846    
 1936   14.16761    
 1937   14.25031    
 1938   14.21138    
 1939   14.23269    
 1940   14.18373    
 1941   14.28286    
 1942   14.28891    
 1943   14.12992    
 1944   14.07956    
 1945   14.18055    
 1946   14.22444    
 1947   14.29201    
 1948   14.26021    
 1949   14.35106    
 1950   14.33298    
 1951   14.25361    
 1952   14.22523    
 1953   14.19664    
 1954   14.05440    
 1955   14.10387    
 1956   14.15153    
 1957   14.23787    
 1958   14.22989    
 1959   14.25050    
 1960   14.19693    
 1961   14.13389    
 1962   14.17237    
 1963   14.08880    
 1964   13.80511    
 1965   13.76049    
 1966   13.89880    
 1967   13.97032    
 1968   13.92955    
 1969   13.93750    
 1970   13.99448    
 1971   13.91600    
 1972   13.96145    
 1973   14.05579    
 1974   14.07564    
 1975   13.90041    
 1976   13.91878    
 1977   13.92179    
 1978   13.96429    
 1979   14.12085    
 1980   14.20400    
 1981   14.26398    
 1982   14.10376    
 1983   14.04485    
 1984   14.10425    
 1985   14.41019    
 1986   14.32345    
 1987   14.30891    
 1988   14.42988    
 1989   14.43120    
 1990   14.44384    
 1991   14.28861    
 1992   14.14673    
 1993   14.24760    
 1994   14.21407    
 1995   14.20007    
 1996   14.36720    
 1997   14.56400    
 1998   14.54929    
 1999   14.61336    
 2000   14.62709    
 2001   14.73602    
 2002   14.83332    
 2003   14.88132    
 2004   14.95326    
 2005   15.07895    
 2006   14.98805    
 2007   14.97249    
 2008   14.82629    
 2009   14.88875    
 2010   14.83539    
 2011   14.93347    
 2012   14.95757    
 2013   14.77771    
 2014   14.76686    
 2015   14.91438    
 2016   14.97968    
 2017   15.03814    
 2018   14.93157    
 2019   14.99017    
 2020   14.83355    
 2021   14.93597    
 2022   14.97138    
 2023   14.94551    
 2024   14.96011    
 2025   14.92749    
 2026   15.16991    
 2027   15.01192    
 2028   15.15679    
 2029   15.20542    
 2030   15.01285    
 2031   14.99695    
 2032   15.05229    
 2033   15.03321    
 2034   15.01385    
 2035   15.09554    
 2036   15.17626    
 2037   15.29765    
 2038   15.46702    
 2039   15.49694    
 2040   15.44170    
 2041   15.32172    
 2042   15.29013    
 2043   15.30596    
 2044   15.36198    
 2045   15.35383    
 2046   15.50156    
 2047   15.39813    
 2048   15.50206    
 2049   15.55324    
 2050   15.59571    
 2051   15.53797    
 2052   15.56343    
 2053   15.60635    
 2054   15.63891    
 2055   15.63375    
 2056   15.54207    
 2057   15.48902    
 2058   15.51825    
 2059   15.52310    
 2060   15.55738    
 2061   15.48096    
 2062   15.53227    
 2063   15.57877    
 2064   15.61502    
 2065   15.55812    
 2066   15.53283    
 2067   15.55410    
 2068   15.58252    
 2069   15.46327    
 2070   15.46541    
 2071   15.45347    
 2072   15.54410    
 2073   15.53512    
 2074   15.32473    
 2075   15.34741    
 2076   15.37470    
 2077   15.35924    
 2078   15.40592    
 2079   15.45030    
 2080   15.54615    
 2081   15.59434    
 2082   15.54882    
 2083   15.51180    
 2084   15.49258    
 2085   15.52474    
 2086   15.61647    
 2087   15.61517    
 2088   15.63206    
 2089   15.48151    
 2090   15.60998    
 2091   15.71032    
 2092   15.73607    
 2093   15.81877    
 2094   15.66698    
 2095   15.66308    
 2096   15.64154    
 2097   15.66985    
 2098   15.58277    
 2099   15.60347    
 2100   15.60172    
