# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_HadGEM2-ES_rcp26_%%.dat
# using members   0 to   3
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_HadGEM2-ES_rcp26_r1i1p1
# cutting out region lon=   -0.938  359.062, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_021_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_HadGEM2-ES_rcp26_%%.dat, using members   0 to   3, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_HadGEM2-ES_rcp26_r1i1p1, cutting out region lon=   -0.938  359.062, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_021_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:35 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_021_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_021_mean1_anom.nc n
# tas [Celsius] from HadGEM2-ES model output prepared for CMIP5 RCP2.6 r1i1p1
 1860   13.69116    
 1861   13.71978    
 1862   13.72683    
 1863   13.66299    
 1864   13.68126    
 1865   13.57196    
 1866   13.51490    
 1867   13.56221    
 1868   13.55512    
 1869   13.63193    
 1870   13.61586    
 1871   13.63699    
 1872   13.71201    
 1873   13.74055    
 1874   13.73834    
 1875   13.69661    
 1876   13.65562    
 1877   13.69608    
 1878   13.70679    
 1879   13.62907    
 1880   13.56475    
 1881   13.62292    
 1882   13.62868    
 1883   13.57506    
 1884   13.37170    
 1885   13.40516    
 1886   13.42094    
 1887   13.38053    
 1888   13.48407    
 1889   13.47356    
 1890   13.46126    
 1891   13.40048    
 1892   13.46229    
 1893   13.44110    
 1894   13.47466    
 1895   13.57100    
 1896   13.66088    
 1897   13.57997    
 1898   13.57897    
 1899   13.70342    
 1900   13.67792    
 1901   13.73995    
 1902   13.67554    
 1903   13.50963    
 1904   13.44229    
 1905   13.58315    
 1906   13.60220    
 1907   13.62573    
 1908   13.60925    
 1909   13.54243    
 1910   13.63495    
 1911   13.55835    
 1912   13.51515    
 1913   13.55855    
 1914   13.61510    
 1915   13.65905    
 1916   13.74897    
 1917   13.81385    
 1918   13.76581    
 1919   13.79014    
 1920   13.79333    
 1921   13.78868    
 1922   13.78301    
 1923   13.76394    
 1924   13.82597    
 1925   13.81000    
 1926   13.79032    
 1927   13.73599    
 1928   13.77146    
 1929   13.78957    
 1930   13.77926    
 1931   13.74578    
 1932   13.75355    
 1933   13.74918    
 1934   13.75389    
 1935   13.78016    
 1936   13.80717    
 1937   13.86054    
 1938   13.89247    
 1939   13.86439    
 1940   13.75903    
 1941   13.78794    
 1942   13.84449    
 1943   13.86726    
 1944   13.90586    
 1945   13.91570    
 1946   13.89949    
 1947   13.92361    
 1948   13.96499    
 1949   13.95384    
 1950   13.90290    
 1951   13.85191    
 1952   13.81626    
 1953   13.83657    
 1954   13.79121    
 1955   13.75693    
 1956   13.83902    
 1957   13.81701    
 1958   13.75784    
 1959   13.74126    
 1960   13.67144    
 1961   13.69332    
 1962   13.70001    
 1963   13.67024    
 1964   13.52751    
 1965   13.46300    
 1966   13.45404    
 1967   13.54702    
 1968   13.66733    
 1969   13.66112    
 1970   13.62109    
 1971   13.61225    
 1972   13.72886    
 1973   13.72136    
 1974   13.74966    
 1975   13.64318    
 1976   13.63360    
 1977   13.73771    
 1978   13.71095    
 1979   13.76572    
 1980   13.79165    
 1981   13.79688    
 1982   13.76315    
 1983   13.64550    
 1984   13.75138    
 1985   13.85867    
 1986   13.87652    
 1987   13.86032    
 1988   13.86057    
 1989   13.87970    
 1990   13.92149    
 1991   13.92025    
 1992   13.69041    
 1993   13.75031    
 1994   13.85821    
 1995   13.93658    
 1996   13.93043    
 1997   13.97862    
 1998   14.11414    
 1999   14.13554    
 2000   14.19378    
 2001   14.27249    
 2002   14.31852    
 2003   14.30951    
 2004   14.28940    
 2005   14.31673    
 2006   14.41970    
 2007   14.41637    
 2008   14.41310    
 2009   14.51171    
 2010   14.41199    
 2011   14.42727    
 2012   14.59025    
 2013   14.69265    
 2014   14.72508    
 2015   14.72793    
 2016   14.71530    
 2017   14.75429    
 2018   14.89209    
 2019   14.93534    
 2020   14.99533    
 2021   15.01906    
 2022   14.97266    
 2023   15.01877    
 2024   15.02998    
 2025   15.05287    
 2026   15.05364    
 2027   15.05718    
 2028   15.08685    
 2029   15.09666    
 2030   15.16966    
 2031   15.22556    
 2032   15.24634    
 2033   15.23405    
 2034   15.23141    
 2035   15.27138    
 2036   15.33338    
 2037   15.34711    
 2038   15.21740    
 2039   15.28504    
 2040   15.28547    
 2041   15.33034    
 2042   15.40681    
 2043   15.41141    
 2044   15.38727    
 2045   15.43762    
 2046   15.44609    
 2047   15.49364    
 2048   15.55681    
 2049   15.62711    
 2050   15.58030    
 2051   15.55923    
 2052   15.48522    
 2053   15.52894    
 2054   15.51925    
 2055   15.54952    
 2056   15.58855    
 2057   15.60777    
 2058   15.47311    
 2059   15.58377    
 2060   15.54709    
 2061   15.64935    
 2062   15.60444    
 2063   15.57872    
 2064   15.47559    
 2065   15.47251    
 2066   15.49701    
 2067   15.56447    
 2068   15.51721    
 2069   15.58923    
 2070   15.51851    
 2071   15.53968    
 2072   15.47229    
 2073   15.52205    
 2074   15.56862    
 2075   15.48589    
 2076   15.49978    
 2077   15.48861    
 2078   15.50844    
 2079   15.54466    
 2080   15.50578    
 2081   15.46551    
 2082   15.50155    
 2083   15.52338    
 2084   15.45203    
 2085   15.46263    
 2086   15.53288    
 2087   15.50331    
 2088   15.51478    
 2089   15.51351    
 2090   15.51746    
 2091   15.45992    
 2092   15.42247    
 2093   15.42297    
 2094   15.39867    
 2095   15.38364    
 2096   15.36709    
 2097   15.37533    
 2098   15.37174    
 2099   15.34665    
 2100   15.30451    
