# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_IPSL-CM5A-LR_rcp26_%%.dat
# using members   0 to   3
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_IPSL-CM5A-LR_rcp26_r1i1p1
# cutting out region lon=   -1.875  358.125, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_022_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_IPSL-CM5A-LR_rcp26_%%.dat, using members   0 to   3, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_IPSL-CM5A-LR_rcp26_r1i1p1, cutting out region lon=   -1.875  358.125, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_022_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_022_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_022_mean1_anom.nc n
# tas [Celsius] from IPSL-CM5A-LR model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   12.04701    
 1851   12.04855    
 1852   12.14092    
 1853   12.12429    
 1854   12.11795    
 1855   12.05844    
 1856   11.90123    
 1857   11.89137    
 1858   11.96507    
 1859   11.96552    
 1860   11.98827    
 1861   11.99099    
 1862   12.06916    
 1863   12.10871    
 1864   12.13686    
 1865   12.16673    
 1866   12.14993    
 1867   12.04647    
 1868   12.10396    
 1869   12.19738    
 1870   12.15943    
 1871   12.14670    
 1872   12.09974    
 1873   12.16693    
 1874   12.16073    
 1875   12.29853    
 1876   12.24255    
 1877   12.15638    
 1878   12.27083    
 1879   12.21046    
 1880   12.18458    
 1881   12.38066    
 1882   12.33768    
 1883   12.14505    
 1884   11.85561    
 1885   11.82048    
 1886   11.90072    
 1887   11.93659    
 1888   11.99315    
 1889   11.95043    
 1890   11.95739    
 1891   11.97532    
 1892   12.00623    
 1893   12.05152    
 1894   12.07051    
 1895   12.10457    
 1896   12.10644    
 1897   12.05642    
 1898   12.06993    
 1899   12.10260    
 1900   12.10938    
 1901   12.16915    
 1902   12.14729    
 1903   12.00472    
 1904   12.13079    
 1905   12.15506    
 1906   12.15224    
 1907   12.17603    
 1908   12.20897    
 1909   12.23188    
 1910   12.20296    
 1911   12.27423    
 1912   12.22262    
 1913   12.16716    
 1914   12.30300    
 1915   12.32046    
 1916   12.20848    
 1917   12.27696    
 1918   12.26873    
 1919   12.17296    
 1920   12.26056    
 1921   12.37000    
 1922   12.37971    
 1923   12.36703    
 1924   12.29839    
 1925   12.29674    
 1926   12.40695    
 1927   12.44327    
 1928   12.37640    
 1929   12.38949    
 1930   12.43598    
 1931   12.38315    
 1932   12.39919    
 1933   12.37332    
 1934   12.34094    
 1935   12.25501    
 1936   12.49272    
 1937   12.56584    
 1938   12.48031    
 1939   12.43685    
 1940   12.46030    
 1941   12.52546    
 1942   12.49396    
 1943   12.52400    
 1944   12.54578    
 1945   12.56271    
 1946   12.58354    
 1947   12.55087    
 1948   12.52527    
 1949   12.61314    
 1950   12.59986    
 1951   12.56096    
 1952   12.50223    
 1953   12.55150    
 1954   12.54965    
 1955   12.47218    
 1956   12.52534    
 1957   12.59527    
 1958   12.51949    
 1959   12.51451    
 1960   12.65561    
 1961   12.63270    
 1962   12.51109    
 1963   12.36654    
 1964   12.22333    
 1965   12.30917    
 1966   12.38307    
 1967   12.46327    
 1968   12.40876    
 1969   12.33510    
 1970   12.44660    
 1971   12.52582    
 1972   12.57280    
 1973   12.59146    
 1974   12.57173    
 1975   12.56407    
 1976   12.66132    
 1977   12.63687    
 1978   12.62014    
 1979   12.71941    
 1980   12.73171    
 1981   12.86481    
 1982   12.75340    
 1983   12.71446    
 1984   12.80507    
 1985   12.81529    
 1986   12.83835    
 1987   12.90726    
 1988   12.98854    
 1989   13.04400    
 1990   13.09399    
 1991   13.00300    
 1992   12.85048    
 1993   12.95382    
 1994   12.94458    
 1995   13.02601    
 1996   13.08919    
 1997   13.14130    
 1998   13.24830    
 1999   13.29754    
 2000   13.29328    
 2001   13.36079    
 2002   13.41499    
 2003   13.43556    
 2004   13.45151    
 2005   13.51658    
 2006   13.44441    
 2007   13.43619    
 2008   13.46364    
 2009   13.43507    
 2010   13.46008    
 2011   13.51712    
 2012   13.62824    
 2013   13.79833    
 2014   13.73395    
 2015   13.66026    
 2016   13.74745    
 2017   13.87059    
 2018   13.87611    
 2019   13.81156    
 2020   13.88437    
 2021   13.91781    
 2022   13.89985    
 2023   13.91432    
 2024   13.89781    
 2025   14.00999    
 2026   14.02306    
 2027   14.02404    
 2028   13.96388    
 2029   13.99177    
 2030   13.99609    
 2031   14.06106    
 2032   14.11197    
 2033   14.26433    
 2034   14.22276    
 2035   14.14247    
 2036   14.15307    
 2037   14.20562    
 2038   14.22902    
 2039   14.25826    
 2040   14.30450    
 2041   14.29351    
 2042   14.21328    
 2043   14.15141    
 2044   14.31799    
 2045   14.32113    
 2046   14.29401    
 2047   14.26995    
 2048   14.30590    
 2049   14.30863    
 2050   14.28521    
 2051   14.27137    
 2052   14.35026    
 2053   14.31375    
 2054   14.37149    
 2055   14.31390    
 2056   14.30684    
 2057   14.32596    
 2058   14.32680    
 2059   14.36473    
 2060   14.37177    
 2061   14.39759    
 2062   14.42182    
 2063   14.32172    
 2064   14.28450    
 2065   14.32951    
 2066   14.35392    
 2067   14.35501    
 2068   14.30097    
 2069   14.30247    
 2070   14.37065    
 2071   14.36478    
 2072   14.33862    
 2073   14.34745    
 2074   14.22902    
 2075   14.40191    
 2076   14.41918    
 2077   14.32702    
 2078   14.40259    
 2079   14.47299    
 2080   14.40508    
 2081   14.31754    
 2082   14.38341    
 2083   14.40499    
 2084   14.37601    
 2085   14.35074    
 2086   14.39016    
 2087   14.36637    
 2088   14.31916    
 2089   14.27785    
 2090   14.31332    
 2091   14.34174    
 2092   14.36597    
 2093   14.34563    
 2094   14.39190    
 2095   14.34153    
 2096   14.26419    
 2097   14.35443    
 2098   14.28346    
 2099   14.26786    
 2100   14.25913    
