# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_IPSL-CM5A-MR_rcp26_r1i1p1
# cutting out region lon=   -1.250  358.750, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_023_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_IPSL-CM5A-MR_rcp26_r1i1p1, cutting out region lon=   -1.250  358.750, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_023_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_023_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_023_mean1_anom.nc n
# tas [Celsius] from IPSL-CM5A-MR model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   12.94363    
 1851   12.94096    
 1852   12.96810    
 1853   13.17896    
 1854   13.16985    
 1855   13.05077    
 1856   12.92810    
 1857   12.86070    
 1858   12.96132    
 1859   12.91695    
 1860   12.99326    
 1861   13.15495    
 1862   13.01175    
 1863   12.98863    
 1864   12.94903    
 1865   13.07187    
 1866   13.15386    
 1867   13.05786    
 1868   13.17900    
 1869   13.08402    
 1870   13.18133    
 1871   13.14317    
 1872   13.11307    
 1873   13.26921    
 1874   13.14329    
 1875   13.09294    
 1876   13.11063    
 1877   13.14640    
 1878   13.21197    
 1879   13.13684    
 1880   13.21622    
 1881   13.24998    
 1882   13.13717    
 1883   13.05318    
 1884   12.83447    
 1885   12.70842    
 1886   12.77249    
 1887   12.91453    
 1888   12.90753    
 1889   12.92100    
 1890   12.87196    
 1891   12.96966    
 1892   12.99146    
 1893   13.10706    
 1894   13.09947    
 1895   13.07378    
 1896   13.15339    
 1897   13.13020    
 1898   13.04158    
 1899   13.06881    
 1900   13.13940    
 1901   13.17200    
 1902   13.28255    
 1903   13.06273    
 1904   13.00149    
 1905   12.97284    
 1906   13.19073    
 1907   13.18611    
 1908   13.23239    
 1909   13.06066    
 1910   13.17618    
 1911   13.16629    
 1912   13.12764    
 1913   13.12937    
 1914   13.17039    
 1915   13.23103    
 1916   13.26035    
 1917   13.30158    
 1918   13.30015    
 1919   13.30282    
 1920   13.33333    
 1921   13.34519    
 1922   13.25630    
 1923   13.14411    
 1924   13.18832    
 1925   13.27036    
 1926   13.24777    
 1927   13.34390    
 1928   13.40334    
 1929   13.62606    
 1930   13.35053    
 1931   13.28308    
 1932   13.24920    
 1933   13.27324    
 1934   13.39409    
 1935   13.52197    
 1936   13.52249    
 1937   13.43918    
 1938   13.42894    
 1939   13.41514    
 1940   13.48165    
 1941   13.54337    
 1942   13.48205    
 1943   13.38408    
 1944   13.43927    
 1945   13.35565    
 1946   13.33037    
 1947   13.31522    
 1948   13.29341    
 1949   13.51169    
 1950   13.55481    
 1951   13.32008    
 1952   13.24844    
 1953   13.25036    
 1954   13.43029    
 1955   13.32024    
 1956   13.38606    
 1957   13.41575    
 1958   13.50154    
 1959   13.55449    
 1960   13.53937    
 1961   13.44341    
 1962   13.30287    
 1963   13.19708    
 1964   13.26170    
 1965   13.46800    
 1966   13.26066    
 1967   13.41506    
 1968   13.37061    
 1969   13.38351    
 1970   13.37658    
 1971   13.57413    
 1972   13.66914    
 1973   13.45546    
 1974   13.43156    
 1975   13.33826    
 1976   13.39032    
 1977   13.58982    
 1978   13.55019    
 1979   13.56030    
 1980   13.77385    
 1981   13.66925    
 1982   13.69077    
 1983   13.71925    
 1984   13.67875    
 1985   13.48489    
 1986   13.61965    
 1987   13.77548    
 1988   13.86025    
 1989   13.84233    
 1990   13.82906    
 1991   13.58847    
 1992   13.44101    
 1993   13.66449    
 1994   13.62800    
 1995   13.85917    
 1996   14.08546    
 1997   14.01019    
 1998   13.94681    
 1999   14.01313    
 2000   14.12199    
 2001   14.05607    
 2002   14.12269    
 2003   14.15353    
 2004   14.15635    
 2005   14.30320    
 2006   14.24345    
 2007   14.31261    
 2008   14.31166    
 2009   14.47093    
 2010   14.42513    
 2011   14.55230    
 2012   14.73139    
 2013   14.52077    
 2014   14.53493    
 2015   14.52790    
 2016   14.62412    
 2017   14.56065    
 2018   14.52081    
 2019   14.59082    
 2020   14.58697    
 2021   14.68946    
 2022   14.75555    
 2023   14.72058    
 2024   14.76938    
 2025   14.73430    
 2026   14.84745    
 2027   14.61934    
 2028   14.54628    
 2029   14.65202    
 2030   14.72229    
 2031   14.63599    
 2032   14.70794    
 2033   14.89150    
 2034   14.94973    
 2035   14.86886    
 2036   14.74183    
 2037   14.97355    
 2038   14.99823    
 2039   14.93746    
 2040   14.86542    
 2041   15.01291    
 2042   15.15130    
 2043   15.06291    
 2044   15.08500    
 2045   15.06729    
 2046   15.11165    
 2047   15.10367    
 2048   15.15797    
 2049   15.30054    
 2050   15.05680    
 2051   14.95877    
 2052   14.94816    
 2053   14.97553    
 2054   14.99783    
 2055   15.11958    
 2056   15.24284    
 2057   15.11434    
 2058   14.92239    
 2059   15.04142    
 2060   15.22954    
 2061   15.00626    
 2062   15.01044    
 2063   15.14157    
 2064   15.29291    
 2065   15.28771    
 2066   15.02789    
 2067   15.13101    
 2068   15.11805    
 2069   15.16861    
 2070   15.11393    
 2071   15.24661    
 2072   15.24509    
 2073   15.07947    
 2074   14.97218    
 2075   15.08447    
 2076   15.04536    
 2077   15.13224    
 2078   14.99376    
 2079   14.85649    
 2080   14.98037    
 2081   14.97269    
 2082   14.88553    
 2083   14.86561    
 2084   14.97576    
 2085   14.83685    
 2086   15.03504    
 2087   15.05063    
 2088   15.06869    
 2089   15.16264    
 2090   14.93116    
 2091   14.94353    
 2092   14.92210    
 2093   14.96270    
 2094   15.21754    
 2095   15.04830    
 2096   15.08593    
 2097   15.09703    
 2098   15.02724    
 2099   14.91543    
 2100   14.99880    
