# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_MIROC5_rcp26_%%.dat
# using members   0 to   2
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MIROC5_rcp26_r1i1p1
# cutting out region lon=   -0.703  359.297, lat=  -89.622   89.622
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_024_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_MIROC5_rcp26_%%.dat, using members   0 to   2, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MIROC5_rcp26_r1i1p1, cutting out region lon=   -0.703  359.297, lat=  -89.622   89.622, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_024_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_024_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_024_mean1_anom.nc n
# tas [Celsius] from MIROC5 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   14.42834    
 1851   14.44841    
 1852   14.42345    
 1853   14.53025    
 1854   14.47245    
 1855   14.46022    
 1856   14.46500    
 1857   14.39456    
 1858   14.40225    
 1859   14.35299    
 1860   14.37681    
 1861   14.43257    
 1862   14.49312    
 1863   14.54914    
 1864   14.48708    
 1865   14.40765    
 1866   14.43271    
 1867   14.45778    
 1868   14.51730    
 1869   14.47147    
 1870   14.43722    
 1871   14.50312    
 1872   14.55455    
 1873   14.55108    
 1874   14.47890    
 1875   14.57117    
 1876   14.65127    
 1877   14.56112    
 1878   14.51532    
 1879   14.40567    
 1880   14.47766    
 1881   14.54279    
 1882   14.52569    
 1883   14.46754    
 1884   14.28013    
 1885   14.24048    
 1886   14.25505    
 1887   14.26319    
 1888   14.30360    
 1889   14.34841    
 1890   14.40157    
 1891   14.36981    
 1892   14.23931    
 1893   14.29947    
 1894   14.39451    
 1895   14.46670    
 1896   14.46821    
 1897   14.43386    
 1898   14.40752    
 1899   14.45138    
 1900   14.51897    
 1901   14.43906    
 1902   14.41016    
 1903   14.34568    
 1904   14.28286    
 1905   14.30760    
 1906   14.41551    
 1907   14.53155    
 1908   14.43004    
 1909   14.48641    
 1910   14.50768    
 1911   14.49765    
 1912   14.48971    
 1913   14.40485    
 1914   14.35678    
 1915   14.39070    
 1916   14.47141    
 1917   14.50073    
 1918   14.55567    
 1919   14.50313    
 1920   14.48131    
 1921   14.55148    
 1922   14.68489    
 1923   14.77849    
 1924   14.73085    
 1925   14.59756    
 1926   14.52382    
 1927   14.54220    
 1928   14.56358    
 1929   14.63173    
 1930   14.66495    
 1931   14.75401    
 1932   14.90852    
 1933   14.65058    
 1934   14.51599    
 1935   14.53956    
 1936   14.54991    
 1937   14.64449    
 1938   14.65797    
 1939   14.66072    
 1940   14.67455    
 1941   14.68195    
 1942   14.78165    
 1943   14.83422    
 1944   14.66676    
 1945   14.64553    
 1946   14.74281    
 1947   14.81757    
 1948   14.78900    
 1949   14.74610    
 1950   14.84921    
 1951   15.05858    
 1952   14.94248    
 1953   14.59319    
 1954   14.53493    
 1955   14.63343    
 1956   14.75353    
 1957   14.76591    
 1958   14.72460    
 1959   14.77240    
 1960   14.85701    
 1961   14.79352    
 1962   14.54502    
 1963   14.53949    
 1964   14.49830    
 1965   14.55675    
 1966   14.61964    
 1967   14.52065    
 1968   14.50169    
 1969   14.50482    
 1970   14.56875    
 1971   14.58833    
 1972   14.55572    
 1973   14.53645    
 1974   14.67889    
 1975   14.71719    
 1976   14.79861    
 1977   14.70892    
 1978   14.75891    
 1979   14.68031    
 1980   14.69522    
 1981   14.80874    
 1982   14.81220    
 1983   14.63372    
 1984   14.52200    
 1985   14.55828    
 1986   14.70264    
 1987   14.86488    
 1988   14.92021    
 1989   14.89498    
 1990   14.86744    
 1991   14.84969    
 1992   14.65331    
 1993   14.83220    
 1994   14.86655    
 1995   14.79828    
 1996   14.78331    
 1997   14.97276    
 1998   15.05302    
 1999   15.05896    
 2000   15.09943    
 2001   15.16513    
 2002   15.25606    
 2003   15.25257    
 2004   15.30537    
 2005   15.27140    
 2006   15.20273    
 2007   15.29209    
 2008   15.43194    
 2009   15.31463    
 2010   15.28581    
 2011   15.29315    
 2012   15.30195    
 2013   15.43587    
 2014   15.65941    
 2015   15.52488    
 2016   15.44752    
 2017   15.41149    
 2018   15.36416    
 2019   15.46564    
 2020   15.55355    
 2021   15.41320    
 2022   15.43019    
 2023   15.57100    
 2024   15.57001    
 2025   15.58924    
 2026   15.71530    
 2027   15.62819    
 2028   15.69939    
 2029   15.75513    
 2030   15.72888    
 2031   15.68760    
 2032   15.74464    
 2033   15.83879    
 2034   15.78649    
 2035   15.83561    
 2036   15.81820    
 2037   15.76897    
 2038   15.83992    
 2039   15.94049    
 2040   15.99742    
 2041   16.04281    
 2042   15.93894    
 2043   15.79764    
 2044   15.85892    
 2045   15.94140    
 2046   15.93450    
 2047   16.05749    
 2048   16.03563    
 2049   15.81945    
 2050   15.78909    
 2051   15.91027    
 2052   16.14124    
 2053   15.91683    
 2054   15.85882    
 2055   15.89254    
 2056   16.08011    
 2057   16.04829    
 2058   15.90658    
 2059   15.91555    
 2060   16.07070    
 2061   16.25907    
 2062   16.14929    
 2063   15.88144    
 2064   15.81712    
 2065   16.01682    
 2066   16.12757    
 2067   16.07450    
 2068   15.86581    
 2069   15.92326    
 2070   16.08773    
 2071   16.05625    
 2072   15.95817    
 2073   16.07511    
 2074   16.14635    
 2075   16.14695    
 2076   16.04435    
 2077   15.85704    
 2078   15.86041    
 2079   15.91317    
 2080   15.95642    
 2081   16.00660    
 2082   16.11956    
 2083   16.12353    
 2084   15.85121    
 2085   15.83784    
 2086   15.89070    
 2087   16.07931    
 2088   16.16573    
 2089   15.95963    
 2090   15.78764    
 2091   15.88756    
 2092   16.01187    
 2093   16.08251    
 2094   16.03970    
 2095   15.95776    
 2096   15.86351    
 2097   15.89787    
 2098   16.04813    
 2099   16.15053    
 2100   15.95415    
