# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MIROC-ESM-CHEM_rcp26_r1i1p1
# cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_025_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MIROC-ESM-CHEM_rcp26_r1i1p1, cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_025_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_025_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_025_mean1_anom.nc n
# tas [Celsius] from MIROC-ESM-CHEM model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.28271    
 1851   13.41661    
 1852   13.35369    
 1853   13.43928    
 1854   13.40359    
 1855   13.28120    
 1856   13.29024    
 1857   13.20891    
 1858   13.26444    
 1859   13.30869    
 1860   13.27523    
 1861   13.25489    
 1862   13.26136    
 1863   13.33210    
 1864   13.23312    
 1865   13.11964    
 1866   13.35697    
 1867   13.46184    
 1868   13.42252    
 1869   13.20111    
 1870   13.24556    
 1871   13.38322    
 1872   13.27568    
 1873   13.36406    
 1874   13.35670    
 1875   13.28914    
 1876   13.18486    
 1877   13.30209    
 1878   13.42442    
 1879   13.33804    
 1880   13.36608    
 1881   13.45354    
 1882   13.64151    
 1883   13.40754    
 1884   13.01591    
 1885   12.99411    
 1886   13.04414    
 1887   13.12901    
 1888   13.18363    
 1889   13.25957    
 1890   13.32156    
 1891   13.20941    
 1892   13.14853    
 1893   13.27033    
 1894   13.37429    
 1895   13.38764    
 1896   13.38752    
 1897   13.53402    
 1898   13.54977    
 1899   13.40872    
 1900   13.38204    
 1901   13.42587    
 1902   13.31701    
 1903   13.26680    
 1904   13.18936    
 1905   13.23242    
 1906   13.26452    
 1907   13.23068    
 1908   13.20637    
 1909   13.15369    
 1910   13.39970    
 1911   13.36212    
 1912   13.38492    
 1913   13.33922    
 1914   13.33028    
 1915   13.26019    
 1916   13.40431    
 1917   13.44249    
 1918   13.52477    
 1919   13.47202    
 1920   13.53024    
 1921   13.54296    
 1922   13.54966    
 1923   13.65691    
 1924   13.67987    
 1925   13.61951    
 1926   13.55293    
 1927   13.52045    
 1928   13.52906    
 1929   13.40808    
 1930   13.40980    
 1931   13.49447    
 1932   13.56156    
 1933   13.57566    
 1934   13.62293    
 1935   13.68339    
 1936   13.65714    
 1937   13.64968    
 1938   13.59467    
 1939   13.77030    
 1940   13.70031    
 1941   13.72543    
 1942   13.60385    
 1943   13.74706    
 1944   13.70524    
 1945   13.61520    
 1946   13.62372    
 1947   13.59010    
 1948   13.71120    
 1949   13.50354    
 1950   13.50279    
 1951   13.46563    
 1952   13.48824    
 1953   13.62087    
 1954   13.66458    
 1955   13.53878    
 1956   13.67138    
 1957   13.60308    
 1958   13.77018    
 1959   13.59122    
 1960   13.47011    
 1961   13.60705    
 1962   13.65602    
 1963   13.57242    
 1964   13.55187    
 1965   13.54707    
 1966   13.46652    
 1967   13.62025    
 1968   13.53457    
 1969   13.54800    
 1970   13.61252    
 1971   13.60877    
 1972   13.58793    
 1973   13.56939    
 1974   13.62728    
 1975   13.66788    
 1976   13.71185    
 1977   13.73339    
 1978   13.86074    
 1979   13.97871    
 1980   13.91500    
 1981   13.83791    
 1982   13.69960    
 1983   13.63200    
 1984   13.68810    
 1985   13.92727    
 1986   13.81759    
 1987   13.77785    
 1988   13.93361    
 1989   14.01961    
 1990   14.00141    
 1991   13.97816    
 1992   13.61840    
 1993   13.67632    
 1994   13.64368    
 1995   13.91962    
 1996   14.02965    
 1997   13.95321    
 1998   14.02990    
 1999   14.03482    
 2000   13.97097    
 2001   14.17078    
 2002   14.07405    
 2003   14.03251    
 2004   14.10805    
 2005   14.22948    
 2006   14.19476    
 2007   14.13085    
 2008   14.26081    
 2009   14.31312    
 2010   14.44076    
 2011   14.60894    
 2012   14.72731    
 2013   14.72796    
 2014   14.73330    
 2015   14.78556    
 2016   14.81902    
 2017   14.88964    
 2018   14.99368    
 2019   14.90698    
 2020   14.86295    
 2021   14.82658    
 2022   14.84731    
 2023   14.95946    
 2024   15.04530    
 2025   14.91310    
 2026   15.12885    
 2027   15.23683    
 2028   15.11315    
 2029   15.07794    
 2030   15.21444    
 2031   15.33025    
 2032   15.27037    
 2033   15.18525    
 2034   15.32496    
 2035   15.35044    
 2036   15.29074    
 2037   15.40442    
 2038   15.59076    
 2039   15.51216    
 2040   15.48745    
 2041   15.56759    
 2042   15.43137    
 2043   15.44932    
 2044   15.51674    
 2045   15.34003    
 2046   15.35844    
 2047   15.55822    
 2048   15.61536    
 2049   15.70067    
 2050   15.56432    
 2051   15.51453    
 2052   15.66689    
 2053   15.75696    
 2054   15.69292    
 2055   15.70947    
 2056   15.53198    
 2057   15.46320    
 2058   15.59625    
 2059   15.61050    
 2060   15.72464    
 2061   15.70811    
 2062   15.66291    
 2063   15.60942    
 2064   15.67306    
 2065   15.63661    
 2066   15.55628    
 2067   15.41423    
 2068   15.47876    
 2069   15.51513    
 2070   15.55820    
 2071   15.55751    
 2072   15.56411    
 2073   15.71822    
 2074   15.76382    
 2075   15.71846    
 2076   15.65281    
 2077   15.68348    
 2078   15.70000    
 2079   15.60459    
 2080   15.68755    
 2081   15.83846    
 2082   15.70038    
 2083   15.70154    
 2084   15.73530    
 2085   15.72030    
 2086   15.69107    
 2087   15.61727    
 2088   15.51626    
 2089   15.55596    
 2090   15.66990    
 2091   15.57028    
 2092   15.70202    
 2093   15.78258    
 2094   15.60824    
 2095   15.69747    
 2096   15.65298    
 2097   15.67734    
 2098   15.63641    
 2099   15.60965    
 2100   15.67135    
