# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MIROC-ESM_rcp26_r1i1p1
# cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_026_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MIROC-ESM_rcp26_r1i1p1, cutting out region lon=   -1.406  358.594, lat=  -89.247   89.247, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:18 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_026_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_026_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_026_mean1_anom.nc n
# tas [Celsius] from MIROC-ESM model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.30242    
 1851   13.41344    
 1852   13.30206    
 1853   13.38128    
 1854   13.41679    
 1855   13.44150    
 1856   13.23508    
 1857   13.28159    
 1858   13.23021    
 1859   13.28860    
 1860   13.33186    
 1861   13.25066    
 1862   13.37783    
 1863   13.26338    
 1864   13.15891    
 1865   13.35661    
 1866   13.29214    
 1867   13.37876    
 1868   13.41077    
 1869   13.63658    
 1870   13.48297    
 1871   13.40575    
 1872   13.42684    
 1873   13.48197    
 1874   13.50429    
 1875   13.44441    
 1876   13.38968    
 1877   13.33140    
 1878   13.31588    
 1879   13.57866    
 1880   13.33936    
 1881   13.29269    
 1882   13.33076    
 1883   13.31126    
 1884   13.02913    
 1885   13.07921    
 1886   13.11657    
 1887   13.35035    
 1888   13.32420    
 1889   13.34842    
 1890   13.39487    
 1891   13.26827    
 1892   13.17016    
 1893   13.27210    
 1894   13.33654    
 1895   13.37341    
 1896   13.40298    
 1897   13.32070    
 1898   13.34558    
 1899   13.52492    
 1900   13.44003    
 1901   13.49249    
 1902   13.41705    
 1903   13.28401    
 1904   13.20966    
 1905   13.27952    
 1906   13.31366    
 1907   13.30990    
 1908   13.24903    
 1909   13.37768    
 1910   13.36754    
 1911   13.39367    
 1912   13.43360    
 1913   13.20713    
 1914   13.28471    
 1915   13.32759    
 1916   13.40699    
 1917   13.33938    
 1918   13.32314    
 1919   13.47701    
 1920   13.40210    
 1921   13.46586    
 1922   13.58612    
 1923   13.77803    
 1924   13.73851    
 1925   13.60950    
 1926   13.69735    
 1927   13.72208    
 1928   13.66749    
 1929   13.57918    
 1930   13.61247    
 1931   13.64549    
 1932   13.49186    
 1933   13.52972    
