# daily2longer    1 mea
# ensemble mea of file global_tas_Amon_MPI-ESM-LR_rcp26_%%.dat
# using members   0 to   2
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MPI-ESM-LR_rcp26_r1i1p1
# cutting out region lon=   -0.938  359.062, lat=  -89.497   89.497
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_027_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, ensemble mea of file global_tas_Amon_MPI-ESM-LR_rcp26_%%.dat, using members   0 to   2, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MPI-ESM-LR_rcp26_r1i1p1, cutting out region lon=   -0.938  359.062, lat=  -89.497   89.497, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:19 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_027_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_027_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_027_mean1_anom.nc n
# tas [Celsius] from MPI-ESM-LR model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.47702    
 1851   13.47536    
 1852   13.43532    
 1853   13.43342    
 1854   13.44764    
 1855   13.34995    
 1856   13.34279    
 1857   13.38926    
 1858   13.39003    
 1859   13.38379    
 1860   13.36827    
 1861   13.42212    
 1862   13.36440    
 1863   13.43129    
 1864   13.36607    
 1865   13.42878    
 1866   13.41446    
 1867   13.56307    
 1868   13.54211    
 1869   13.46969    
 1870   13.48523    
 1871   13.46516    
 1872   13.44008    
 1873   13.45376    
 1874   13.53422    
 1875   13.62869    
 1876   13.53671    
 1877   13.50376    
 1878   13.44524    
 1879   13.37378    
 1880   13.38397    
 1881   13.46234    
 1882   13.39543    
 1883   13.23687    
 1884   12.99185    
 1885   12.97051    
 1886   13.12515    
 1887   13.14216    
 1888   13.20866    
 1889   13.22419    
 1890   13.24428    
 1891   13.26316    
 1892   13.28382    
 1893   13.36392    
 1894   13.47417    
 1895   13.49068    
 1896   13.47431    
 1897   13.41141    
 1898   13.46385    
 1899   13.48798    
 1900   13.44067    
 1901   13.43300    
 1902   13.44572    
 1903   13.35981    
 1904   13.36472    
 1905   13.35652    
 1906   13.40181    
 1907   13.36811    
 1908   13.44407    
 1909   13.53433    
 1910   13.55200    
 1911   13.50441    
 1912   13.52286    
 1913   13.41726    
 1914   13.47974    
 1915   13.54928    
 1916   13.57370    
 1917   13.50427    
 1918   13.55619    
 1919   13.62456    
 1920   13.64893    
 1921   13.49338    
 1922   13.47314    
 1923   13.57106    
 1924   13.59118    
 1925   13.58047    
 1926   13.51308    
 1927   13.48987    
 1928   13.51384    
 1929   13.52927    
 1930   13.58455    
