# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MPI-ESM-MR_rcp26_r1i1p1
# cutting out region lon=   -0.938  359.062, lat=  -89.497   89.497
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_028_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MPI-ESM-MR_rcp26_r1i1p1, cutting out region lon=   -0.938  359.062, lat=  -89.497   89.497, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:19 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_028_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_028_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_028_mean1_anom.nc n
# tas [Celsius] from MPI-ESM-MR model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.73295    
 1851   13.77075    
 1852   13.76831    
 1853   13.77901    
 1854   13.80003    
 1855   13.76062    
 1856   13.56700    
 1857   13.41216    
 1858   13.55601    
 1859   13.62061    
 1860   13.62659    
 1861   13.50791    
 1862   13.67607    
 1863   13.64332    
 1864   13.75475    
 1865   13.89782    
 1866   13.92282    
 1867   13.77989    
 1868   13.60005    
 1869   13.50263    
 1870   13.71182    
 1871   13.73056    
 1872   13.63834    
 1873   13.76273    
 1874   13.85281    
 1875   13.83677    
 1876   13.61827    
 1877   13.63217    
 1878   13.61817    
 1879   13.61975    
 1880   13.70089    
 1881   13.68782    
 1882   13.71117    
 1883   13.65279    
 1884   13.46397    
 1885   13.40875    
 1886   13.38425    
 1887   13.42206    
 1888   13.32915    
 1889   13.33688    
 1890   13.33885    
 1891   13.33662    
 1892   13.50499    
 1893   13.63371    
 1894   13.55147    
 1895   13.65522    
 1896   13.71217    
 1897   13.62379    
 1898   13.51293    
 1899   13.53018    
 1900   13.61853    
 1901   13.75679    
 1902   13.78568    
 1903   13.63049    
 1904   13.55862    
 1905   13.58363    
 1906   13.65193    
 1907   13.56032    
 1908   13.48464    
 1909   13.53248    
 1910   13.61085    
 1911   13.62766    
 1912   13.69411    
 1913   13.68703    
 1914   13.79676    
 1915   13.71183    
 1916   13.48667    
 1917   13.53414    
 1918   13.60508    
 1919   13.72795    
 1920   13.90818    
 1921   13.84320    
 1922   13.86275    
 1923   13.79210    
 1924   13.89799    
 1925   13.91159    
 1926   13.94890    
 1927   13.91688    
 1928   13.95002    
 1929   13.89638    
 1930   13.95374    
 1931   13.84235    
 1932   13.77747    
 1933   13.80551    
 1934   13.83081    
 1935   13.92260    
 1936   13.78831    
 1937   13.72816    
 1938   13.85078    
 1939   13.96148    
 1940   13.82309    
 1941   13.83172    
 1942   13.77393    
 1943   13.79943    
 1944   13.94447    
 1945   13.94514    
 1946   13.97294    
 1947   13.93624    
 1948   13.90495    
 1949   13.97457    
 1950   13.86202    
 1951   13.83390    
 1952   13.92809    
 1953   14.07125    
 1954   14.04420    
 1955   13.96735    
 1956   14.00106    
 1957   13.96220    
 1958   14.01873    
 1959   13.87272    
 1960   13.87677    
 1961   14.05490    
 1962   14.16429    
 1963   13.95029    
 1964   13.69467    
 1965   13.54972    
 1966   13.77967    
 1967   13.98914    
 1968   13.98890    
 1969   13.95214    
 1970   14.00789    
 1971   14.06646    
 1972   14.19587    
 1973   14.10864    
 1974   14.13704    
 1975   14.30466    
 1976   14.08949    
 1977   13.95047    
 1978   14.13410    
 1979   14.06691    
 1980   14.12876    
 1981   14.19149    
 1982   14.17020    
 1983   14.03112    
 1984   14.07553    
 1985   14.20446    
 1986   14.19226    
 1987   14.23037    
 1988   14.20068    
 1989   14.40301    
 1990   14.49804    
 1991   14.47515    
 1992   14.22346    
 1993   14.30198    
 1994   14.38158    
 1995   14.39041    
 1996   14.49311    
 1997   14.72069    
 1998   14.58944    
 1999   14.62415    
 2000   14.70240    
 2001   14.76128    
 2002   14.72786    
 2003   14.64379    
 2004   14.68830    
 2005   14.69810    
 2006   14.82856    
 2007   14.96449    
 2008   14.84597    
 2009   14.91132    
 2010   14.92831    
 2011   14.89942    
 2012   14.99974    
 2013   14.96352    
 2014   15.17522    
 2015   14.96008    
 2016   15.06428    
 2017   15.03728    
 2018   14.96886    
 2019   15.10729    
 2020   15.08707    
 2021   15.03147    
 2022   15.07044    
 2023   15.12459    
 2024   14.96918    
 2025   15.19923    
 2026   15.22369    
 2027   15.19147    
 2028   15.19576    
 2029   15.23351    
 2030   15.32008    
 2031   15.19102    
 2032   15.13602    
 2033   15.19891    
 2034   15.17700    
 2035   15.14481    
 2036   15.40033    
 2037   15.36493    
 2038   15.24565    
 2039   15.45869    
 2040   15.31213    
 2041   15.49387    
 2042   15.49679    
 2043   15.32964    
 2044   15.39032    
 2045   15.35509    
 2046   15.45121    
 2047   15.35354    
 2048   15.31489    
 2049   15.31754    
 2050   15.37199    
 2051   15.26665    
 2052   15.32574    
 2053   15.36382    
 2054   15.24897    
 2055   15.30504    
 2056   15.24594    
 2057   15.32376    
 2058   15.44203    
 2059   15.32501    
 2060   15.35392    
 2061   15.51893    
 2062   15.48246    
 2063   15.08311    
 2064   15.31791    
 2065   15.41456    
 2066   15.32381    
 2067   15.19238    
 2068   15.33545    
 2069   15.44138    
 2070   15.50135    
 2071   15.24636    
 2072   15.23742    
 2073   15.21500    
 2074   15.17188    
 2075   15.23297    
 2076   15.35068    
 2077   15.34464    
 2078   15.44405    
 2079   15.43461    
 2080   15.29094    
 2081   15.21341    
 2082   15.31610    
 2083   15.07436    
 2084   15.20170    
 2085   15.31182    
 2086   15.30994    
 2087   15.33353    
 2088   15.41123    
 2089   15.32523    
 2090   15.18421    
 2091   15.22777    
 2092   15.23913    
 2093   15.37528    
 2094   15.46337    
 2095   15.26515    
 2096   15.26168    
 2097   15.22207    
 2098   15.22888    
 2099   15.29900    
 2100   15.18688    
