# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MRI-CGCM3_rcp26_r1i1p1
# cutting out region lon=   -0.562  359.438, lat=  -89.698   89.698
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_029_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_MRI-CGCM3_rcp26_r1i1p1, cutting out region lon=   -0.562  359.438, lat=  -89.698   89.698, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:19 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_029_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_029_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_029_mean1_anom.nc n
# tas [Celsius] from MRI-CGCM3 model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.48542    
 1851   13.56044    
 1852   13.53141    
 1853   13.56772    
 1854   13.53419    
 1855   13.56596    
 1856   13.46258    
 1857   13.52086    
 1858   13.64814    
 1859   13.60900    
 1860   13.60160    
 1861   13.60186    
 1862   13.65838    
 1863   13.62382    
 1864   13.62318    
 1865   13.59286    
 1866   13.56770    
 1867   13.50792    
 1868   13.57574    
 1869   13.55037    
 1870   13.64931    
 1871   13.64315    
 1872   13.67665    
 1873   13.60930    
 1874   13.72417    
 1875   13.68931    
 1876   13.67717    
 1877   13.47482    
 1878   13.57733    
 1879   13.75849    
 1880   13.62406    
 1881   13.70460    
 1882   13.76383    
 1883   13.54163    
 1884   13.23575    
 1885   13.40114    
 1886   13.38949    
 1887   13.39769    
 1888   13.48520    
 1889   13.57009    
 1890   13.49065    
 1891   13.50759    
 1892   13.57128    
 1893   13.66796    
 1894   13.58781    
 1895   13.61284    
 1896   13.62151    
 1897   13.52833    
 1898   13.55267    
 1899   13.62318    
 1900   13.54770    
 1901   13.54971    
 1902   13.60933    
 1903   13.19390    
 1904   13.30228    
 1905   13.43248    
 1906   13.53082    
 1907   13.54376    
 1908   13.75480    
 1909   13.75706    
 1910   13.66928    
 1911   13.59522    
 1912   13.60852    
 1913   13.64356    
 1914   13.69500    
 1915   13.68537    
 1916   13.68349    
 1917   13.70201    
 1918   13.74271    
 1919   13.61590    
 1920   13.77485    
 1921   13.84412    
 1922   13.79117    
 1923   13.62080    
 1924   13.75562    
 1925   13.74511    
 1926   13.63691    
 1927   13.65812    
 1928   13.76738    
 1929   13.69318    
 1930   13.67459    
 1931   13.67413    
 1932   13.71926    
 1933   13.57785    
 1934   13.78247    
 1935   13.94969    
 1936   13.81146    
 1937   13.87679    
 1938   13.85203    
 1939   13.84245    
 1940   13.76497    
 1941   13.66336    
 1942   13.82267    
 1943   13.68094    
 1944   13.65258    
 1945   13.68084    
 1946   13.85800    
 1947   13.70543    
 1948   13.84684    
 1949   13.87137    
 1950   13.70568    
 1951   13.71696    
 1952   13.69806    
 1953   13.78576    
 1954   13.82127    
 1955   13.82408    
 1956   13.77708    
 1957   13.67075    
 1958   13.74718    
 1959   13.78969    
 1960   13.82272    
 1961   13.84520    
 1962   13.75342    
 1963   13.88895    
 1964   13.76904    
 1965   13.66685    
 1966   13.67991    
 1967   13.70232    
 1968   13.76568    
 1969   13.87305    
 1970   13.85672    
 1971   13.92162    
 1972   13.85339    
 1973   13.79697    
 1974   13.73843    
 1975   13.85783    
 1976   13.95988    
 1977   14.02245    
 1978   13.90875    
 1979   13.96129    
 1980   13.89941    
 1981   13.94672    
 1982   13.95984    
 1983   13.96130    
 1984   14.00661    
 1985   14.02189    
 1986   13.79584    
 1987   13.94050    
 1988   13.86420    
 1989   14.01051    
 1990   14.02173    
 1991   14.04420    
 1992   13.75554    
 1993   13.87126    
 1994   13.77084    
 1995   13.95799    
 1996   14.00965    
 1997   13.99324    
 1998   14.00567    
 1999   13.96602    
 2000   14.05386    
 2001   14.05583    
 2002   14.10093    
 2003   14.17074    
 2004   14.16306    
 2005   14.20016    
 2006   14.07121    
 2007   14.21674    
 2008   14.23797    
 2009   14.13528    
 2010   14.20946    
 2011   14.02054    
 2012   14.13090    
 2013   14.28461    
 2014   14.28594    
 2015   14.33588    
 2016   14.23992    
 2017   14.34248    
 2018   14.44586    
 2019   14.47814    
 2020   14.39727    
 2021   14.45601    
 2022   14.42529    
 2023   14.39532    
 2024   14.42358    
 2025   14.44605    
 2026   14.45141    
 2027   14.53774    
 2028   14.56419    
 2029   14.49063    
 2030   14.52030    
 2031   14.54875    
 2032   14.55768    
 2033   14.44181    
 2034   14.49581    
 2035   14.66298    
 2036   14.72053    
 2037   14.70763    
 2038   14.84147    
 2039   14.67677    
 2040   14.73806    
 2041   14.79598    
 2042   14.67508    
 2043   14.74839    
 2044   14.76261    
 2045   14.71435    
 2046   14.66912    
 2047   14.63495    
 2048   14.75055    
 2049   14.73517    
 2050   14.79058    
 2051   14.74562    
 2052   14.88503    
 2053   14.89635    
 2054   14.78972    
 2055   14.61306    
 2056   14.83782    
 2057   14.89339    
 2058   14.78189    
 2059   14.78036    
 2060   14.68867    
 2061   14.86823    
 2062   14.79823    
 2063   14.77066    
 2064   14.61296    
 2065   14.71791    
 2066   14.79367    
 2067   14.78938    
 2068   14.71672    
 2069   14.91286    
 2070   14.94588    
 2071   14.87071    
 2072   14.89843    
 2073   14.99106    
 2074   15.00449    
 2075   14.92307    
 2076   14.87849    
 2077   14.83053    
 2078   14.85522    
 2079   14.95899    
 2080   14.82769    
 2081   14.99576    
 2082   14.96943    
 2083   14.88470    
 2084   14.97703    
 2085   15.01197    
 2086   14.99104    
 2087   15.07576    
 2088   15.01693    
 2089   14.97469    
 2090   14.88497    
 2091   14.93092    
 2092   14.90423    
 2093   15.01401    
 2094   14.97791    
 2095   14.93071    
 2096   14.82720    
 2097   14.95611    
 2098   15.00099    
 2099   14.86189    
 2100   14.86466    
