# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_NorESM1-ME_rcp26_r1i1p1
# cutting out region lon=   -1.250  358.750, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_030_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_NorESM1-ME_rcp26_r1i1p1, cutting out region lon=   -1.250  358.750, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:19 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_030_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_030_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_030_mean1_anom.nc n
# tas [Celsius] from NorESM1-ME model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   12.96497    
 1851   13.01481    
 1852   12.79076    
 1853   12.66633    
 1854   12.76754    
 1855   12.87245    
 1856   12.73823    
 1857   12.74145    
 1858   12.86675    
 1859   13.00321    
 1860   12.84501    
 1861   12.78975    
 1862   12.84976    
 1863   12.81798    
 1864   12.73363    
 1865   12.72596    
 1866   12.70680    
 1867   12.73503    
 1868   12.76867    
 1869   12.87786    
 1870   12.85553    
 1871   12.90202    
 1872   12.87844    
 1873   12.59417    
 1874   12.71177    
 1875   12.83585    
 1876   12.72845    
 1877   12.82292    
 1878   12.82949    
 1879   12.64081    
 1880   12.80920    
 1881   12.80230    
 1882   12.77797    
 1883   12.78732    
 1884   12.40311    
 1885   12.57103    
 1886   12.58772    
 1887   12.68136    
 1888   12.61258    
 1889   12.73944    
 1890   12.62989    
 1891   12.61650    
 1892   12.64007    
 1893   12.72292    
 1894   12.70631    
 1895   12.88710    
 1896   12.85942    
 1897   12.79166    
 1898   12.68768    
 1899   12.79742    
 1900   12.76942    
 1901   12.70426    
 1902   12.74838    
 1903   12.60728    
 1904   12.53001    
 1905   12.56867    
 1906   12.75574    
 1907   12.83617    
 1908   12.75523    
 1909   12.64713    
 1910   12.85455    
 1911   12.77740    
 1912   12.77796    
 1913   12.75309    
 1914   12.92273    
 1915   13.02310    
 1916   12.75037    
 1917   12.73563    
 1918   12.93432    
 1919   12.76850    
 1920   12.77494    
