# daily2longer    1 mea
# <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_NorESM1-M_rcp26_r1i1p1
# cutting out region lon=   -1.250  358.750, lat=  -90.000   90.000
# file :: /data/storage/climexp/data/iglobal_tas_Amon_mod_rcp26_031_mean1_anom.dat
# description :: CMIP5 RCP26 models Tglobal
# comment :: daily2longer    1 mea, <a href=http://cmip-pcmdi.llnl.gov/cmip5/>CMIP5</a> global mean temperature computed at <a href=http://www.knmi.nl/selectfield_cmip5.cgi?someone@somewhere>KNMI Climate Explorer</a> tas_Amon_NorESM1-M_rcp26_r1i1p1, cutting out region lon=   -1.250  358.750, lat=  -90.000   90.000, via the KNMI Climate Explorer (http://climexp.knmi.nl)
# institution :: KNMI Climate Explorer
# history ::  2018-05-18 14:59:19 bin/selectyear 1850 2100 data/iglobal_tas_Amon_mod_rcp26_031_mean1_anom.dat global_tas_Amon_mod_rcp26_+++_mean1_anom_1850:2100\n 2018-05-18 14:57:36 dat2nc ./data/iglobal_tas_Amon_mod_rcp26_031_mean1_anom.dat i CMIP5_RCP26_models_Tglobal ./data/iglobal_tas_Amon_mod_rcp26_031_mean1_anom.nc n
# tas [Celsius] from NorESM1-M model output prepared for CMIP5 RCP2.6 r1i1p1
 1850   13.11454    
 1851   13.06741    
 1852   13.17307    
 1853   13.04914    
 1854   13.04618    
 1855   13.09899    
 1856   13.00706    
 1857   13.17347    
 1858   13.22029    
 1859   13.13726    
 1860   13.02545    
 1861   13.15025    
 1862   13.18050    
 1863   13.08834    
 1864   13.33407    
 1865   13.36835    
 1866   13.22834    
 1867   13.17731    
 1868   13.29367    
 1869   13.22376    
 1870   13.12440    
 1871   13.13052    
 1872   13.22571    
 1873   13.18982    
 1874   13.16149    
 1875   13.03691    
 1876   13.30501    
 1877   13.35511    
 1878   13.11579    
 1879   13.11135    
 1880   13.20328    
 1881   13.19168    
 1882   13.04504    
 1883   13.17294    
 1884   12.98579    
 1885   12.97025    
 1886   12.95206    
 1887   12.98252    
 1888   13.12823    
 1889   13.30934    
 1890   13.16781    
 1891   13.24521    
 1892   13.26556    
 1893   13.06955    
 1894   13.05875    
 1895   13.17727    
 1896   13.07368    
 1897   12.98735    
 1898   13.10150    
 1899   13.10169    
 1900   13.30892    
 1901   13.33801    
 1902   13.10104    
 1903   13.01027    
 1904   13.02063    
 1905   12.94816    
 1906   13.09083    
 1907   13.05045    
 1908   13.04342    
 1909   13.00121    
 1910   13.23030    
 1911   13.31631    
 1912   13.12482    
 1913   13.21621    
 1914   13.37665    
 1915   13.24993    
 1916   13.29520    
 1917   13.26230    
 1918   13.17308    
 1919   13.22962    
 1920   13.15022    
 1921   13.13598    
 1922   13.22348    
 1923   13.24906    
 1924   13.28710    
 1925   13.26961    
 1926   13.40222    
 1927   13.16482    
 1928   13.24119    
 1929   13.20863    
 1930   13.33616    
 1931   13.20762    
 1932   13.29667    
 1933   13.28568    
 1934   13.46307    
 1935   13.51928    
 1936   13.31298    
 1937   13.26214    
 1938   13.41702    
 1939   13.44964    
 1940   13.44718    
 1941   13.35463    
 1942   13.26497    
 1943   13.40461    
 1944   13.43213    
 1945   13.24021    
 1946   13.29400    
 1947   13.25862    
 1948   13.27952    
 1949   13.40723    
 1950   13.16989    
 1951   13.30270    
 1952   13.27885    
 1953   13.21053    
 1954   13.18782    
 1955   13.32521    
 1956   13.49473    
 1957   13.36013    
 1958   13.33610    
 1959   13.41713    
 1960   13.35330    
 1961   13.41317    
 1962   13.30891    
 1963   13.20686    
 1964   13.04919    
 1965   13.19217    
 1966   13.29838    
 1967   13.17568    
 1968   13.32132    
 1969   13.18546    
 1970   13.44355    
 1971   13.34408    
 1972   13.17564    
 1973   13.20047    
 1974   13.16043    
 1975   13.16177    
 1976   13.33523    
 1977   13.45073    
 1978   13.53929    
 1979   13.40424    
 1980   13.45924    
 1981   13.44485    
 1982   13.46051    
 1983   13.45239    
 1984   13.50964    
 1985   13.55062    
 1986   13.57827    
 1987   13.62532    
 1988   13.60710    
 1989   13.77023    
 1990   13.87834    
 1991   13.60307    
 1992   13.45420    
 1993   13.54030    
 1994   13.52652    
 1995   13.52864    
 1996   13.68281    
 1997   13.66854    
 1998   13.68580    
 1999   13.84918    
 2000   13.80558    
 2001   13.77300    
 2002   13.80803    
 2003   13.90474    
 2004   13.98907    
 2005   13.98988    
 2006   13.92058    
 2007   13.84182    
 2008   14.01482    
 2009   14.16962    
 2010   14.15259    
 2011   14.02201    
 2012   14.01634    
 2013   14.05139    
 2014   14.11858    
 2015   14.10879    
 2016   14.21023    
 2017   13.99380    
 2018   14.10214    
 2019   14.15947    
 2020   14.17207    
 2021   14.21224    
 2022   14.24306    
 2023   14.27702    
 2024   14.30042    
 2025   14.35195    
 2026   14.26024    
 2027   14.43480    
 2028   14.45414    
 2029   14.35794    
 2030   14.49441    
 2031   14.54788    
 2032   14.51644    
 2033   14.51266    
 2034   14.45528    
 2035   14.47814    
 2036   14.40047    
 2037   14.33010    
 2038   14.35048    
 2039   14.34145    
 2040   14.59192    
 2041   14.62565    
 2042   14.57447    
 2043   14.49310    
 2044   14.57737    
 2045   14.50022    
 2046   14.57113    
 2047   14.55364    
 2048   14.48325    
 2049   14.49946    
 2050   14.43236    
 2051   14.52275    
 2052   14.64776    
 2053   14.59820    
 2054   14.44248    
 2055   14.47646    
 2056   14.53685    
 2057   14.58895    
 2058   14.69247    
 2059   14.61142    
 2060   14.61138    
 2061   14.44156    
 2062   14.45870    
 2063   14.59517    
 2064   14.48398    
 2065   14.51039    
 2066   14.42469    
 2067   14.54833    
 2068   14.66594    
 2069   14.72095    
 2070   14.67534    
 2071   14.58576    
 2072   14.60438    
 2073   14.55488    
 2074   14.54030    
 2075   14.49383    
 2076   14.64831    
 2077   14.61542    
 2078   14.54905    
 2079   14.48422    
 2080   14.53796    
 2081   14.56213    
 2082   14.78864    
 2083   14.75376    
 2084   14.58488    
 2085   14.58684    
 2086   14.65117    
 2087   14.58916    
 2088   14.55472    
 2089   14.60262    
 2090   14.41764    
 2091   14.55236    
 2092   14.67244    
 2093   14.44494    
 2094   14.47978    
 2095   14.59298    
 2096   14.55896    
 2097   14.50288    
 2098   14.43652    
 2099   14.57638    
 2100   14.53203    
