modname,year_1.5,conc_1.5,year_2,conc_2
sum_bcc-csm1-1-m,2014,411.1,2029,461.34
sum_bcc-csm1-1,2016,409.53,2032,461.52
sum_BNU-ESM,2010,392.44,2021,422.74
sum_CanESM2,2012,406.54,2025,452.51
sum_CESM1-BGC,2013,420.93,2027,479.77
sum_FIO-ESM,2026,443.49,2044,518.69
sum_GFDL-ESM2G,2035,492.79,2053,591.29
sum_GFDL-ESM2M,2028,470.43,2049,570.63
sum_HadGEM2-ES,2030,478.6,2042,533.1
sum_INMCM4,2040,503.06,2056,577.59
sum_IPSL-CM5A-LR,2014,387.5,2028,430.2
sum_MIROC-ESM,2017,422.69,2028,473.45
sum_MPI-ESM-LR,2024,424.52,2041,489.51
sum_MRI-ESM1,2049,478.47,2063,546.37
sum_NorESM1-ME,2031,486.31,2043,557.46
